# word cloud top all for element 大
# token	weight	(optional sources)
ion	0.011563	挨拶,援護,映像,架橋,沙汰,涕,禁煙,突っ込む,輻輳,関係,頸木
up	0.007865	喫う,奮う,捲く,攀じ登る,更迭,欹てる,決める,添う,献げる,見送る
over	0.007671	伏せる,印僑,捺す,襖紙,識る,跨ぐ,輻輳
one	0.007450	単騎,喚ぶ,寄せる,攀じ登る,決める,添う,矢張り,突っ込む,蚕棚,見送る,識る,陰,魘される
back	0.006777	奧,戻る,援護,蹉跌,陰
sea	0.005972	印僑,澳,灘
pre	0.005812	夭折,寄せる,痴がましい,跋扈
we	0.005780	朕
down	0.004995	伏せる,捺す,焼ける,薙ぎ倒す,覘く,飲む
open	0.004816	澳,灘
throw	0.004816	投擲,挿む
ese	0.004527	姫椿,癸,蕎麦
gourd	0.004335	瓢
go	0.004280	伏せる,失敬,戻る,桂庵,決める,泰平,添う,焼ける,突っ込む,見送る,識る
smoke	0.003881	喫う,禁煙,飲む
convergence	0.003853	輻輳
congest	0.003853	輻輳
crowd	0.003853	輻輳
age	0.003853	廬,映像,沙汰
out	0.003791	喚ぶ,抉る,捲く,棒引き,決める,突っ込む,見送る,覘く,識る,魘される
relation	0.003564	契り,姻族,挨拶,関係
hold	0.003541	恩給,挿む,献げる,鎹
ity	0.003527	春,泰平,畸形,秩序
gorge	0.003468	峡谷,谿谷,間
ravine	0.003468	峡谷,谿谷,間
barbarian	0.003334	戎,鴃舌
become	0.003326	捻れる,焦れる,焼ける
set	0.003309	決める,燎原,蹉跌
bridge	0.003275	架橋,跨ぐ
con	0.003198	寄せる,幻妖,芙蓉,識る,輔ける,関係
rank	0.003157	太夫,癸
any	0.003112	独墺,矢張り
cover	0.003082	帙,援護
law	0.002962	姻族,範,聟
take	0.002955	喚ぶ,失敬,奪う,決める,見送る,覘く,軽快,飲む
get	0.002894	抉る,捻れる,焦れる,突っ込む,識る
hazel	0.002890	榛
tree	0.002890	喬木,姫椿
germ	0.002890	独墺
austria	0.002890	独墺
mature	0.002890	夭折
death	0.002890	夭折
canyon	0.002890	峡谷,谿谷
lysi	0.002890	渙散
lyse	0.002890	渙散
poultice	0.002890	罨法
pack	0.002890	罨法
hermit	0.002890	廬
retreat	0.002890	廬
jabber	0.002890	鴃舌
winter	0.002890	鷦鷯
wren	0.002890	鷦鷯
use	0.002880	寄せる,捺す,狗,瓢,綟子,駄目
chin	0.002842	姫椿,癸,蕎麦
cry	0.002752	咆える,泣く,魘される
laugh	0.002752	痴がましい,笑う
depend	0.002681	寄せる,寄り掛る,待つ,由る
point	0.002680	伏せる,短,突っ込む,鋭い,駄目
sexual	0.002678	契り,春,関係
shape	0.002649	状,畸形
dry	0.002601	旱魃,瓢
trouble	0.002601	崎嶇,捻れる,禍
work	0.002601	印僑,逸文
unknown	0.002569	幻妖,逸事
live	0.002553	奧,添う,燠火
secret	0.002518	伏せる,涕,秘訣
impudent	0.002477	侠,無躾,痴がましい
plan	0.002477	蠢動,遠猷
between	0.002408	挿む,桂庵
howl	0.002408	咆える,泣く
tear	0.002312	涕
indian	0.002312	印僑
around	0.002312	嗅ぎ回る
lean	0.002312	寄り掛る,鉄火
offer	0.002293	献げる,薦める,香奠
look	0.002290	待つ,臭い,覘く
lively	0.002271	侠,氤氳
long	0.002219	失敬,旱魃,棒引き
strain	0.002215	捻れる,欹てる
heart	0.002182	中央,奧,決める,突っ込む,軽快
base	0.002167	由る,袂
hole	0.002147	狗,鋏,間
japan	0.002130	姫椿,戎,蕎麦
protect	0.002119	帙,援護
nose	0.002078	嗅ぎ回る,突っ込む,鼻垂れ
valley	0.002023	谿谷,間
behind	0.001961	奧,陰
cheek	0.001927	頬
fai	0.001927	蹉跌
lure	0.001927	蹉跌
stumble	0.001927	蹉跌
salary	0.001927	俸給
wage	0.001927	俸給
pay	0.001927	俸給
smile	0.001927	笑う
dumb	0.001927	笑う
found	0.001927	笑う
flabbergast	0.001927	笑う
sneer	0.001927	笑う
ridicule	0.001927	笑う
book	0.001927	帙
prick	0.001927	欹てる
okinawa	0.001927	澳
arrow	0.001927	矢矧
ablute	0.001927	禊ぐ
cleanse	0.001927	禊ぐ
repent	0.001927	禊ぐ
cushion	0.001927	蓐
pillow	0.001927	蓐
mat	0.001927	蓐
tress	0.001927	蓐
yoke	0.001927	頸木
constraint	0.001927	頸木
oppress	0.001927	頸木
fusuma	0.001927	襖紙
paper	0.001927	襖紙
rampancy	0.001927	跋扈
valence	0.001927	跋扈
domination	0.001927	跋扈
anecdote	0.001927	逸事
fact	0.001927	逸事
polite	0.001927	鄭重
courteous	0.001927	鄭重
hospitable	0.001927	鄭重
mystery	0.001878	奧,秘訣
room	0.001852	奧,寮,蚕棚
face	0.001840	伏せる,沽券,覘く,頬
burn	0.001836	焼ける,燎原
turn	0.001828	伏せる,戻る,由る,軽快
sight	0.001792	見送る,遠猷
give	0.001789	恩給,献げる
glow	0.001785	焼ける,燠火
across	0.001770	挿む,捺す,範,跨ぐ
make	0.001759	捺す,決める,矢矧,飲む
crow	0.001734	鶏鳴
ture	0.001729	戎,映像
per	0.001720	失敬,捻れる,鋏
play	0.001708	奏する,棒引き
inter	0.001696	契り,挿む,駄目
recommend	0.001651	薦める
call	0.001651	喚ぶ,奮う
fore	0.001651	遠猷
sleep	0.001651	魘される
side	0.001641	挿む,添う,範,陰
marriage	0.001638	姻族,桂庵
lord	0.001630	太夫,恩給
ember	0.001625	燠火,識る
wait	0.001609	単騎,待つ,見送る
help	0.001600	援護,輔ける
support	0.001600	援護,輔ける
ant	0.001560	侠,狗,軽快
dedicate	0.001548	奉ずる,献げる
ness	0.001541	失敬,愛きょう,陰
order	0.001477	沙汰,秩序
spring	0.001467	戻る,春
inner	0.001445	奧
recess	0.001445	奧
event	0.001445	投擲
quarter	0.001445	奧,由る
flask	0.001445	瓢
calabash	0.001445	瓢
bottle	0.001445	瓢
gutter	0.001445	喉
sing	0.001445	喉
voice	0.001445	喉
throat	0.001445	喉
weep	0.001445	泣く
sob	0.001445	泣く
accomplish	0.001445	奏する
report	0.001445	奏する
emperor	0.001445	奏する
delicate	0.001445	華車
glen	0.001445	峡谷
energetic	0.001445	氤氳
dynamic	0.001445	氤氳
vigor	0.001445	氤氳
ous	0.001445	氤氳
person	0.001445	英雄,鼻垂れ
char	0.001445	燠火
coal	0.001445	燠火
falsify	0.001445	矯める
straighten	0.001445	矯める
correct	0.001445	矯める
cure	0.001445	矯める
son	0.001445	聟
hus	0.001445	聟
band	0.001445	聟
groom	0.001445	聟
rise	0.001445	芙蓉
hero	0.001445	英雄
mountain	0.001445	袂
sleeve	0.001445	袂
asian	0.001445	榛
siberian	0.001445	榛
noodle	0.001445	蕎麦
buck	0.001445	蕎麦
wheat	0.001445	蕎麦
