# word cloud top all for element 女
# token	weight	(optional sources)
woman	0.022704	別嬪,妾,媼,嬢,寡,淫婦,老女,雌
chang'e	0.017964	嫦娥
graceful	0.015654	優艶,婀娜,嫋やか,嬋娟
beautiful	0.014856	優艶,別嬪,婀娜,嬋娟
wife	0.013173	妃嬪,娶る,嫁,嫂,雌
one	0.010872	好き,汝,瞋る,窶す,考妣
law	0.010329	姻族,嫁,嫂,聟
world	0.008982	娑婆
slim	0.008982	嬋娟
grand	0.008982	姪孫
privation	0.008982	凍餒
person	0.008554	姦悪,虫螻,駑馬
self	0.006843	汝,窶す
wei	0.006736	魏
horse	0.006373	櫻,鞍馬,駑馬
marriage	0.006356	姻族,娶る,雑婚
female	0.006212	奴婢,妃嬪,雌
elderly	0.005988	媼,老女
ness	0.005938	威勢,愛きょう,綏撫,退嬰
make	0.005776	媒酌,嬲る,接する
charm	0.005774	優艶,婀娜,愛きょう
ture	0.005182	姿,拿捕
unmarry	0.005090	嬢,寡
ion	0.004790	妊娠,退嬰
partner	0.004491	相方
flattery	0.004491	便侫
adulation	0.004491	便侫
niece	0.004491	姪孫
nephew	0.004491	姪孫
daughter	0.004491	嫁
bride	0.004491	嫁
com	0.004491	綏撫,諒恕
cap	0.004491	拿捕
seizure	0.004491	拿捕
calm	0.004491	晏然
tranquil	0.004491	晏然
tower	0.004491	樓
chin	0.004491	纓
strap	0.004491	纓
tail	0.004491	纓
fish	0.004363	新子,鮟鱇
japan	0.004277	和,東
go	0.004051	媒介,媒酌,焼ける
geisha	0.004042	左褄,新子
act	0.004007	媒介,媒酌,接する
take	0.003857	娶る,接する
servant	0.003776	奴,奴婢
con	0.003772	幻妖,接する,綏撫
time	0.003742	娯楽,須臾
smaller	0.003593	雌
weaker	0.003593	雌
young	0.003593	媛,新子
miss	0.003593	嬢
es	0.003593	嬢
ette	0.003593	嬢
coquettish	0.003593	婀娜
seductive	0.003593	婀娜
again	0.003593	数数
like	0.003538	奴,好き,艶然
leave	0.003529	委せる,左褄
great	0.003471	凄い,微妙,縷縷
concubine	0.003293	妃嬪,妾
condition	0.003086	姿,案配
down	0.003012	焼ける,襤褸
yell	0.002994	怒鳴り散らす
rant	0.002994	怒鳴り散らす
rave	0.002994	怒鳴り散らす
you	0.002994	汝
themself	0.002994	汝
wick	0.002994	姦悪
wickedness	0.002994	姦悪
between	0.002994	媒介,媒酌
emperor	0.002994	妃嬪
pregnancy	0.002994	妊娠
concept	0.002994	妊娠
gestation	0.002994	妊娠
smile	0.002994	艶然
prostitute	0.002919	媛,淫婦
stone	0.002844	石弓,要
girl	0.002794	別嬪,媛
out	0.002718	始末,樓
birth	0.002695	媛,素生
delicate	0.002665	優艶,微妙
lose	0.002566	窶す,萎える
inferior	0.002566	駑馬
very	0.002545	凄い,新子
fun	0.002531	嬲る,愛きょう
care	0.002510	保母,接する
look	0.002510	接する,樓
relation	0.002487	姻族,雑婚
able	0.002487	妥当,微妙
be	0.002412	好き,始末,須臾
parent	0.002395	素生,考妣
amusement	0.002395	娯楽,愛きょう
entertainment	0.002395	娯楽,愛きょう
become	0.002340	焼ける,萎える
number	0.002245	数
match	0.002245	媒酌
child	0.002245	保母
worker	0.002245	保母
kindergarten	0.002245	保母
teacher	0.002245	保母
son	0.002245	聟
hus	0.002245	聟
band	0.002245	聟
groom	0.002245	聟
consideration	0.002245	諒恕
