# word cloud top all for element 宀
# token	weight	(optional sources)
one	0.009252	割り,寄せる,控える,演じる,突っ込む,窶す,絞る,裡,踪跡,阿彌陀
treasure	0.008544	大宝,貨
hurry	0.007120	倥偬
shen	0.007120	瀋陽
yang	0.007120	瀋陽
vault	0.006103	穹窿
calm	0.005933	宥める,晏然
beautiful	0.005764	優艶,窈窕
graceful	0.005764	優艶,窈窕
con	0.005615	定期,寄せる,狭窄,窓口,絞る,縮める,芙蓉
imperial	0.005523	勅諚,宮,裡,院
make	0.005407	容れる,控える,演じる,縮める,詫びる,開ける,駱駝
bowl	0.005221	碗,鋺
up	0.005091	喀血,守立てる,宵っ張り,絞る,貯える,開ける
sub	0.005010	主客,実質,崇高,院
hole	0.004934	穴,窖,竈突,腕貫
pour	0.004746	滂沱
anchor	0.004746	碇泊
slim	0.004746	窈窕
nit	0.004746	窒化
ride	0.004746	窒化
lie	0.004381	寝る
police	0.004272	警察
self	0.004147	控える,演じる,窶す,裡
person	0.003848	牢人,窓口,被管,馬鹿,鶴首
horse	0.003715	穴,鞍馬
pit	0.003715	穴,陥穽
end	0.003709	完,当て,窮める,腕貫,開ける
lime	0.003560	崇高
tranquil	0.003560	晏然
trap	0.003560	陥穽
fall	0.003560	陥穽
potter	0.003560	窯元
pottery	0.003560	窯元
hall	0.003560	会館
hearth	0.003560	竈突
suddenly	0.003560	豁然
look	0.003441	寂,総覧,覘く
noble	0.003362	屋形,崇高
be	0.003263	寤寐,竄入
room	0.003170	寮,房室,開ける,魔窟
ion	0.003154	旨,突っ込む,蛇腹,誼み,院
someth	0.003100	当て,演じる,窮める,馬鹿
emperor	0.003022	宸襟,裡
stand	0.002992	佇み,窮める
camel	0.002848	駱駝
frame	0.002848	額
law	0.002797	嫁,掟
bed	0.002784	寝る,房室
small	0.002769	少し,鋺
relation	0.002748	控える,誼み
cold	0.002670	寒け
ite	0.002670	寵児
down	0.002663	寝る,控える,絞る,覘く
mind	0.002611	宸襟,寛大
ship	0.002578	控える,舵取り,誼み
rebuke	0.002528	窘める,絞る
age	0.002528	碇泊,穴
lottery	0.002441	富み,阿彌陀
take	0.002429	容れる,宿る,竄入,覘く
servant	0.002373	被管
imply	0.002373	寓する
reside	0.002373	寓する
temporarily	0.002373	寓する
asleep	0.002373	寤寐
awake	0.002373	寤寐
livelihood	0.002373	佇み
still	0.002373	佇み
soothe	0.002373	宥める
pacify	0.002373	宥める
banyan	0.002373	榕樹
stream	0.002373	滂沱
murmur	0.002373	淙淙
