# word cloud top all for element 山
# token	weight	(optional sources)
precipitous	0.025520	崎嶇,険,険しい,険阻
ness	0.023178	剴切,半端,覬覦
steep	0.018616	峻峭,崎嶇,険しい,険阻
covetous	0.014794	覬覦
severe	0.011712	峻峭,険しい
cliff	0.010521	崖縁,磐
rock	0.010110	揺さ振る,磐
victory	0.009863	凱歌
one	0.009382	両,対峙,崩す,嶋,鎧う
mountain	0.009254	山,峠,泰山
anchor	0.008877	磐
crag	0.008877	磐
boulder	0.008877	磐
lofty	0.008630	崇高,巍峨
hard	0.008384	喘ぐ,崎嶇
place	0.008096	河岸,瀬,篏める,険阻
sub	0.007397	崇高
lime	0.007397	崇高
sweden	0.007397	瑞
switzerland	0.007397	瑞
band	0.007397	繃帯
age	0.007397	繃帯
dress	0.007397	繃帯
difficult	0.006975	峠,崎嶇
tower	0.006781	崛起,巍峨
power	0.006575	屈す,水碓
feel	0.006452	催す,屈す,閊える
water	0.006411	水碓,炭酸
peak	0.006388	山,峠,嶺
ridge	0.005988	峠,嶺
trouble	0.005918	崎嶇
river	0.005548	河岸
cancer	0.005548	癌研
research	0.005548	癌研
stand	0.005055	対峙,崛起,砕ける
soar	0.004931	巍峨
tall	0.004931	峻峭
dignify	0.004931	峻峭
cruel	0.004931	峻峭
mill	0.004931	水碓
stone	0.004931	水碓
song	0.004931	凱歌
back	0.004931	嶺
blade	0.004931	嶺
summit	0.004931	嶺
top	0.004931	嶺
japan	0.004931	磯城島
no	0.004837	剣ヶ峰,豈
give	0.004757	催す,出る,屈す
precipice	0.004603	崖縁,険阻
out	0.004581	出る,崛起,祟る
off	0.004462	対峙,崩す,揺さ振る,砕ける
carbonate	0.004438	炭酸
position	0.004426	剣ヶ峰,崖縁,瀬
put	0.004327	崩す,揺さ振る,篏める,鎧う
guess	0.004098	山,揣摩
speculation	0.004098	山,揣摩
up	0.003904	出る,掘る,篏める,閊える
enter	0.003853	出る,疝痛
hold	0.003781	催す,対峙
noble	0.003699	崇高
wear	0.003699	鎧う
armour	0.003699	鎧う
appropriate	0.003699	剴切
adequacy	0.003699	剴切
apt	0.003699	剴切
relevance	0.003699	剴切
great	0.003699	泰山
large	0.003699	泰山
bank	0.003699	河岸
gorge	0.003699	峡谷
ravine	0.003699	峡谷
canyon	0.003699	峡谷
glen	0.003699	峡谷
novel	0.003699	斬新
original	0.003699	斬新
new	0.003699	斬新
innovative	0.003699	斬新
conjecture	0.003699	揣摩
surmise	0.003699	揣摩
colic	0.003699	疝痛
celialgia	0.003699	疝痛
algia	0.003699	疝痛
gripe	0.003699	疝痛
dig	0.003699	掘る
road	0.003522	峠,車輛
high	0.003306	山,峠,崛起
edge	0.003288	崖縁
show	0.003113	催す,出る
critical	0.003100	山,峠,崖縁
robust	0.002959	屈強
brawny	0.002959	屈強
muscular	0.002959	屈強
strong	0.002959	屈強
sturdy	0.002959	屈強
sign	0.002959	催す
island	0.002959	嶋
territory	0.002959	嶋
turf	0.002959	嶋
den	0.002959	魔窟
over	0.002938	出る,屈す,辿る
crowd	0.002906	密,崛起
vehicle	0.002836	両,車輛
way	0.002836	半端,豈
sex	0.002671	掘る,篏める
room	0.002617	剣ヶ峰,魔窟
poor	0.002578	微か,拙い
buddhist	0.002536	密,金剛
point	0.002513	山,峠
down	0.002489	屈す,崩す
break	0.002479	出る,崩す,砕ける
get	0.002466	出る,閊える
shake	0.002466	揺さ振る
roll	0.002466	車輛
stock	0.002466	車輛
rail	0.002466	車輛
car	0.002466	車輛
wheel	0.002466	車輛
suffer	0.002466	喘ぐ
struggle	0.002466	喘ぐ
gasp	0.002466	喘ぐ
pant	0.002466	喘ぐ
breathe	0.002466	喘ぐ
yamato	0.002466	磯城島
art	0.002466	磯城島
class	0.002466	磯城島
ical	0.002466	磯城島
ese	0.002466	磯城島
poetry	0.002466	磯城島
storm	0.002466	嵐
come	0.002424	出る,祟る
set	0.002332	両,出る,半端,篏める
fool	0.002331	半端,拙い
ish	0.002331	半端,拙い
est	0.002290	峠,嵐
go	0.002281	出る,辿る
self	0.002272	崩す,鎧う
pile	0.002249	山,嵐,閊える
become	0.002219	砕ける
secret	0.002113	密
part	0.002011	出る,山,峠
throw	0.001984	崩す,砕ける,篏める
incomplete	0.001973	半端
follow	0.001973	辿る
trace	0.001973	辿る
half	0.001973	半端
take	0.001962	出る,篏める,辿る
ion	0.001857	話し,辿る
anal	0.001849	掘る
delve	0.001849	掘る
excavate	0.001849	掘る
hollow	0.001849	掘る
dominate	0.001849	崛起
rise	0.001849	崛起
abruptly	0.001849	崛起
grim	0.001849	険しい
