# word cloud top all for element 广
# token	weight	(optional sources)
stable	0.014739	小康,廐舎
good	0.013720	唐物,暖簾,贓物,麁品
cowsh	0.012896	廐舎
office	0.009672	府,本庁,金庫
ion	0.008297	対応,小康,渡り,糜爛,腑分け
head	0.007357	本庁,荘官,首席
man	0.007348	庚申,荘官,首席,麿
become	0.006666	小康,磨れる,糜爛,腐る
rice	0.006448	倉廩
gran	0.006448	倉廩
ary	0.006448	倉廩
punishment	0.006448	膺懲
chastisement	0.006448	膺懲
steal	0.006448	贓物
black	0.006448	驪竜
dragon	0.006448	驪竜
francolin	0.006448	鷓鴣
part	0.006448	鷓鴣
ridge	0.006448	鷓鴣
deer	0.006448	麈尾,麋
one	0.005948	一角,俯せ,廚子,磨れる,誤魔化す
employ	0.005373	桂庵,雇う
bottom	0.005291	底抜け,麓
order	0.005284	序,纏める,腑分け
less	0.005167	底抜け,糟糠,腐る
sieve	0.005158	裏漉し
way	0.004883	中庸,恁麽,誤魔化す
face	0.004657	俯せ,序
down	0.004647	俯せ,羈縻,腐る
vehicle	0.004606	廃車
hire	0.004299	雇う
charter	0.004299	雇う
sort	0.004299	恁麽
what	0.004299	恁麽
large	0.004299	麈尾,麋
giraffe	0.004299	麒麟
horse	0.004299	麒麟
ride	0.004299	麒麟
ri	0.004299	麒麟
day	0.004299	麒麟
qilin	0.004299	麒麟
foot	0.004299	麓
base	0.004299	麓
knife	0.004299	庖丁
ese	0.004204	唐物,廂,羈縻
food	0.003992	庖丁,糟糠
out	0.003931	廃車,磨れる,誤魔化す,麁品
coal	0.003685	炭鉱
mine	0.003685	炭鉱
gild	0.003685	滅金
fish	0.003685	鮟鱇
import	0.003596	唐物,渡り
seat	0.003557	府,座,首席
land	0.003517	荒れ野
red	0.003322	曲輪,麋
pre	0.003275	序,滅金
lie	0.003271	俯せ,誤魔化す
cook	0.003271	庖丁,誤魔化す
kanji	0.003224	麻垂れ
dot	0.003224	麻垂れ
cliff	0.003224	麻垂れ
radical	0.003224	麻垂れ
administrator	0.003224	荘官
manor	0.003224	荘官
village	0.003224	荘官
normal	0.003224	士庶
people	0.003224	士庶
samurai	0.003224	士庶
commoner	0.003224	士庶
dissect	0.003224	腑分け
sucrose	0.003224	ショ糖
saccharose	0.003224	ショ糖
cane	0.003224	ショ糖
sugar	0.003224	ショ糖
mean	0.003224	中庸
middle	0.003224	中庸
put	0.003224	纏める,腑分け
fool	0.003071	馬鹿,鮟鱇
spread	0.003034	拡げる
plain	0.003015	糟糠,荒れ野
carve	0.003009	庖丁,廚子
name	0.002981	座,暖簾,麿
open	0.002950	序,拡げる
core	0.002690	床,廂
chin	0.002687	唐物,羈縻
make	0.002592	拡げる,麈尾
press	0.002579	裏漉し
through	0.002579	裏漉し
puree	0.002579	裏漉し
marry	0.002579	伉儷
couple	0.002579	伉儷
spouse	0.002579	伉儷
hus	0.002579	伉儷
band	0.002579	伉儷
wife	0.002579	伉儷
righteous	0.002579	慷慨
indignation	0.002579	慷慨
patriotic	0.002579	慷慨
lamentation	0.002579	慷慨
deploration	0.002579	慷慨
lathe	0.002579	轆轤
potter	0.002579	轆轤
wheel	0.002579	轆轤
pulley	0.002579	轆轤
wind	0.002579	轆轤
lass	0.002579	轆轤
place	0.002565	俯せ,座
trifle	0.002559	糟糠,麁品
district	0.002345	曲輪
bed	0.002345	床
desert	0.002345	荒れ野
wild	0.002345	荒れ野
wear	0.002345	磨れる
plat	0.002258	座,滅金
over	0.002243	誤魔化す
low	0.002234	廂,麁品
strong	0.002149	金庫
box	0.002149	金庫
central	0.002149	本庁
government	0.002149	本庁
kit	0.002149	庖丁
chen	0.002149	庖丁
system	0.002149	羈縻
kind	0.002149	恁麽
prefecture	0.002149	府
fu	0.002149	府
centre	0.002149	府
center	0.002149	府
dethrone	0.002149	廢する
depose	0.002149	廢する
abolish	0.002149	廢する
abandon	0.002149	廢する
repeal	0.002149	廢する
discontinue	0.002149	廢する
congratulate	0.002149	歓ぶ
grate	0.002149	歓ぶ
fully	0.002149	歓ぶ
accept	0.002149	歓ぶ
delight	0.002149	歓ぶ
glad	0.002149	歓ぶ
please	0.002149	歓ぶ
tail	0.002149	麈尾
moose	0.002149	麋
elk	0.002149	麋
cash	0.002149	金庫
ish	0.002131	拡げる,馬鹿
top	0.001984	首席
song	0.001849	序,座
bend	0.001842	靡く
flutter	0.001842	靡く
wave	0.001842	靡く
yield	0.001842	靡く
sway	0.001842	靡く
bow	0.001842	靡く
obey	0.001842	靡く
metal	0.001842	庚申
monkey	0.001842	庚申
sh	0.001842	庚申
kong	0.001842	庚申
shin	0.001842	庚申
machi	0.001842	庚申
remiss	0.001842	小康
lull	0.001842	小康
breathe	0.001842	小康
spell	0.001842	小康
respite	0.001842	小康
temporary	0.001842	廠舎
lodge	0.001842	廠舎
roof	0.001842	廠舎
no	0.001842	廠舎
wall	0.001842	廠舎
bar	0.001842	廠舎
rack	0.001842	廠舎
cantonment	0.001842	廠舎
shaft	0.001842	炭鉱
pit	0.001842	炭鉱
colliery	0.001842	炭鉱
chaff	0.001842	糟糠
bran	0.001842	糟糠
worth	0.001842	糟糠
thing	0.001842	糟糠
tense	0.001842	滅金
pretence	0.001842	滅金
simulation	0.001842	滅金
coat	0.001842	滅金
curve	0.001842	鮟鱇
gutter	0.001842	鮟鱇
goose	0.001842	鮟鱇
monk	0.001842	鮟鱇
sea	0.001842	鮟鱇
devil	0.001842	鮟鱇
con	0.001798	度,渡り
rub	0.001786	塵,磨れる
clean	0.001786	塵,綺麗
corrupt	0.001781	糜爛,腐る
degenerate	0.001781	糜爛,腐る
curtain	0.001719	暖簾
double	0.001719	廚子
door	0.001719	廚子
doctrine	0.001612	中庸
mode	0.001612	中庸
ration	0.001612	中庸
path	0.001612	中庸
ability	0.001612	対応
ana	0.001612	腑分け
lysi	0.001612	腑分け
autopsy	0.001612	腑分け
post	0.001612	腑分け
mortem	0.001612	腑分け
examination	0.001612	腑分け
second	0.001612	唐物
hand	0.001612	唐物
old	0.001612	唐物
furniture	0.001612	唐物
degree	0.001612	度
alcohol	0.001612	度
care	0.001606	塵,底抜け
lose	0.001521	磨れる,腐る
classic	0.001517	廂
japan	0.001517	廂
women	0.001517	廂
pompadour	0.001517	廂
hair	0.001517	廂
style	0.001517	廂
narrow	0.001517	廂
aisle	0.001517	廂
surround	0.001517	廂
temple	0.001517	廂
build	0.001517	廂
awn	0.001517	廂
eav	0.001517	廂
visor	0.001517	廂
brim	0.001517	廂
peak	0.001517	廂
flour	0.001517	拡げる
cause	0.001517	拡げる
prosper	0.001517	拡げる
scatter	0.001517	拡げる
around	0.001517	拡げる
unfold	0.001517	拡げる
unroll	0.001517	拡げる
unwrap	0.001517	拡げる
extend	0.001517	拡げる
expand	0.001517	拡げる
enlarge	0.001517	拡げる
widen	0.001517	拡げる
broaden	0.001517	拡げる
will	0.001474	塵,暖簾
matter	0.001474	一角,馬鹿
someth	0.001474	一角,馬鹿
begin	0.001433	序
start	0.001433	序
fore	0.001433	序
word	0.001433	序
introduction	0.001433	序
dissipation	0.001433	糜爛
sore	0.001433	糜爛
erosion	0.001433	糜爛
ulceration	0.001433	糜爛
abscess	0.001433	糜爛
decomposition	0.001433	糜爛
gift	0.001433	麁品
go	0.001423	桂庵,腐る
thin	0.001290	麿
shave	0.001290	麿
eye	0.001290	麿
brow	0.001290	麿
affectionate	0.001290	麿
suffix	0.001290	麿
young	0.001290	麿
pet	0.001290	麿
me	0.001290	麿
absurd	0.001228	馬鹿
counter	0.001222	度,座
use	0.001208	暖簾,腐る
innocence	0.001172	磨れる
sly	0.001172	磨れる
chafe	0.001172	磨れる
waste	0.001172	荒れ野
wilderness	0.001172	荒れ野
prairie	0.001172	荒れ野
vast	0.001172	荒れ野
alcove	0.001172	床
floor	0.001172	床
riverb	0.001172	床
seedb	0.001172	床
sickb	0.001172	床
straw	0.001172	床
tatami	0.001172	床
mat	0.001172	床
completely	0.001172	綺麗
entirely	0.001172	綺麗
pretty	0.001172	綺麗
lovely	0.001172	綺麗
beautiful	0.001172	綺麗
fair	0.001172	綺麗
clear	0.001172	綺麗
pure	0.001172	綺麗
tidy	0.001172	綺麗
neat	0.001172	綺麗
light	0.001172	曲輪
wide	0.001172	曲輪
empty	0.001172	曲輪
quarter	0.001172	曲輪
enclosure	0.001172	曲輪
area	0.001172	曲輪
enclose	0.001172	曲輪
earth	0.001172	曲輪
work	0.001172	曲輪
company	0.001132	座,麁品
embezzle	0.001121	誤魔化す
pocket	0.001121	誤魔化す
deceive	0.001121	誤魔化す
cheat	0.001121	誤魔化す
swindle	0.001121	誤魔化す
evade	0.001121	誤魔化す
dodge	0.001121	誤魔化す
gloss	0.001121	誤魔化す
smooth	0.001121	誤魔化す
get	0.001121	誤魔化す
explain	0.001121	誤魔化す
away	0.001121	誤魔化す
falsify	0.001121	誤魔化す
misrepresent	0.001121	誤魔化す
tamper	0.001121	誤魔化す
doctor	0.001121	誤魔化す
depository	0.001075	金庫
treasury	0.001075	金庫
provider	0.001075	金庫
fund	0.001075	金庫
safe	0.001075	金庫
vault	0.001075	金庫
room	0.001075	金庫
upside	0.001075	俯せ
jimi	0.001075	羈縻
ancient	0.001075	羈縻
self	0.001075	羈縻
rule	0.001075	羈縻
administrative	0.001075	羈縻
tie	0.001075	羈縻
fasten	0.001075	羈縻
bind	0.001075	羈縻
keian	0.001075	桂庵
era	0.001075	桂庵
flattery	0.001075	桂庵
flatterer	0.001075	桂庵
agency	0.001075	桂庵
servant	0.001075	桂庵
arrange	0.001075	桂庵
marriage	0.001075	桂庵
mediator	0.001075	桂庵
between	0.001075	桂庵
priest	0.001075	麈尾
flap	0.001075	麈尾
per	0.001075	麈尾
long	0.001075	麈尾
stick	0.001075	麈尾
attach	0.001075	麈尾
chief	0.000992	首席
first	0.000992	首席
desk	0.000992	首席
student	0.000992	首席
class	0.000992	首席
chair	0.000992	首席
governor	0.000992	首席
president	0.000992	首席
extremely	0.000992	底抜け
heavy	0.000992	底抜け
drinker	0.000992	底抜け
free	0.000992	底抜け
fall	0.000992	底抜け
imprudent	0.000992	底抜け
indiscreet	0.000992	底抜け
undisciplin	0.000992	底抜け
unbound	0.000992	底抜け
bound	0.000992	底抜け
extreme	0.000992	底抜け
uninhibit	0.000992	底抜け
connect	0.000992	渡り
glide	0.000992	渡り
migration	0.000992	渡り
wander	0.000992	渡り
wanderer	0.000992	渡り
tact	0.000992	渡り
relation	0.000992	渡り
negotiation	0.000992	渡り
cross	0.000992	渡り
pas	0.000992	渡り
sage	0.000992	渡り
tran	0.000992	渡り
sit	0.000992	渡り
deregister	0.000921	廃車
unregister	0.000921	廃車
deregistere	0.000921	廃車
unregistere	0.000921	廃車
decommission	0.000921	廃車
service	0.000921	廃車
end	0.000921	廃車
life	0.000921	廃車
field	0.000860	一角
suitably	0.000860	一角
reasonably	0.000860	一角
cut	0.000860	一角
above	0.000860	一角
rest	0.000860	一角
superior	0.000860	一角
respect	0.000860	一角
able	0.000860	一角
full	0.000860	一角
fledge	0.000860	一角
uncommon	0.000860	一角
cabinet	0.000860	廚子
decorate	0.000860	廚子
stone	0.000860	廚子
container	0.000860	廚子
store	0.000860	廚子
bone	0.000860	廚子
ancestor	0.000860	廚子
miniature	0.000860	廚子
shrine	0.000860	廚子
hang	0.000860	暖簾
shop	0.000860	暖簾
entrance	0.000860	暖簾
split	0.000860	暖簾
divide	0.000860	暖簾
space	0.000860	暖簾
