# word cloud top all for element 廾
# token	weight	(optional sources)
festival	0.023072	祭禮
snore	0.023072	鼾
out	0.014621	噴出す,旧弊,飛ばす,騙る
old	0.012305	廿,旧弊
revision	0.011536	刪修
reform	0.011536	刪修
trap	0.011536	陥穽
pit	0.011536	陥穽
fall	0.011536	陥穽
ness	0.010625	艶,褊狭,鬱憤
up	0.010082	登る,鬱憤
plant	0.009229	花卉
flower	0.009229	花卉
bearer	0.009229	駕籠舁き
narrow	0.009229	褊狭
square	0.008390	桝
mea	0.008390	桝
sure	0.008390	桝
grid	0.008390	桝
farm	0.008331	耕地,農家
do	0.008180	丁髷,弄る,飛ばす
year	0.007691	廿
twenty	0.007691	廿
turn	0.007416	蝙蝠,飜る
evil	0.007306	旧弊,膿み
movie	0.007286	本編
story	0.007286	本編
one	0.006922	騙る,鼻先
against	0.006592	警める
conger	0.006592	鱧
eel	0.006592	鱧
over	0.005960	豊か,辯,飛ばす,飜る
pu	0.005768	膿み
corrupt	0.005768	膿み
ion	0.005768	膿み
rot	0.005768	膿み
bat	0.005768	蝙蝠
umbrella	0.005768	蝙蝠
opportunist	0.005768	蝙蝠
coat	0.005768	蝙蝠
sweet	0.005768	醴
please	0.005768	丁髷
top	0.005768	丁髷
knot	0.005768	丁髷
place	0.005768	雲居
school	0.005768	農家
make	0.005611	弄る,醴,飛ばす
strong	0.005127	濃い
deep	0.005127	濃い
thick	0.005127	濃い
land	0.005127	耕地
box	0.005082	桝,辯
tv	0.004857	本編
sery	0.004857	本編
main	0.004857	本編
tip	0.004614	鼻先
nose	0.004614	鼻先
ornamental	0.004614	花卉
plain	0.004614	扁たい
simple	0.004614	扁たい
flat	0.004614	扁たい
even	0.004614	扁たい
level	0.004614	扁たい
dawn	0.004614	曉
day	0.004614	曉
break	0.004614	曉
event	0.004614	曉
occasion	0.004614	曉
occurrence	0.004614	曉
palanquin	0.004614	駕籠舁き
sedan	0.004614	駕籠舁き
chair	0.004614	駕籠舁き
mindedness	0.004614	褊狭
intolerance	0.004614	褊狭
illiberality	0.004614	褊狭
write	0.004195	草紙
bear	0.004195	桝
block	0.004195	桝
container	0.004195	桝
cell	0.004195	桝
pre	0.004082	囲う,騙る
protect	0.003549	囲う
resentment	0.003296	鬱憤
grudge	0.003296	鬱憤
pen	0.003296	鬱憤
anger	0.003296	鬱憤
frustration	0.003296	鬱憤
bitter	0.003296	鬱憤
flip	0.003296	飜る
suddenly	0.003296	飜る
dagger	0.003296	鱧
tooth	0.003296	鱧
pike	0.003296	鱧
garden	0.003296	鱧
cautious	0.003296	警める
punish	0.003296	警める
detest	0.003296	警める
loathe	0.003296	警める
warn	0.003296	警める
caution	0.003296	警める
admonish	0.003296	警める
scold	0.003296	警める
rebuke	0.003296	警める
prohibit	0.003296	警める
forbid	0.003296	警める
ban	0.003296	警める
under	0.003195	辯,鼻先
fashion	0.003076	旧弊
outdat	0.003076	旧弊
fly	0.002906	飛ばす,飜る
house	0.002884	農家
agrarian	0.002884	農家
ism	0.002884	農家
agronomist	0.002884	農家
farmer	0.002884	農家
family	0.002884	農家
cloud	0.002884	雲居
imperial	0.002884	雲居
court	0.002884	雲居
sky	0.002884	雲居
distant	0.002884	雲居
high	0.002884	雲居
half	0.002884	醴
sake	0.002884	醴
drink	0.002884	醴
ferment	0.002884	醴
rice	0.002884	醴
slope	0.002884	範
measurement	0.002884	範
change	0.002802	弄る,飜る
ample	0.002714	豊か
rich	0.002714	豊か
go	0.002714	登る
ascend	0.002714	登る
send	0.002700	噴出す,飛ばす
off	0.002616	豊か,飛ばす
arable	0.002564	耕地
plantation	0.002564	耕地
fazenda	0.002564	耕地
hacienda	0.002564	耕地
large	0.002564	耕地
estate	0.002564	耕地
dark	0.002564	濃い
dense	0.002564	濃い
close	0.002564	濃い
feel	0.002511	弄る,艶
volume	0.002429	本編
base	0.002429	本編
version	0.002429	本編
feature	0.002429	本編
film	0.002429	本編
original	0.002429	本編
part	0.002429	本編
swindle	0.002307	騙る
cheat	0.002307	騙る
defraud	0.002307	騙る
misrepresent	0.002307	騙る
self	0.002307	騙る
tend	0.002307	騙る
assume	0.002307	騙る
falsify	0.002307	騙る
around	0.002307	弄る
play	0.002307	弄る
before	0.002307	鼻先
eye	0.002307	鼻先
front	0.002307	鼻先
text	0.002097	草紙
entirely	0.002097	草紙
kana	0.002097	草紙
graphic	0.002097	草紙
novel	0.002097	草紙
not	0.002097	草紙
ebook	0.002097	草紙
rough	0.002097	草紙
draft	0.002097	草紙
work	0.002097	草紙
blow	0.001861	噴出す,飛ばす
shoot	0.001861	噴出す,飛ばす
keep	0.001775	囲う
store	0.001775	囲う
serve	0.001775	囲う
shelter	0.001775	囲う
shield	0.001775	囲う
hide	0.001775	囲う
enclose	0.001775	囲う
surround	0.001775	囲う
encircle	0.001775	囲う
fence	0.001775	囲う
wall	0.001775	囲う
flutter	0.001648	飜る
wave	0.001648	飜る
flap	0.001648	飜る
switch	0.001648	飜る
alter	0.001648	飜る
long	0.001538	旧弊
stand	0.001538	旧弊
abuse	0.001538	旧弊
way	0.001538	旧弊
notion	0.001538	旧弊
mode	0.001538	旧弊
antiquate	0.001538	旧弊
model	0.001442	範
pat	0.001442	範
tern	0.001442	範
side	0.001442	範
tea	0.001442	範
ching	0.001442	範
buddha	0.001442	範
buddhist	0.001442	範
doctrine	0.001442	範
transverse	0.001442	範
across	0.001442	範
rule	0.001442	範
law	0.001442	範
regulation	0.001442	範
burst	0.001442	噴出す
laughter	0.001442	噴出す
sprout	0.001442	噴出す
bud	0.001442	噴出す
spout	0.001442	噴出す
spurt	0.001442	噴出す
gush	0.001442	噴出す
jet	0.001442	噴出す
add	0.001357	登る
advance	0.001357	登る
pro	0.001357	登る
mote	0.001357	登る
come	0.001357	登る
rise	0.001357	登る
swim	0.001357	登る
sail	0.001357	登る
climb	0.001357	登る
mellow	0.001357	艶
youthful	0.001357	艶
romance	0.001357	艶
love	0.001357	艶
sexiness	0.001357	艶
gloss	0.001357	艶
luster	0.001357	艶
lustre	0.001357	艶
shine	0.001357	艶
sheen	0.001357	艶
polish	0.001357	艶
inter	0.001357	艶
est	0.001357	艶
appeal	0.001357	艶
charm	0.001357	艶
color	0.001357	艶
colour	0.001357	艶
excess	0.001357	豊か
open	0.001357	豊か
relax	0.001357	豊か
easy	0.001357	豊か
plump	0.001357	豊か
full	0.001357	豊か
abundant	0.001357	豊か
plentiful	0.001357	豊か
weal	0.001357	豊か
thy	0.001357	豊か
affluent	0.001357	豊か
well	0.001357	豊か
grope	0.001154	弄る
tease	0.001154	弄る
fun	0.001154	弄る
dabble	0.001154	弄る
hobby	0.001154	弄る
tinker	0.001154	弄る
tamper	0.001154	弄る
finger	0.001154	弄る
touch	0.001154	弄る
fiddle	0.001154	弄る
toy	0.001154	弄る
petal	0.000887	辯
valve	0.000887	辯
sight	0.000887	辯
department	0.000887	辯
division	0.000887	辯
daijokan	0.000887	辯
ritsury	0.000887	辯
system	0.000887	辯
responsible	0.000887	辯
control	0.000887	辯
central	0.000887	辯
provincial	0.000887	辯
govern	0.000887	辯
mental	0.000887	辯
office	0.000887	辯
bento	0.000887	辯
japan	0.000887	辯
ese	0.000887	辯
lunch	0.000887	辯
dial	0.000887	辯
ect	0.000887	辯
brogue	0.000887	辯
accent	0.000887	辯
speech	0.000887	辯
tongue	0.000887	辯
talk	0.000887	辯
eloquence	0.000887	辯
fast	0.000839	飛ばす
attack	0.000419	飛ばす
dispatch	0.000419	飛ばす
quickly	0.000419	飛ばす
get	0.000419	飛ばす
rid	0.000419	飛ばす
burn	0.000419	飛ばす
vigorously	0.000419	飛ばす
roughly	0.000419	飛ばす
energetic	0.000419	飛ばす
ally	0.000419	飛ばす
run	0.000419	飛ばす
drive	0.000419	飛ばす
gallop	0.000419	飛ばす
say	0.000419	飛ばす
without	0.000419	飛ばす
reservation	0.000419	飛ばす
call	0.000419	飛ばす
rattle	0.000419	飛ばす
spray	0.000419	飛ばす
splash	0.000419	飛ばす
spatter	0.000419	飛ばす
transfer	0.000419	飛ばす
away	0.000419	飛ばす
demote	0.000419	飛ばす
skip	0.000419	飛ばす
leave	0.000419	飛ばす
omit	0.000419	飛ばす
drop	0.000419	飛ばす
spread	0.000419	飛ばす
circu	0.000419	飛ばす
late	0.000419	飛ばす
issue	0.000419	飛ばす
let	0.000419	飛ばす
launch	0.000419	飛ばす
fire	0.000419	飛ばす
hurl	0.000419	飛ばす
