# word cloud top all for element 弓
# token	weight	(optional sources)
sell	0.023831	鬻ぐ
post	0.011916	弖爾乎波
position	0.011916	弖爾乎波
particle	0.011916	弖爾乎波
indignant	0.011916	怫然
wrathful	0.011916	怫然
spread	0.010923	弘める,瀰漫
vault	0.010213	穹窿
bay	0.007944	内湾
curve	0.007944	湾曲
bend	0.007944	湾曲
crook	0.007944	湾曲
embayment	0.007944	湾入
gulf	0.007944	湾入
indentation	0.007944	湾入
pervasion	0.007944	瀰漫
permeation	0.007944	瀰漫
arrow	0.007944	矢矧
wale	0.007944	ミミズ腫れ
welt	0.007944	ミミズ腫れ
weal	0.007944	ミミズ腫れ
sar	0.007944	赤鰯
dine	0.007944	赤鰯
jelly	0.006499	蒟蒻
string	0.005997	三絃,引張る
close	0.005958	髣髴
resemblance	0.005958	髣髴
vivid	0.005958	髣髴
reminder	0.005958	髣髴
dim	0.005958	髣髴
faint	0.005958	髣髴
vague	0.005958	髣髴
blur	0.005958	髣髴
hold	0.005772	弔う,牽く
become	0.005735	溺れる,緩む
three	0.005296	三絃
instrument	0.005296	三絃
service	0.005296	弔う
one	0.005022	引張る,溺れる,緩む,阿彌陀
graceful	0.004766	嫋やか
willowy	0.004766	嫋やか
lissome	0.004766	嫋やか
soft	0.004766	嫋やか
tender	0.004766	嫋やか
loin	0.004766	襁褓
cloth	0.004766	襁褓
swaddle	0.004766	襁褓
clothe	0.004766	襁褓
diaper	0.004766	襁褓
nappy	0.004766	襁褓
down	0.004629	弱る,牽く,緩む
someth	0.004510	溺れる,窮める
person	0.004423	球,鼻垂れ
konnyaku	0.004333	蒟蒻
konjac	0.004333	蒟蒻
devil	0.004333	蒟蒻
tongue	0.004333	蒟蒻
pull	0.004234	引張る,牽く
over	0.004050	溺れる,漲る
ferment	0.003972	沸く
fletcher	0.003972	矢矧
maker	0.003972	矢矧
fletch	0.003972	矢矧
make	0.003972	矢矧
grow	0.003972	弱る,沸く
enclose	0.003972	内湾
inlet	0.003972	内湾
deep	0.003972	内湾
basin	0.003972	内湾
nock	0.003763	筈
use	0.003701	球,襷
draw	0.003561	引張る,牽く
up	0.003456	牽く,襷
lottery	0.003404	阿彌陀
give	0.003404	輔弼
emperor	0.003404	輔弼
advice	0.003404	輔弼
affair	0.003404	輔弼
state	0.003404	輔弼
assistance	0.003404	輔弼
counsel	0.003404	輔弼
baboon	0.003404	狒狒
lecher	0.003404	狒狒
dirty	0.003404	狒狒
old	0.003404	狒狒
man	0.003404	狒狒
skirt	0.003404	狒狒
chaser	0.003404	狒狒
dome	0.003404	穹窿
arch	0.003404	穹窿
heaven	0.003404	穹窿
sky	0.003404	穹窿
high	0.003393	強い,漲る
archer	0.003178	弓取り
net	0.003178	石弓
bow	0.003178	弓取り,石弓
japan	0.003087	戎,筈
melt	0.003069	沸く,緩む
drop	0.003033	球,石弓
broaden	0.002979	弘める
extend	0.002979	弘める
widen	0.002979	弘める
enlarge	0.002979	弘める
prop	0.002979	弘める
agate	0.002979	弘める
popularize	0.002979	弘める
disseminate	0.002979	弘める
green	0.002979	鼻垂れ
horn	0.002979	鼻垂れ
inexperienc	0.002979	鼻垂れ
runny	0.002979	鼻垂れ
nose	0.002979	鼻垂れ
child	0.002979	鼻垂れ
sniveler	0.002979	鼻垂れ
sniveller	0.002979	鼻垂れ
cord	0.002979	襷
tuck	0.002979	襷
sleeve	0.002979	襷
kimono	0.002979	襷
obi	0.002979	襷
sash	0.002979	襷
devote	0.002979	費やす
spend	0.002979	費やす
expend	0.002979	費やす
consume	0.002979	費やす
waste	0.002979	費やす
squander	0.002979	費やす
throw	0.002979	費やす
away	0.002979	費やす
ball	0.002867	引張る,球
take	0.002687	引張る,沸く
memorial	0.002648	弔う
funeral	0.002648	弔う
mourn	0.002648	弔う
grieve	0.002648	弔う
condole	0.002648	弔う
rusty	0.002648	赤鰯
blunt	0.002648	赤鰯
sword	0.002648	赤鰯
pickle	0.002648	赤鰯
dry	0.002648	赤鰯
red	0.002648	赤鰯
rise	0.002648	漲る
flow	0.002648	漲る
swell	0.002648	漲る
fill	0.002648	漲る
burst	0.002648	漲る
brim	0.002648	漲る
per	0.002648	漲る
vade	0.002648	漲る
prevail	0.002648	漲る
san	0.002648	三絃
xian	0.002648	三絃
shamisen	0.002648	三絃
sami	0.002648	三絃
sen	0.002648	三絃
end	0.002625	弓取り,窮める
go	0.002596	牽く,窮める,緩む
back	0.002565	牽く,阿彌陀
head	0.002537	溺れる,阿彌陀
able	0.002234	強い
strong	0.002234	強い
slacken	0.002166	緩む
completely	0.002072	窮める
reach	0.002072	窮める
thoroughly	0.002072	窮める
cast	0.001986	弱る
deject	0.001986	弱る
dispirit	0.001986	弱る
trouble	0.001986	弱る
loss	0.001986	弱る
perp	0.001986	弱る
lex	0.001986	弱る
annoy	0.001986	弱る
weaken	0.001986	弱る
weak	0.001986	弱る
wane	0.001986	弱る
decline	0.001986	弱る
hot	0.001986	沸く
boil	0.001986	沸く
get	0.001986	沸く
excite	0.001986	沸く
erupt	0.001986	沸く
place	0.001986	沸く
energetic	0.001986	沸く
ally	0.001986	沸く
wear	0.001836	引張る,阿彌陀
brutish	0.001833	戎
unsophisticat	0.001833	戎
warrior	0.001833	戎
people	0.001833	戎
formerly	0.001833	戎
northern	0.001833	戎
distinct	0.001833	戎
language	0.001833	戎
cul	0.001833	戎
ture	0.001833	戎
provincial	0.001833	戎
foreigner	0.001833	戎
barbarian	0.001833	戎
let	0.001805	球,緩む
cross	0.001589	石弓
apparatu	0.001589	石弓
atop	0.001589	石弓
wall	0.001589	石弓
contain	0.001589	石弓
large	0.001589	石弓
stone	0.001589	石弓
onto	0.001589	石弓
attacker	0.001589	石弓
cut	0.001589	石弓
sling	0.001589	石弓
shot	0.001589	石弓
catapult	0.001589	石弓
twirl	0.001589	弓取り
cere	0.001589	弓取り
mony	0.001589	弓取り
day	0.001589	弓取り
sumo	0.001589	弓取り
wrestle	0.001589	弓取り
dominion	0.001589	弓取り
whole	0.001589	弓取り
province	0.001589	弓取り
military	0.001589	弓取り
family	0.001589	弓取り
bowman	0.001589	弓取り
know	0.001489	強い
bead	0.001444	球
struggle	0.001402	溺れる
water	0.001402	溺れる
sink	0.001402	溺れる
below	0.001402	溺れる
surf	0.001402	溺れる
ace	0.001402	溺れる
unable	0.001402	溺れる
breathe	0.001402	溺れる
drown	0.001402	溺れる
indulge	0.001402	溺れる
lose	0.001402	溺れる
addict	0.001402	溺れる
wallow	0.001402	溺れる
join	0.001402	引張る
some	0.001402	引張る
shape	0.001254	筈
grip	0.001254	筈
wooden	0.001254	筈
frame	0.001254	筈
tip	0.001254	筈
mast	0.001254	筈
ese	0.001254	筈
ship	0.001254	筈
pre	0.001254	筈
vent	0.001254	筈
hawser	0.001254	筈
fall	0.001254	筈
out	0.001254	筈
should	0.001254	筈
bind	0.001254	筈
expect	0.001254	筈
must	0.001254	筈
haul	0.001178	引張る,牽く
lead	0.001178	引張る,牽く
quote	0.001178	引張る,牽く
