# word cloud top all for element 彡
# token	weight	(optional sources)
whisker	0.031065	鬚
hair	0.024711	彡旁,髻,鬘
surge	0.024162	澎湃
shadow	0.020365	景,鬚
form	0.018121	形式
moustache	0.015533	鬚
beard	0.015533	鬚
feeler	0.015533	鬚
tuft	0.015533	鬚
well	0.014670	滲む,澎湃
mackerel	0.014497	室鰺
scad	0.014497	室鰺
blur	0.014238	滲む,髣髴
sound	0.012081	澎湃
water	0.012081	澎湃
vigor	0.012081	澎湃
ous	0.012081	澎湃
wig	0.012081	鬘
piece	0.012081	鬘
toupee	0.012081	鬘
mountain	0.012081	山彦
do	0.011477	丁髷,謬る
death	0.010355	誅戮
swell	0.009061	膨大
expansion	0.009061	膨大
huge	0.009061	膨大
vast	0.009061	膨大
enormous	0.009061	膨大
colossal	0.009061	膨大
extensive	0.009061	膨大
large	0.009061	膨大
close	0.009061	髣髴
resemblance	0.009061	髣髴
vivid	0.009061	髣髴
reminder	0.009061	髣髴
dim	0.009061	髣髴
faint	0.009061	髣髴
vague	0.009061	髣髴
please	0.009061	丁髷
top	0.009061	丁髷
knot	0.009061	丁髷
time	0.009061	須臾
small	0.007249	小杉
cedar	0.007249	小杉
thin	0.007249	小杉
japan	0.007249	小杉
ese	0.007249	小杉
paper	0.007249	小杉
brown	0.007249	室鰺
strip	0.007249	室鰺
together	0.006590	髻
echo	0.006040	山彦
god	0.006040	山彦
guard	0.006040	山彦
ian	0.006040	山彦
deity	0.006040	山彦
kanji	0.006040	彡旁
three	0.006040	彡旁
ornament	0.006040	彡旁
radical	0.006040	彡旁
right	0.006040	彡旁
clay	0.006040	彫塑
model	0.006040	彫塑
plastic	0.006040	彫塑
art	0.006040	彫塑
carve	0.006040	彫塑
engrave	0.006040	彫塑
resin	0.006040	膠
tar	0.006040	膠
nicotine	0.006040	膠
sleep	0.006040	膠
eye	0.006040	膠
discharge	0.006040	膠
blot	0.005178	滲む
put	0.005178	誅戮
criminal	0.005178	誅戮
punishment	0.005178	誅戮
execution	0.005178	誅戮
penalty	0.005178	誅戮
mistake	0.004832	謬る
be	0.004530	須臾
long	0.004530	須臾
porous	0.004530	鬆
pithy	0.004530	鬆
spongy	0.004530	鬆
cavity	0.004530	鬆
pore	0.004530	鬆
hollow	0.004530	鬆
bubble	0.004530	鬆
blow	0.004530	鬆
hole	0.004530	鬆
formal	0.003624	形式
ity	0.003624	形式
mode	0.003624	形式
format	0.003624	形式
style	0.003624	形式
manner	0.003624	形式
lonely	0.003624	寥寥
dreary	0.003624	寥寥
desolate	0.003624	寥寥
barren	0.003624	寥寥
few	0.003624	寥寥
scarce	0.003624	寥寥
sparse	0.003624	寥寥
rare	0.003624	寥寥
hardly	0.003624	寥寥
any	0.003624	寥寥
place	0.003295	髻
where	0.003295	髻
gather	0.003295	髻
atop	0.003295	髻
head	0.003295	髻
tie	0.003295	髻
position	0.003295	髻
ooze	0.002589	滲む
up	0.002589	滲む
show	0.002589	滲む
through	0.002589	滲む
reveal	0.002589	滲む
itself	0.002589	滲む
run	0.002589	滲む
spread	0.002589	滲む
ble	0.002589	滲む
mislead	0.002416	謬る
misguide	0.002416	謬る
lead	0.002416	謬る
astray	0.002416	謬る
wrong	0.002416	謬る
incorrect	0.002416	謬る
false	0.002416	謬る
make	0.002416	謬る
commit	0.002416	謬る
error	0.002416	謬る
incorrectly	0.002416	謬る
err	0.002416	謬る
light	0.002416	景
ominous	0.002416	景
sign	0.002416	景
reflect	0.002416	景
ion	0.002416	景
image	0.002416	景
trace	0.002416	景
behind	0.002416	景
back	0.002416	景
ground	0.002416	景
other	0.002416	景
side	0.002416	景
silhouette	0.002416	景
figure	0.002416	景
shape	0.002416	景
moment	0.002265	須臾
minute	0.002265	須臾
while	0.002265	須臾
some	0.002265	須臾
now	0.002265	須臾
it	0.002265	須臾
no	0.002265	須臾
see	0.002265	須臾
