# word cloud top all for element 文
# token	weight	(optional sources)
stinginess	0.029807	悋嗇
miserliness	0.029807	悋嗇
parsi	0.029807	悋嗇
mony	0.029807	悋嗇
feel	0.019462	愛しむ,濟む
order	0.016766	調う
dishevel	0.014904	紊れる
sorry	0.014202	愛しむ,濟む
con	0.013839	対する,紊れる
com	0.013839	対する,憫れ
face	0.012774	対する
oppose	0.012774	対する
pare	0.011976	対する,調う
slit	0.011923	波紋
make	0.011923	波紋
ripple	0.011923	波紋
well	0.011178	調う
complete	0.010849	濟む,調う
reverent	0.009936	謹む
careful	0.009936	謹む
discreet	0.009936	謹む
purify	0.009936	謹む
chaste	0.009936	謹む
do	0.009936	謹む
mode	0.009936	謹む
ration	0.009936	謹む
refrain	0.009936	謹む
abstain	0.009936	謹む
frugal	0.008942	愛しむ
spar	0.008942	愛しむ
unwil	0.008942	愛しむ
reluctant	0.008942	愛しむ
regret	0.008942	愛しむ
value	0.008942	愛しむ
hold	0.008942	愛しむ
dear	0.008942	愛しむ
figure	0.008516	綾
design	0.008516	綾
alack	0.007452	憫れ
ala	0.007452	憫れ
pitiable	0.007452	憫れ
pitiful	0.007452	憫れ
pathetic	0.007452	憫れ
miser	0.007452	憫れ
able	0.007452	憫れ
pity	0.007452	憫れ
sorrow	0.007452	憫れ
grief	0.007452	憫れ
misery	0.007452	憫れ
passion	0.007452	憫れ
patho	0.007452	憫れ
lapse	0.007452	紊れる
chao	0.007452	紊れる
discompose	0.007452	紊れる
upset	0.007452	紊れる
get	0.007452	紊れる
fuse	0.007452	紊れる
disturb	0.007452	紊れる
disorder	0.007452	紊れる
disarrange	0.007452	紊れる
disarray	0.007452	紊れる
receive	0.006387	対する
direct	0.006387	対する
toward	0.006387	対する
response	0.006387	対する
relate	0.006387	対する
front	0.006387	対する
compete	0.006387	対する
contrast	0.006387	対する
opposition	0.006387	対する
repercussion	0.005961	波紋
japan	0.005961	波紋
ese	0.005961	波紋
drum	0.005961	波紋
instrument	0.005961	波紋
iron	0.005961	波紋
top	0.005961	波紋
sound	0.005961	波紋
ring	0.005961	波紋
water	0.005961	波紋
settle	0.005589	調う
adjust	0.005589	調う
regulate	0.005589	調う
refine	0.005589	調う
ready	0.005589	調う
pre	0.005589	調う
arrange	0.005589	調う
put	0.005589	調う
pro	0.005589	調う
portion	0.005589	調う
harmonious	0.005589	調う
ease	0.005260	濟む
merely	0.005260	濟む
result	0.005260	濟む
someth	0.005260	濟む
less	0.005260	濟む
severe	0.005260	濟む
expect	0.005260	濟む
unease	0.005260	濟む
guilt	0.005260	濟む
trouble	0.005260	濟む
some	0.005260	濟む
one	0.005260	濟む
finish	0.005260	濟む
end	0.005260	濟む
cat	0.004258	綾
cradle	0.004258	綾
lease	0.004258	綾
rod	0.004258	綾
minor	0.004258	綾
market	0.004258	綾
fluctuation	0.004258	綾
technical	0.004258	綾
correct	0.004258	綾
ion	0.004258	綾
style	0.004258	綾
twill	0.004258	綾
weave	0.004258	綾
pat	0.004258	綾
tern	0.004258	綾
diagonal	0.004258	綾
stripe	0.004258	綾
plot	0.004258	綾
plan	0.004258	綾
