# word cloud top all for element 不
# token	weight	(optional sources)
great	0.059574	丕業
cup	0.047660	酒盃
negation	0.039716	否定
deed	0.029787	丕業
under	0.029787	丕業
take	0.029787	丕業
one	0.027853	等,閊え
sake	0.023830	酒盃
alcoholic	0.023830	酒盃
beverage	0.023830	酒盃
germination	0.023830	胚胎
pregnancy	0.023830	胚胎
arise	0.023830	胚胎
result	0.023830	胚胎
originate	0.023830	胚胎
like	0.021663	等
operation	0.019858	否定
denial	0.019858	否定
repudiation	0.019858	否定
disavowal	0.019858	否定
oval	0.017021	歪
load	0.017021	閊え
chest	0.017021	閊え
obstacle	0.017021	閊え
hind	0.017021	閊え
rance	0.017021	閊え
impediment	0.017021	閊え
difficulty	0.017021	閊え
someth	0.010832	等
example	0.010832	等
instance	0.010832	等
et	0.010832	等
cetera	0.010832	等
etc	0.010832	等
so	0.010832	等
forth	0.010832	等
coin	0.008511	歪
round	0.008511	歪
wooden	0.008511	歪
container	0.008511	歪
cook	0.008511	歪
rice	0.008511	歪
elliptical	0.008511	歪
shape	0.008511	歪
distort	0.008511	歪
crook	0.008511	歪
irregular	0.008511	歪
warp	0.008511	歪
ugly	0.005180	不味い
unattractive	0.005180	不味い
homely	0.005180	不味い
plain	0.005180	不味い
poor	0.005180	不味い
unskillful	0.005180	不味い
unskilful	0.005180	不味い
bungle	0.005180	不味い
clumsy	0.005180	不味い
awkward	0.005180	不味い
problematic	0.005180	不味い
trouble	0.005180	不味い
some	0.005180	不味い
unfavorable	0.005180	不味い
unfavourable	0.005180	不味い
unwise	0.005180	不味い
bad	0.005180	不味い
unpalatable	0.005180	不味い
unsavoury	0.005180	不味い
unsavory	0.005180	不味い
awful	0.005180	不味い
terrible	0.005180	不味い
unpleasant	0.005180	不味い
