# word cloud top all for element 予
# token	weight	(optional sources)
shuttle	0.056337	梭
country	0.019450	別墅,野人
self	0.019206	矜持,預かる
iniquity	0.018779	姦譎
wickedness	0.018779	姦譎
dishonesty	0.018779	姦譎
order	0.018153	予約,序
holiday	0.014084	別墅
home	0.014084	別墅
retreat	0.014084	別墅
pride	0.014084	矜持
dignity	0.014084	矜持
respect	0.014084	矜持
tan	0.012519	鞣革
leather	0.012519	鞣革
trample	0.011267	蹂躪
down	0.011267	蹂躪
over	0.011267	蹂躪
run	0.011267	蹂躪
infringement	0.011267	蹂躪
violation	0.011267	蹂躪
spray	0.011267	霧吹き
sprayer	0.011267	霧吹き
atomizer	0.011267	霧吹き
atomiser	0.011267	霧吹き
vaporizer	0.011267	霧吹き
con	0.010755	予約,勤める
serve	0.010243	勤める
ion	0.009658	予約,揉む
var	0.009390	刈萱
thatch	0.009390	刈萱
ian	0.008048	野人
flexi	0.007512	軟らかい
ble	0.007512	軟らかい
soft	0.007512	軟らかい
long	0.006628	鉾
handle	0.006628	鉾
chin	0.006628	鉾
ese	0.006628	鉾
spear	0.006628	鉾
open	0.006260	序
song	0.006260	序
begin	0.006260	序
start	0.006260	序
fore	0.006260	序
word	0.006260	序
pre	0.006260	序
face	0.006260	序
introduction	0.006260	序
kanji	0.006260	鞣革
radical	0.006260	鞣革
animal	0.006260	鞣革
hide	0.006260	鞣革
suede	0.006260	鞣革
pro	0.005634	予約
gram	0.005634	予約
set	0.005634	予約
tract	0.005634	予約
subscript	0.005634	予約
pledge	0.005634	予約
reservation	0.005634	予約
app	0.005634	予約
ointment	0.005634	予約
book	0.005634	予約
advance	0.005634	予約
person	0.005365	野人
non	0.005365	野人
duct	0.005122	勤める
religious	0.005122	勤める
service	0.005122	勤める
work	0.005122	勤める
employ	0.005122	勤める
act	0.005122	勤める
fill	0.005122	勤める
play	0.005122	勤める
role	0.005122	勤める
take	0.005122	預かる
one	0.005122	預かる
keep	0.005122	預かる
cymbopogon	0.004695	刈萱
tortili	0.004695	刈萱
goeringii	0.004695	刈萱
themeda	0.004695	刈萱
triandra	0.004695	刈萱
japonica	0.004695	刈萱
grass	0.004695	刈萱
sedge	0.004695	刈萱
various	0.004024	揉む
experience	0.004024	揉む
mass	0.004024	揉む
age	0.004024	揉む
argue	0.004024	揉む
heat	0.004024	揉む
discuss	0.004024	揉む
rub	0.004024	揉む
crumple	0.004024	揉む
train	0.004024	揉む
coach	0.004024	揉む
jostle	0.004024	揉む
crowd	0.004024	揉む
shake	0.004024	揉む
rock	0.004024	揉む
light	0.003756	軟らかい
informal	0.003756	軟らかい
malleable	0.003756	軟らかい
adapt	0.003756	軟らかい
able	0.003756	軟らかい
gentle	0.003756	軟らかい
mild	0.003756	軟らかい
mellow	0.003756	軟らかい
tender	0.003756	軟らかい
supple	0.003756	軟らかい
limber	0.003756	軟らかい
limp	0.003756	軟らかい
grip	0.003314	鉾
bow	0.003314	鉾
parade	0.003314	鉾
float	0.003314	鉾
decorate	0.003314	鉾
weapon	0.003314	鉾
arm	0.003314	鉾
lance	0.003314	鉾
pike	0.003314	鉾
yeren	0.002683	野人
legend	0.002683	野人
ary	0.002683	野人
mountain	0.002683	野人
dwell	0.002683	野人
hominid	0.002683	野人
china	0.002683	野人
hubei	0.002683	野人
province	0.002683	野人
ruff	0.002683	野人
unrefin	0.002683	野人
politic	0.002683	野人
government	0.002683	野人
civil	0.002683	野人
rustic	0.002683	野人
bump	0.002683	野人
kin	0.002683	野人
folk	0.002683	野人
upon	0.002561	預かる
settle	0.002561	預かる
put	0.002561	預かる
charge	0.002561	預かる
give	0.002561	預かる
responsibility	0.002561	預かる
entrust	0.002561	預かる
withhold	0.002561	預かる
reserve	0.002561	預かる
leave	0.002561	預かる
undecid	0.002561	預かる
look	0.002561	預かる
after	0.002561	預かる
care	0.002561	預かる
hold	0.002561	預かる
custody	0.002561	預かる
