# word cloud top all for element 勿
# token	weight	(optional sources)
hurry	0.051919	倥偬,怱怱
tooth	0.028844	楊枝
ese	0.018355	辣韮,鯣
your	0.017306	怱怱
skewer	0.014422	楊枝
brush	0.014422	楊枝
pick	0.014422	楊枝
source	0.014422	濫觴
begin	0.014422	濫觴
origin	0.014422	濫觴
japan	0.013548	辣韮,鯣
less	0.012980	暢気
out	0.011088	場,抉る,揚がる,撥ねる
give	0.010312	揚がる,賜わる
up	0.009976	揚がる,撥ねる,辟易
honor	0.009615	賜わる
honour	0.009615	賜わる
leek	0.009615	辣韮
field	0.008653	場
since	0.008653	怱怱
rely	0.008653	怱怱
haste	0.008653	怱怱
busy	0.008653	怱怱
rush	0.008653	怱怱
simple	0.008653	怱怱
brief	0.008653	怱怱
quick	0.008653	怱怱
care	0.008653	暢気
squid	0.007867	鯣
dry	0.007867	鯣
appendix	0.007211	盲腸
appendiciti	0.007211	盲腸
cecum	0.007211	盲腸
caecum	0.007211	盲腸
blind	0.007211	盲腸
gut	0.007211	盲腸
go	0.007118	揚がる,暢気
way	0.006967	口吻,物
speak	0.006879	口吻,揚がる
grow	0.006637	耄ける,鯣
intimation	0.006181	口吻
lip	0.006181	口吻
mouth	0.006181	口吻
snout	0.006181	口吻
probosci	0.006181	口吻
bore	0.005605	抉る,辟易
thing	0.005424	抉る,物
become	0.005408	耄ける
stupid	0.005408	耄ける
spirit	0.005408	陽気
yang	0.005408	陽気
weather	0.005408	陽気
season	0.005408	陽気
cheerful	0.005408	陽気
jovial	0.005408	陽気
merry	0.005408	陽気
lively	0.005408	陽気
sour	0.004807	辣韮
sweet	0.004807	辣韮
pickle	0.004807	辣韮
chin	0.004807	辣韮
onion	0.004807	辣韮
grant	0.004807	賜わる
bestow	0.004807	賜わる
confer	0.004807	賜わる
one	0.004720	物,鯣
common	0.004720	物,鯣
over	0.004631	揚がる,鯣
get	0.004371	抉る,揚がる
free	0.004327	暢気
optimistic	0.004327	暢気
reckless	0.004327	暢気
heed	0.004327	暢気
happy	0.004327	暢気
lucky	0.004327	暢気
easygo	0.004327	暢気
thought	0.004327	暢気
someth	0.004277	物,耄ける
point	0.004080	撥ねる,疵
time	0.003933	鯣
cuttlefish	0.003933	鯣
cause	0.003850	抉る,物
hurt	0.003605	疵
scratch	0.003605	疵
weak	0.003605	疵
shaku	0.003328	笏
flat	0.003328	笏
wooden	0.003328	笏
ivory	0.003328	笏
baton	0.003328	笏
carry	0.003328	笏
right	0.003328	笏
hand	0.003328	笏
when	0.003328	笏
ceremonial	0.003328	笏
imperial	0.003328	笏
shinto	0.003328	笏
garb	0.003328	笏
stump	0.003328	辟易
non	0.003328	辟易
