# word cloud top all for element 天
# token	weight	(optional sources)
we	0.033803	朕
ion	0.026559	挨拶,輻輳,関係
over	0.023592	識る,輻輳
convergence	0.022535	輻輳
congest	0.022535	輻輳
crowd	0.022535	輻輳
down	0.016653	焼ける,薙ぎ倒す
one	0.013029	矢張り,蚕棚,見送る,識る,陰
arrow	0.011268	矢矧
relation	0.011268	挨拶,関係
law	0.010563	範,聟
laugh	0.010463	痴がましい,笑う
point	0.008451	短
accomplish	0.008451	奏する
play	0.008451	奏する
report	0.008451	奏する
emperor	0.008451	奏する
falsify	0.008451	矯める
straighten	0.008451	矯める
correct	0.008451	矯める
cure	0.008451	矯める
son	0.008451	聟
hus	0.008451	聟
band	0.008451	聟
groom	0.008451	聟
back	0.007243	陰
behind	0.007243	陰
uprise	0.006761	一揆
revolt	0.006761	一揆
insurrection	0.006761	一揆
putsch	0.006761	一揆
riot	0.006761	一揆
rank	0.006761	癸
tenth	0.006761	癸
sign	0.006761	癸
chin	0.006761	癸
ese	0.006761	癸
calendar	0.006761	癸
ship	0.006439	挨拶,関係
some	0.005712	見送る,陰
wait	0.005653	待つ,見送る
smile	0.005634	笑う
dumb	0.005634	笑う
found	0.005634	笑う
flabbergast	0.005634	笑う
sneer	0.005634	笑う
ridicule	0.005634	笑う
fletcher	0.005634	矢矧
maker	0.005634	矢矧
fletch	0.005634	矢矧
make	0.005634	矢矧
silk	0.005337	蚕棚
worm	0.005337	蚕棚
depend	0.004829	待つ
need	0.004829	待つ
await	0.004829	待つ
look	0.004829	待つ
forward	0.004829	待つ
anticipate	0.004829	待つ
ridiculous	0.004829	痴がましい
able	0.004829	痴がましい
absurd	0.004829	痴がましい
pre	0.004829	痴がましい
sumptuous	0.004829	痴がましい
impertinent	0.004829	痴がましい
impudent	0.004829	痴がましい
cheeky	0.004829	痴がましい
sexual	0.004829	関係
go	0.004694	焼ける,見送る,識る
con	0.004527	識る,関係
cern	0.004527	識る,関係
side	0.004527	範,陰
cramp	0.004379	蚕棚,鎹
slope	0.004225	範
measurement	0.004225	範
defeat	0.004225	薙ぎ倒す
beat	0.004225	薙ぎ倒す
mow	0.004225	薙ぎ倒す
cut	0.004225	薙ぎ倒す
knock	0.004225	薙ぎ倒す
dreary	0.004225	塵埃
world	0.004225	塵埃
petty	0.004225	塵埃
affair	0.004225	塵埃
every	0.004225	塵埃
day	0.004225	塵埃
life	0.004225	塵埃
dust	0.004225	塵埃
dirt	0.004225	塵埃
card	0.004225	短
minor	0.004225	短
short	0.004225	短
fault	0.004225	短
defect	0.004225	短
weak	0.004225	短
connect	0.004024	挨拶,関係
burn	0.003977	焼ける
bunk	0.003558	蚕棚
bed	0.003558	蚕棚
shelf	0.003558	蚕棚
relate	0.003239	見送る,関係
greet	0.003219	挨拶
know	0.003169	識る
god	0.003073	天
india	0.003073	天
deva	0.003073	天
heaven	0.003073	天
sky	0.003073	天
sole	0.003073	天
svarga	0.003073	天
temp	0.003073	天
ura	0.003073	天
top	0.003073	天
begin	0.003073	天
start	0.003073	天
tie	0.002600	鎹
latch	0.002600	鎹
lock	0.002600	鎹
large	0.002600	鎹
staple	0.002600	鎹
drive	0.002600	鎹
two	0.002600	鎹
piece	0.002600	鎹
wood	0.002600	鎹
hold	0.002600	鎹
together	0.002600	鎹
clamp	0.002600	鎹
still	0.002600	矢張り
expect	0.002600	矢張り
all	0.002600	矢張り
influence	0.002414	関係
effect	0.002414	関係
conn	0.002414	関係
ect	0.002414	関係
participation	0.002414	関係
involvement	0.002414	関係
gloom	0.002414	陰
dark	0.002414	陰
ness	0.002414	陰
shade	0.002414	陰
shadow	0.002414	陰
other	0.002414	陰
ground	0.002414	陰
scene	0.002414	陰
get	0.002113	識る
acquaint	0.002113	識る
model	0.002113	範
pat	0.002113	範
tern	0.002113	範
tea	0.002113	範
ching	0.002113	範
buddha	0.002113	範
buddhist	0.002113	範
doctrine	0.002113	範
transverse	0.002113	範
across	0.002113	範
rule	0.002113	範
regulation	0.002113	範
become	0.001988	焼ける
hot	0.001988	焼ける
glow	0.001988	焼ける
red	0.001988	焼ける
jealous	0.001988	焼ける
envious	0.001988	焼ける
roast	0.001988	焼ける
thoroughly	0.001988	焼ける
cook	0.001988	焼ける
sunburnt	0.001988	焼ける
fade	0.001988	焼ける
flame	0.001988	焼ける
stand	0.001881	見送る,識る
out	0.001881	見送る,識る
tier	0.001779	蚕棚
room	0.001779	蚕棚
grow	0.001779	蚕棚
rack	0.001779	蚕棚
rear	0.001779	蚕棚
until	0.001649	見送る
see	0.001649	見送る
let	0.001649	見送る
pas	0.001649	見送る
fine	0.001610	挨拶
thing	0.001610	挨拶
say	0.001610	挨拶
dialoge	0.001610	挨拶
reply	0.001610	挨拶
response	0.001610	挨拶
revenge	0.001610	挨拶
retaliation	0.001610	挨拶
speech	0.001610	挨拶
address	0.001610	挨拶
intervention	0.001610	挨拶
mediation	0.001610	挨拶
mediator	0.001610	挨拶
ing	0.001610	挨拶
salutation	0.001610	挨拶
salute	0.001610	挨拶
condolence	0.001610	挨拶
congratulation	0.001610	挨拶
before	0.001300	矢張り
sure	0.001300	矢張り
enough	0.001300	矢張り
just	0.001300	矢張り
think	0.001300	矢張り
after	0.001300	矢張り
end	0.001300	矢張り
would	0.001300	矢張り
any	0.001300	矢張り
case	0.001300	矢張り
same	0.001300	矢張り
even	0.001300	矢張り
so	0.001300	矢張り
nonetheless	0.001300	矢張り
too	0.001300	矢張り
well	0.001300	矢張り
like	0.001300	矢張り
wise	0.001300	矢張り
either	0.001300	矢張り
experience	0.001056	識る
through	0.001056	識る
rem	0.001056	識る
ember	0.001056	識る
familiar	0.001056	識る
do	0.001056	識る
responsibility	0.001056	識る
sense	0.001056	識る
feel	0.001056	識る
notice	0.001056	識る
realize	0.001056	識る
under	0.001056	識る
comprehend	0.001056	識る
grasp	0.001056	識る
appreciate	0.001056	識る
aware	0.001056	識る
conscious	0.001056	識る
learn	0.001056	識る
find	0.001056	識る
disc	0.001056	識る
follow	0.000824	見送る
someth	0.000824	見送る
eye	0.000824	見送る
sight	0.000824	見送る
take	0.000824	見送る
care	0.000824	見送る
he	0.000824	見送る
dy	0.000824	見送る
close	0.000824	見送る
you	0.000824	見送る
die	0.000824	見送る
bury	0.000824	見送る
