# word cloud top all for element 心
# token	weight	(optional sources)
ion	0.017701	困憊,変態,対応,志,思惑,意趣,愛欲,感応,慫慂,滲みる
love	0.016667	恋情,戀
hurry	0.011527	倥偬,急,怱怱
wisdom	0.010000	慧
ness	0.008524	志,感応,憂え,憾み,遠慮
ship	0.007409	慇懃,懇ろ,癒着
anger	0.007334	憤懣,瞋恚
chin	0.006868	心,総角,辣韮,鰓
resentment	0.006857	憤懣,憾み
gill	0.006667	鰓
branchia	0.006667	鰓
siddham	0.006667	悉曇
angu	0.006334	悶える,憂え,瞋る
one	0.005983	一息,心,思惑,慰む,懲りる,瞋る,荵
ish	0.005958	悶える,憂え,耄ける
com	0.005881	悠悠,愚図愚図,慈悲,慰む,諒恕
regret	0.005714	憾み
attachment	0.005333	恋情,愛欲
head	0.005257	穗,総角
ese	0.005201	心,総角,蟋蟀,辣韮
exhaust	0.005000	困憊
fatigue	0.005000	困憊
virtue	0.005000	懿徳
jaw	0.005000	鰓
cat	0.005000	鯰
fish	0.005000	鯰
earth	0.005000	鯰
quake	0.005000	鯰
praj	0.005000	慧
enlightenment	0.005000	慧
government	0.005000	憲政
courteous	0.004909	慇懃,懇ろ
secret	0.004838	密,恥部,秘密
feel	0.004624	慰む,憫れむ,滲みる,畏れ入る
friend	0.004500	心,慇懃
kind	0.004243	志,恁麽,懇ろ
mercy	0.004243	慈悲,憫れむ,諒恕
grudge	0.004107	意趣,憾み
malice	0.004107	意趣,憾み
indignation	0.004000	憤懣
cha	0.004000	憤懣
grin	0.004000	憤懣
irritation	0.004000	憤懣
advice	0.004000	慫慂
recommendation	0.004000	慫慂
suggest	0.004000	慫慂
indu	0.004000	慫慂
cement	0.004000	慫慂
persuasion	0.004000	慫慂
intimacy	0.004000	慇懃
polite	0.004000	慇懃
civil	0.004000	慇懃
reel	0.004000	綛
age	0.003958	濾水,耄ける
end	0.003741	急,悠悠,終熄
ity	0.003695	変態,心,慈悲,秘密
able	0.003602	愛しい,無残,認める
intimate	0.003442	密,懇ろ
have	0.003409	懇ろ,終熄
relation	0.003409	懇ろ,癒着
study	0.003333	悉曇
angle	0.003333	鰓
heart	0.003333	心,芯
sort	0.003333	恁麽
what	0.003333	恁麽
sickness	0.003333	恋情
