# word cloud top all for element 戈
# token	weight	(optional sources)
up	0.010746	万歳,為る,盛る,聖域,裁ち切る,載せる,顰める
ruan	0.010694	阮咸
chang'e	0.010694	嫦娥
extermination	0.010694	殲滅
annihilation	0.010694	殲滅
ese	0.009111	戊,磯城島,著莪,鉾
battle	0.008912	吶喊,鉞,闘い
one	0.008190	万歳,思惑,我れ,灌ぐ,識る,錢,頂く
fore	0.007639	思惑,筏,讖
slip	0.007129	籤
tag	0.007129	籤
label	0.007129	籤
axe	0.007129	鉞
japan	0.007061	戎,磯城島,著莪
ion	0.005958	思惑,感応,懺法,聖域,談議
sacrifice	0.005347	犠牲
xian	0.005347	阮咸
iri	0.005347	著莪
tell	0.005347	讖
prophecy	0.005347	讖
steal	0.005347	贓物
good	0.005347	贓物
needle	0.005347	鍼
acu	0.005347	鍼
puncture	0.005347	鍼
war	0.005347	吶喊,闘い
chin	0.004655	戊,鉾
castle	0.004583	金城
get	0.004520	摑まる,為る,識る,越す,頂く
ity	0.004456	万歳,威勢,我れ,誠
fare	0.004278	休戚,贐
outfit	0.004278	艤装
cup	0.004278	酒盃
gift	0.004278	贐
ness	0.004142	威勢,感応,憾み,懺法
grind	0.004099	筬虫,聖域
shallow	0.003862	浅い,淺見
superficial	0.003862	浅い,淺見
off	0.003827	俄か,聖域,裁ち切る
cut	0.003819	し烈,裁ち切る
talk	0.003819	体裁,談議
con	0.003788	我れ,識る,闘い
discuss	0.003768	聖域,談議
matter	0.003577	別義,憾み,聖域
thousandth	0.003565	錢
kan	0.003565	錢
tower	0.003565	巍峨
soar	0.003565	巍峨
lofty	0.003565	巍峨
cry	0.003565	吶喊
soft	0.003565	絨毛
hair	0.003565	絨毛
villu	0.003565	絨毛
broad	0.003565	鉞
iron	0.003565	鐵
rail	0.003565	鐵
way	0.003565	鐵
pacific	0.003565	鱈
cod	0.003565	鱈
gadid	0.003565	鱈
fight	0.003565	闘い
eye	0.003496	蛾眉,見戍る
over	0.003405	見戍る,識る,越す
make	0.003400	善哉,為る,錢
calendar	0.003327	戊,戌
watch	0.003291	見戍る
well	0.003208	善哉,贐
other	0.003140	思惑,或るいは
against	0.003055	警める
regret	0.003055	憾み
death	0.003055	誅戮
popliteal	0.003055	膕
bitter	0.003055	し烈,憾み
territory	0.003055	京畿
vicinity	0.003055	京畿
sermon	0.003055	談議
stand	0.003008	棧敷,識る,踏む
leave	0.002917	残す
stance	0.002865	別義,旗幟
resentment	0.002865	憾み,賊
grudge	0.002865	憾み,賊
arm	0.002786	筏,鉾
sign	0.002674	加減,戊
brow	0.002674	蛾眉
view	0.002674	淺見
idea	0.002674	淺見
millipede	0.002674	筬虫
beetle	0.002674	筬虫
carabid	0.002674	筬虫
fringe	0.002674	著莪
victim	0.002674	犠牲
casualty	0.002674	犠牲
special	0.002674	別義
state	0.002576	加減,邦
part	0.002567	贐,載せる
mean	0.002525	別義,穢い,賤しい
base	0.002525	下賤,穢い,賤しい
vulgar	0.002525	下賤,穢い,賤しい
coarse	0.002525	下賤,穢い,賤しい
long	0.002516	鉾
handle	0.002516	鉾
spear	0.002516	鉾
hold	0.002500	摑まる,残す
dog	0.002376	戌
west	0.002376	戌
ous	0.002376	賤しい,錢
do	0.002346	善哉,為る,識る,頂く
go	0.002295	識る,越す,踏む
opinion	0.002292	思惑,旗幟
out	0.002270	為る,盛る,識る,載せる
slight	0.002258	加減,浅い
cross	0.002241	桟,越す
give	0.002214	万歳,裁ち切る,載せる
air	0.002139	機
craft	0.002139	機
counter	0.002139	機
bean	0.002139	善哉
rank	0.002139	戊
fifth	0.002139	戊
weal	0.002139	休戚
woe	0.002139	休戚
joy	0.002139	休戚
sorrow	0.002139	休戚
wel	0.002139	休戚
dress	0.002139	棧敷
circle	0.002139	棧敷
balcony	0.002139	棧敷
box	0.002139	棧敷
rig	0.002139	艤装
fit	0.002139	艤装
ting	0.002139	艤装
equipment	0.002139	艤装
viaticum	0.002139	贐
head	0.002139	馘
neck	0.002139	馘
dismissal	0.002139	馘
fire	0.002139	馘
sack	0.002139	馘
sake	0.002139	酒盃
alcoholic	0.002139	酒盃
beverage	0.002139	酒盃
grow	0.002076	為る,茂る
com	0.002057	為る,闘い
hand	0.002011	万歳,俄か,穢い
take	0.001952	載せる,頂く
government	0.001944	邦
put	0.001939	盛る,誅戮
humble	0.001931	下賤,賤しい
lowly	0.001931	下賤,賤しい
time	0.001901	或るいは,越す
right	0.001871	加減,誠
find	0.001862	摑まる,識る
grasp	0.001862	摑まる,識る
some	0.001857	或るいは,頂く
someth	0.001857	万歳,頂く
conflict	0.001782	闘い
test	0.001782	闘い
petition	0.001782	闘い
match	0.001782	闘い
game	0.001782	闘い
struggle	0.001782	闘い
energy	0.001782	威勢,灌ぐ
divine	0.001782	感応
pour	0.001782	灌ぐ
dirty	0.001782	穢い,賤しい
charge	0.001782	吶喊
shout	0.001782	吶喊
yamato	0.001782	磯城島
art	0.001782	磯城島
class	0.001782	磯城島
ical	0.001782	磯城島
poetry	0.001782	磯城島
enthusiast	0.001782	鐵
steel	0.001782	鐵
coin	0.001782	錢
non	0.001782	錢
preci	0.001782	錢
material	0.001782	錢
sen	0.001782	錢
familiar	0.001671	我れ,識る
life	0.001664	万歳,機
fan	0.001645	俄か
keep	0.001645	見戍る
penitence	0.001604	懺法
sutra	0.001604	懺法
under	0.001597	穢い,識る,頂く
appearance	0.001528	体裁
admonition	0.001528	談議
reprimand	0.001528	談議
preach	0.001528	談議
lecture	0.001528	談議
consultation	0.001528	談議
conference	0.001528	談議
conversation	0.001528	談議
chat	0.001528	談議
malice	0.001528	憾み
frame	0.001528	桟
ring	0.001528	桟
slide	0.001528	桟
wooden	0.001528	桟
bolt	0.001528	桟
piece	0.001528	桟
bar	0.001528	桟
kyoto	0.001528	京畿
imperial	0.001528	京畿
palace	0.001528	京畿
protector	0.001528	筏
raft	0.001528	筏
skewer	0.001528	筏
baby	0.001528	筏
eel	0.001528	筏
