# word cloud top all for element 戸
# token	weight	(optional sources)
shang	0.046378	滬
hai	0.046378	滬
reed	0.023189	蘆荻
pre	0.020097	跋扈,騙る
tear	0.018551	涕
narrow	0.018551	褊狭
turn	0.018441	戻る,蝙蝠,顧る
become	0.016232	捻れる
back	0.016122	戻る,顧る
rampancy	0.015459	跋扈
valence	0.015459	跋扈
domination	0.015459	跋扈
movie	0.014646	本編
story	0.014646	本編
employee	0.011595	常雇い
silver	0.011595	蘆荻
grass	0.011595	蘆荻
bat	0.011595	蝙蝠
umbrella	0.011595	蝙蝠
opportunist	0.011595	蝙蝠
coat	0.011595	蝙蝠
out	0.010772	肩透かし,騙る
tv	0.009764	本編
sery	0.009764	本編
main	0.009764	本編
return	0.009276	戻る
plain	0.009276	扁たい
simple	0.009276	扁たい
flat	0.009276	扁たい
even	0.009276	扁たい
level	0.009276	扁たい
mindedness	0.009276	褊狭
intolerance	0.009276	褊狭
illiberality	0.009276	褊狭
ness	0.009276	褊狭
sympathy	0.009276	涕
lachrymal	0.009276	涕
secret	0.009276	涕
ion	0.009276	涕
one	0.009055	顧る,騙る
regular	0.007730	常雇い
employment	0.007730	常雇い
full	0.007730	常雇い
time	0.007730	常雇い
take	0.007509	煽る,顧る
get	0.006957	捻れる
self	0.006846	顧る,騙る
look	0.006625	顧る
up	0.006184	煽る
down	0.005984	肩透かし
naruto	0.005797	鳴門
shoulder	0.005201	肩透かし,顧る
volume	0.004882	本編
base	0.004882	本編
version	0.004882	本編
feature	0.004882	本編
film	0.004882	本編
original	0.004882	本編
part	0.004882	本編
swindle	0.004638	騙る
cheat	0.004638	騙る
defraud	0.004638	騙る
misrepresent	0.004638	騙る
tend	0.004638	騙る
assume	0.004638	騙る
falsify	0.004638	騙る
rebound	0.004638	戻る
spring	0.004638	戻る
recover	0.004638	戻る
go	0.004638	戻る
twist	0.004638	捻れる
warp	0.004638	捻れる
cut	0.004373	房主,鳴門
strait	0.003865	鳴門
spiral	0.003865	鳴門
pat	0.003865	鳴門
tern	0.003865	鳴門
whirl	0.003865	鳴門
pool	0.003865	鳴門
permanent	0.003865	常雇い
hemp	0.003568	綟子
yarn	0.003568	綟子
linen	0.003568	綟子
thread	0.003568	綟子
weave	0.003568	綟子
coarse	0.003568	綟子
cloth	0.003568	綟子
use	0.003568	綟子
mosquito	0.003568	綟子
net	0.003568	綟子
summer	0.003568	綟子
clothe	0.003568	綟子
etc	0.003568	綟子
technique	0.003428	肩透かし,鳴門
drive	0.003092	煽る
price	0.003092	煽る
fan	0.003092	煽る
flap	0.003092	煽る
tail	0.003092	煽る
gate	0.003092	煽る
photo	0.003092	煽る
low	0.003092	煽る
angle	0.003092	煽る
instigate	0.003092	煽る
stir	0.003092	煽る
incite	0.003092	煽る
agitate	0.003092	煽る
catch	0.002441	房主
anyth	0.002441	房主
august	0.002441	房主
point	0.002441	房主
card	0.002441	房主
buddhist	0.002441	房主
priest	0.002441	房主
bonze	0.002441	房主
boy	0.002441	房主
sonny	0.002441	房主
lad	0.002441	房主
close	0.002441	房主
crop	0.002441	房主
hair	0.002441	房主
crew	0.002441	房主
person	0.002441	房主
shorn	0.002441	房主
head	0.002441	房主
trouble	0.002319	捻れる
complicate	0.002319	捻れる
strain	0.002319	捻れる
crook	0.002319	捻れる
per	0.002319	捻れる
verse	0.002319	捻れる
contrary	0.002319	捻れる
reflect	0.002208	顧る
reminisce	0.002208	顧る
behind	0.002208	顧る
round	0.002208	顧る
over	0.002208	顧る
consider	0.002208	顧る
con	0.002208	顧る
cern	0.002208	顧る
notice	0.002208	顧る
pay	0.002208	顧る
attention	0.002208	顧る
consideration	0.002208	顧る
wakame	0.001932	鳴門
cook	0.001932	鳴門
where	0.001932	鳴門
ingredient	0.001932	鳴門
kamaboko	0.001932	鳴門
like	0.001932	鳴門
roar	0.001932	鳴門
tidal	0.001932	鳴門
ebb	0.001932	鳴門
flow	0.001932	鳴門
maelstrom	0.001932	鳴門
disappointment	0.001496	肩透かし
let	0.001496	肩透かし
dodge	0.001496	肩透かし
parry	0.001496	肩透かし
under	0.001496	肩透かし
swing	0.001496	肩透かし
grasp	0.001496	肩透かし
arm	0.001496	肩透かし
opponent	0.001496	肩透かし
moment	0.001496	肩透かし
he	0.001496	肩透かし
come	0.001496	肩透かし
forward	0.001496	肩透かし
while	0.001496	肩透かし
step	0.001496	肩透かし
line	0.001496	肩透かし
push	0.001496	肩透かし
blade	0.001496	肩透かし
other	0.001496	肩透かし
hand	0.001496	肩透かし
thu	0.001496	肩透かし
pull	0.001496	肩透かし
him	0.001496	肩透かし
