# word cloud top all for element 手
# token	weight	(optional sources)
cap	0.046582	拿捕
ture	0.046582	拿捕
seizure	0.046582	拿捕
look	0.025620	拝見,看板
see	0.023291	拝見
beech	0.023291	橅
up	0.019722	提携,揚がる,攀じ登る,襷
ion	0.016886	手,掣肘,看板
sin	0.015527	真摯
cere	0.015527	真摯
ear	0.015527	真摯
nest	0.015527	真摯
serious	0.015527	真摯
surge	0.015527	澎湃
one	0.013865	合掌,手,攀じ登る,誤魔化す
get	0.013499	揚がる,討取る,誤魔化す,請ける
ship	0.013101	手,提携
out	0.012043	揚がる,討取る,誤魔化す
hand	0.011840	合掌,手
restraint	0.011645	掣肘
restrict	0.011645	掣肘
control	0.011645	掣肘
check	0.011645	掣肘
japan	0.011645	橅
ese	0.011645	橅
siebold	0.011645	橅
well	0.010675	澎湃,請ける
your	0.009316	合掌
way	0.009304	手,攀じ登る,誤魔化す
ous	0.009219	澎湃,請ける
sound	0.007764	澎湃
water	0.007764	澎湃
vigor	0.007764	澎湃
defeat	0.007764	討取る
beat	0.007764	討取る
kill	0.007764	討取る
slay	0.007764	討取る
since	0.006211	合掌
rely	0.006211	合掌
cooperation	0.005823	提携
tie	0.005823	提携
joint	0.005823	提携
business	0.005823	提携
partner	0.005823	提携
alliance	0.005823	提携
sponsor	0.005823	提携
climb	0.005823	攀じ登る
clam	0.005823	攀じ登る
ber	0.005823	攀じ登る
scr	0.005823	攀じ登る
amble	0.005823	攀じ登る
scale	0.005823	攀じ登る
claw	0.005823	攀じ登る
cord	0.005823	襷
use	0.005823	襷
tuck	0.005823	襷
sleeve	0.005823	襷
kimono	0.005823	襷
obi	0.005823	襷
sash	0.005823	襷
shrink	0.005176	引き攣る
tauten	0.005176	引き攣る
cramp	0.005176	引き攣る
twitch	0.005176	引き攣る
spasm	0.005176	引き攣る
stiffen	0.005176	引き攣る
freeze	0.005176	引き攣る
grow	0.005176	引き攣る
tight	0.005176	引き攣る
over	0.004802	揚がる,誤魔化す
board	0.004658	看板
close	0.004658	看板
sign	0.004658	看板
go	0.004461	揚がる,請ける
press	0.003105	合掌
together	0.003105	合掌
prayer	0.003105	合掌
triangular	0.003105	合掌
frame	0.003105	合掌
thatch	0.003105	合掌
roof	0.003105	合掌
truly	0.003105	合掌
move	0.002911	手
fore	0.002911	手
receive	0.002911	請ける
find	0.002911	請ける
time	0.002329	看板
reputation	0.002329	看板
name	0.002329	看板
appearance	0.002329	看板
show	0.002329	看板
bill	0.002329	看板
hoard	0.002329	看板
door	0.002329	看板
plate	0.002329	看板
draw	0.002329	看板
attract	0.002329	看板
feature	0.002329	看板
high	0.002329	看板
light	0.002329	看板
spokesman	0.002329	看板
figure	0.002329	看板
head	0.002329	看板
come	0.002254	揚がる
give	0.002207	揚がる,請ける
embezzle	0.002025	誤魔化す
pocket	0.002025	誤魔化す
deceive	0.002025	誤魔化す
cheat	0.002025	誤魔化す
swindle	0.002025	誤魔化す
evade	0.002025	誤魔化す
dodge	0.002025	誤魔化す
gloss	0.002025	誤魔化す
smooth	0.002025	誤魔化す
explain	0.002025	誤魔化す
away	0.002025	誤魔化す
falsify	0.002025	誤魔化す
misrepresent	0.002025	誤魔化す
lie	0.002025	誤魔化す
tamper	0.002025	誤魔化す
doctor	0.002025	誤魔化す
cook	0.002025	誤魔化す
make	0.001503	揚がる
stop	0.001503	揚がる
finish	0.001503	揚がる
advance	0.001503	揚がる
enter	0.001503	揚がる
ability	0.001456	手
cope	0.001456	手
direct	0.001456	手
handle	0.001456	手
paw	0.001456	手
leg	0.001456	手
arm	0.001456	手
write	0.001456	手
possess	0.001456	手
worker	0.001456	手
help	0.001456	手
kind	0.001456	手
type	0.001456	手
sort	0.001456	手
trouble	0.001456	手
care	0.001456	手
effort	0.001456	手
mean	0.001456	手
trick	0.001456	手
technique	0.001456	手
workman	0.001456	手
modify	0.001456	請ける
strike	0.001456	請ける
catch	0.001456	請ける
face	0.001456	請ける
obtain	0.001456	請ける
pay	0.001456	請ける
fee	0.001456	請ける
become	0.001456	請ける
popular	0.001456	請ける
down	0.001456	請ける
funny	0.001456	請ける
humor	0.001456	請ける
amuse	0.001456	請ける
follow	0.001456	請ける
succe	0.001456	請ける
descend	0.001456	請ける
und	0.001456	請ける
ergo	0.001456	請ける
take	0.001456	請ける
accept	0.001456	請ける
sustain	0.001456	請ける
incur	0.001456	請ける
suffer	0.001456	請ける
feel	0.001456	請ける
adequate	0.000751	揚がる
arrest	0.000751	揚がる
deep	0.000751	揚がる
fry	0.000751	揚がる
list	0.000751	揚がる
offer	0.000751	揚がる
speak	0.000751	揚がる
loudly	0.000751	揚がる
north	0.000751	揚がる
increase	0.000751	揚がる
occur	0.000751	揚がる
serve	0.000751	揚がる
turn	0.000751	揚がる
win	0.000751	揚がる
lift	0.000751	揚がる
complete	0.000751	揚がる
pro	0.000751	揚がる
mote	0.000751	揚がる
eat	0.000751	揚がる
drink	0.000751	揚がる
next	0.000751	揚がる
grade	0.000751	揚がる
nervous	0.000751	揚がる
stage	0.000751	揚がる
fright	0.000751	揚がる
ashore	0.000751	揚がる
visit	0.000751	揚がる
imp	0.000751	揚がる
rove	0.000751	揚がる
progress	0.000751	揚がる
do	0.000751	揚がる
cut	0.000751	揚がる
die	0.000751	揚がる
rise	0.000751	揚がる
ascend	0.000751	揚がる
raise	0.000751	揚がる
