# word cloud top all for element 龶
# token	weight	(optional sources)
spin	0.023257	紡績
noodle	0.018235	冷麺,蕎麦
one	0.015504	瞳,簀巻き
ese	0.015064	冷麺,蕎麦
ion	0.014708	情,積り,素,蜻蛉返り
peace	0.013954	静寧
clear	0.013618	澄ます,霽れる
river	0.012597	磧,簀巻き
become	0.011992	請ける,錆付く
jealous	0.011628	猜む
envy	0.011628	猜む
begrudge	0.011628	猜む
eye	0.011628	瞳
pupil	0.011628	瞳
yarn	0.011628	紡績
green	0.010798	青,麹塵
chin	0.010703	冷麺,蕎麦
quiet	0.010010	静める,静寧
blame	0.009660	呵責,責める
torture	0.009660	呵責,責める
dry	0.008721	磧
riverb	0.008721	磧
beach	0.008721	磧
buck	0.008721	蕎麦
wheat	0.008721	蕎麦
rust	0.008721	錆付く
national	0.008721	国債
security	0.008721	国債
government	0.008721	国債
wrap	0.007752	簀巻き
bamboo	0.007752	簀巻き
mat	0.007752	簀巻き
well	0.007164	漬かる,請ける
accusation	0.006977	呵責
mal	0.006977	呵責
treatment	0.006977	呵責
pang	0.006977	呵責
tranquil	0.006977	静寧
ity	0.006977	静寧
earth	0.006977	静寧
stop	0.006843	蜻蛉返り,霽れる
cold	0.006343	冷麺
look	0.006156	澄ます
blue	0.005814	青
tot	0.004984	漬かる
ally	0.004984	漬かる
immerse	0.004984	漬かる
pickle	0.004984	漬かる
season	0.004984	漬かる
sub	0.004984	漬かる
merge	0.004984	漬かる
soak	0.004984	漬かる
abdominal	0.004984	癪
spasm	0.004984	癪
convulsion	0.004984	癪
cramp	0.004984	癪
annoyance	0.004984	癪
irritation	0.004984	癪
vexation	0.004984	癪
emperor	0.004984	麹塵
informal	0.004984	麹塵
robe	0.004984	麹塵
yellow	0.004984	麹塵
ting	0.004984	麹塵
grey	0.004984	麹塵
ease	0.004550	静める
debt	0.004361	国債
bond	0.004361	国債
style	0.004361	蕎麦
soba	0.004361	蕎麦
japan	0.004361	蕎麦
rusty	0.004361	錆付く
com	0.004200	情,静める
some	0.003876	簀巻き
throw	0.003876	簀巻き
fine	0.003876	精
detail	0.003876	精
semen	0.003876	精
energy	0.003876	精
vigor	0.003876	精
strength	0.003876	精
spirit	0.003876	精
sprite	0.003876	精
nymph	0.003876	精
feel	0.003774	情,請ける
round	0.003672	蜻蛉返り
trip	0.003672	蜻蛉返り
make	0.003569	澄ます,静める
put	0.003569	澄ます,静める
chill	0.003171	冷麺
accompany	0.003171	冷麺
soup	0.003171	冷麺
dip	0.003171	冷麺
abusive	0.003171	毒
language	0.003171	毒
harm	0.003171	毒
evil	0.003171	毒
influence	0.003171	毒
poison	0.003171	毒
toxic	0.003171	毒
ant	0.003171	毒
ill	0.003171	毒
will	0.003171	毒
spite	0.003171	毒
malice	0.003171	毒
estimate	0.003171	積り
estimation	0.003171	積り
calculation	0.003171	積り
belief	0.003171	積り
assumption	0.003171	積り
think	0.003171	積り
convict	0.003171	積り
intent	0.003171	積り
plan	0.003171	積り
purpose	0.003171	積り
expectation	0.003171	積り
refresh	0.003171	霽れる
dispel	0.003171	霽れる
banish	0.003171	霽れる
up	0.003171	霽れる
away	0.003171	霽れる
sunny	0.003171	霽れる
rain	0.003171	霽れる
app	0.003033	静める
pacify	0.003033	静める
soothe	0.003033	静める
black	0.002907	青
point	0.002907	青
card	0.002907	青
light	0.002907	青
azure	0.002907	青
immature	0.002907	青
unripe	0.002907	青
young	0.002907	青
passion	0.002683	情
sympathy	0.002683	情
way	0.002683	情
thing	0.002683	情
really	0.002683	情
actual	0.002683	情
situation	0.002683	情
ing	0.002683	情
emotion	0.002683	情
sentiment	0.002683	情
pass	0.002683	情
affect	0.002683	情
love	0.002683	情
break	0.002683	責める
torment	0.002683	責める
persecute	0.002683	責める
urge	0.002683	責める
press	0.002683	責める
pester	0.002683	責める
condemn	0.002683	責める
criticize	0.002683	責める
critic	0.002683	責める
ise	0.002683	責める
rep	0.002683	責める
roach	0.002683	責める
accuse	0.002683	責める
get	0.002607	請ける,静める
down	0.002607	請ける,静める
trunk	0.002326	素
root	0.002326	素
base	0.002326	素
receive	0.002180	請ける
find	0.002180	請ける
together	0.002180	錆付く
shut	0.002180	錆付く
less	0.002180	錆付く
effect	0.002180	錆付く
ive	0.002180	錆付く
cover	0.002180	錆付く
strain	0.002052	澄ます
listen	0.002052	澄ます
care	0.002052	澄ます
fully	0.002052	澄ます
unruffl	0.002052	澄ます
unconcern	0.002052	澄ます
feign	0.002052	澄ます
indifference	0.002052	澄ます
demure	0.002052	澄ます
prim	0.002052	澄ます
air	0.002052	澄ます
abrupt	0.001836	蜻蛉返り
change	0.001836	蜻蛉返り
direct	0.001836	蜻蛉返り
somersault	0.001836	蜻蛉返り
return	0.001836	蜻蛉返り
destination	0.001836	蜻蛉返り
right	0.001836	蜻蛉返り
after	0.001836	蜻蛉返り
arrive	0.001836	蜻蛉返り
there	0.001836	蜻蛉返り
non	0.001836	蜻蛉返り
without	0.001836	蜻蛉返り
over	0.001836	蜻蛉返り
night	0.001836	蜻蛉返り
quieten	0.001517	静める
relieve	0.001517	静める
alleviate	0.001517	静める
suppress	0.001517	静める
quell	0.001517	静める
under	0.001517	静める
control	0.001517	静める
calm	0.001517	静める
pose	0.001517	静める
settle	0.001517	静める
cause	0.001163	素
counter	0.001163	素
blade	0.001163	素
grass	0.001163	素
tree	0.001163	素
etc	0.001163	素
falcon	0.001163	素
first	0.001163	素
sect	0.001163	素
waka	0.001163	素
original	0.001163	素
cost	0.001163	素
side	0.001163	素
location	0.001163	素
handle	0.001163	素
grip	0.001163	素
origin	0.001163	素
source	0.001163	素
basi	0.001163	素
foundation	0.001163	素
ingredient	0.001163	素
material	0.001163	素
mix	0.001163	素
stock	0.001163	素
give	0.001090	請ける
modify	0.001090	請ける
strike	0.001090	請ける
catch	0.001090	請ける
face	0.001090	請ける
obtain	0.001090	請ける
pay	0.001090	請ける
fee	0.001090	請ける
popular	0.001090	請ける
go	0.001090	請ける
funny	0.001090	請ける
humor	0.001090	請ける
ous	0.001090	請ける
amuse	0.001090	請ける
follow	0.001090	請ける
succe	0.001090	請ける
descend	0.001090	請ける
und	0.001090	請ける
ergo	0.001090	請ける
take	0.001090	請ける
accept	0.001090	請ける
sustain	0.001090	請ける
incur	0.001090	請ける
suffer	0.001090	請ける
