# word cloud top all for element 业
# token	weight	(optional sources)
ruin	0.034114	廃虚
remain	0.034114	廃虚
paddle	0.034114	蹼
western	0.022742	西晋
dynasty	0.022742	西晋
unpolish	0.022742	荒玉
uncut	0.022742	荒玉
gem	0.022742	荒玉
move	0.019493	卒業,噓
simple	0.017057	素樸
art	0.017057	素樸
less	0.017057	素樸
naive	0.017057	素樸
unsophisticat	0.017057	素樸
web	0.017057	蹼
blade	0.017057	蹼
place	0.013384	虚,霊台
lie	0.013338	噓,虚
false	0.013338	噓,虚
hood	0.013338	噓,虚
etc	0.011888	譜,霊台
captive	0.011371	僕
slave	0.011371	僕
varlet	0.011371	僕
me	0.011371	僕
retainer	0.011371	僕
servant	0.011371	僕
jin	0.011371	西晋
chin	0.011371	西晋
mistake	0.009747	噓
error	0.009747	噓
unwise	0.009747	噓
bad	0.009747	噓
decision	0.009747	噓
no	0.009747	噓
way	0.009747	噓
unbelievable	0.009747	噓
really	0.009747	噓
fib	0.009747	噓
untruth	0.009747	噓
graduation	0.009747	卒業
completion	0.009747	卒業
leave	0.009747	卒業
quit	0.009747	卒業
out	0.009747	卒業
grow	0.009747	卒業
grade	0.008027	並み
express	0.006823	顕す
make	0.006823	顕す
widely	0.006823	顕す
know	0.006823	顕す
rep	0.006823	顕す
resent	0.006823	顕す
signify	0.006823	顕す
stand	0.006823	顕す
reveal	0.006823	顕す
show	0.006823	顕す
display	0.006823	顕す
astronomical	0.006202	霊台
expert	0.006202	霊台
observatory	0.006202	霊台
astronomy	0.006202	霊台
cloud	0.006202	霊台
watch	0.006202	霊台
where	0.006202	霊台
soul	0.006202	霊台
locate	0.006202	霊台
record	0.005686	譜
game	0.005686	譜
go	0.005686	譜
shogi	0.005686	譜
chess	0.005686	譜
genealogy	0.005686	譜
family	0.005686	譜
tree	0.005686	譜
music	0.005686	譜
note	0.005686	譜
score	0.005686	譜
each	0.004013	並み
every	0.004013	並み
mid	0.004013	並み
regular	0.004013	並み
row	0.004013	並み
line	0.004013	並み
ave	0.004013	並み
rage	0.004013	並み
medium	0.004013	並み
common	0.004013	並み
ordinary	0.004013	並み
same	0.004013	並み
level	0.004013	並み
equal	0.004013	並み
equivalent	0.004013	並み
par	0.004013	並み
fake	0.003591	虚
weather	0.003591	虚
memory	0.003591	虚
heart	0.003591	虚
far	0.003591	虚
off	0.003591	虚
distant	0.003591	虚
some	0.003591	虚
how	0.003591	虚
vaguely	0.003591	虚
state	0.003591	虚
mind	0.003591	虚
feel	0.003591	虚
sky	0.003591	虚
air	0.003591	虚
heaven	0.003591	虚
