# word cloud top all for element 关
# token	weight	(optional sources)
we	0.177893	朕
relation	0.050826	関係
laugh	0.029649	笑う
smile	0.029649	笑う
dumb	0.029649	笑う
found	0.029649	笑う
flabbergast	0.029649	笑う
sneer	0.029649	笑う
ridicule	0.029649	笑う
sexual	0.025413	関係
ship	0.025413	関係
one	0.021694	見送る
some	0.017355	見送る
relate	0.017045	見送る,関係
tie	0.013684	鎹
latch	0.013684	鎹
lock	0.013684	鎹
large	0.013684	鎹
staple	0.013684	鎹
drive	0.013684	鎹
two	0.013684	鎹
piece	0.013684	鎹
wood	0.013684	鎹
hold	0.013684	鎹
together	0.013684	鎹
clamp	0.013684	鎹
cramp	0.013684	鎹
influence	0.012707	関係
effect	0.012707	関係
conn	0.012707	関係
ect	0.012707	関係
participation	0.012707	関係
involvement	0.012707	関係
con	0.012707	関係
cern	0.012707	関係
connect	0.012707	関係
ion	0.012707	関係
until	0.008678	見送る
see	0.008678	見送る
let	0.008678	見送る
pas	0.008678	見送る
go	0.008678	見送る
follow	0.004339	見送る
someth	0.004339	見送る
eye	0.004339	見送る
out	0.004339	見送る
sight	0.004339	見送る
take	0.004339	見送る
care	0.004339	見送る
he	0.004339	見送る
dy	0.004339	見送る
close	0.004339	見送る
you	0.004339	見送る
die	0.004339	見送る
bury	0.004339	見送る
off	0.004339	見送る
escort	0.004339	見送る
shelve	0.004339	見送る
postpone	0.004339	見送る
wait	0.004339	見送る
continue	0.004339	見送る
up	0.004339	見送る
pitch	0.004339	見送る
watch	0.004339	見送る
bat	0.004339	見送る
ball	0.004339	見送る
stand	0.004339	見送る
