Summary: {Weight} {token}: {words[0:10]}
0.1793386   11 decline        : 衰態, 必衰, 衰耗, 衰勢, 衰滅, 衰亡, 衰微, 衰退, 衰頽, 衰える, ...
0.1738636    1 decadent       : 衰世
0.1196527    1 condition      : 衰態
0.1026531    1 state          : 衰態
0.0948445    1 world          : 衰世
0.0426060    8 decay          : 必衰, 衰勢, 老衰, 衰微, 衰退, 衰頽, 減衰, 衰える
0.0180276    3 waste          : やせ衰える, 痩せ衰える, 衰える
0.0148388    2 grow           : やせ衰える, 痩せ衰える
0.0147831    2 collapse       : 必衰, 衰亡
0.0146815    2 worn           : やせ衰える, 痩せ衰える
0.0144348    3 become         : やせ衰える, 痩せ衰える, 衰える
0.0143357    2 thin           : やせ衰える, 痩せ衰える
0.0119397    1 weaken         : 衰耗
0.0115375    1 inevitable     : 必衰
0.0099516    2 downfall       : 衰滅, 衰亡
0.0095933    2 degeneration   : 衰退, 衰頽
0.0094276    2 waning         : 衰退, 衰頽
0.0080291    2 ruin           : 衰滅, 衰亡
0.0076548    1 impending      : 五衰
0.0076214    1 infirmity      : 老衰
0.0075339    1 heavenly       : 五衰
0.0070584    1 downward       : 衰勢
0.0070418    1 senility       : 老衰
0.0063505    1 tendency       : 衰勢
0.0062584    1 senile         : 老衰
0.0062411    1 debility       : 衰弱
0.0061507    2 fall           : 盛衰, 衰亡
0.0054833    1 five           : 五衰
0.0051782    1 damping        : 減衰
0.0049493    1 attenuation    : 減衰
0.0047673    1 prostration    : 衰弱
0.0047397    1 breakdown      : 衰弱
0.0045775    1 emaciation     : 衰え
0.0044860    1 weakening      : 衰え
0.0044333    1 death          : 五衰
0.0043130    1 ebb            : 衰微
0.0041978    1 weakness       : 衰弱
0.0041773    1 age            : 老衰
0.0041499    1 abate          : 衰える
0.0041499    1 wither         : 衰える
0.0041098    1 welfare        : 盛衰
0.0034239    1 rise           : 盛衰
0.0032121    1 wear           : 衰える
0.0032021    1 weak           : 衰える

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1793386   11 decline
	decline WORD[ 1,   1]: 0.1285110 衰態
	decline WORD[ 1,   2]: 0.0102597 必衰
	decline WORD[ 1,   3]: 0.0091876 衰耗
	decline WORD[ 1,   4]: 0.0058058 衰勢
	decline WORD[ 1,   5]: 0.0037684 衰滅
	decline WORD[ 1,   6]: 0.0037684 衰亡
	decline WORD[ 1,   7]: 0.0037683 衰微
	decline WORD[ 1,   8]: 0.0037672 衰退
	decline WORD[ 1,   9]: 0.0037672 衰頽
	decline WORD[ 1,  10]: 0.0033675 衰える
	decline WORD[ 1,  11]: 0.0033674 衰え
TOKEN[ 2]: 0.1738636    1 decadent
	decadent WORD[ 2,   1]: 0.1738636 衰世
TOKEN[ 3]: 0.1196527    1 condition
	condition WORD[ 3,   1]: 0.1196527 衰態
TOKEN[ 4]: 0.1026531    1 state
	state WORD[ 4,   1]: 0.1026531 衰態
TOKEN[ 5]: 0.0948445    1 world
	world WORD[ 5,   1]: 0.0948445 衰世
TOKEN[ 6]: 0.0426060    8 decay
	decay WORD[ 6,   1]: 0.0110978 必衰
	decay WORD[ 6,   2]: 0.0062801 衰勢
	decay WORD[ 6,   3]: 0.0054667 老衰
	decay WORD[ 6,   4]: 0.0040761 衰微
	decay WORD[ 6,   5]: 0.0040750 衰退
	decay WORD[ 6,   6]: 0.0040750 衰頽
	decay WORD[ 6,   7]: 0.0038927 減衰
	decay WORD[ 6,   8]: 0.0036426 衰える
TOKEN[ 7]: 0.0180276    3 waste
	waste WORD[ 7,   1]: 0.0074535 やせ衰える
	waste WORD[ 7,   2]: 0.0074535 痩せ衰える
	waste WORD[ 7,   3]: 0.0031206 衰える
TOKEN[ 8]: 0.0148388    2 grow
	grow WORD[ 8,   1]: 0.0074194 やせ衰える
	grow WORD[ 8,   2]: 0.0074194 痩せ衰える
TOKEN[ 9]: 0.0147831    2 collapse
	collapse WORD[ 9,   1]: 0.0108119 必衰
	collapse WORD[ 9,   2]: 0.0039712 衰亡
TOKEN[10]: 0.0146815    2 worn
	worn WORD[10,   1]: 0.0073408 やせ衰える
	worn WORD[10,   2]: 0.0073408 痩せ衰える
TOKEN[11]: 0.0144348    3 become
	become WORD[11,   1]: 0.0059681 やせ衰える
	become WORD[11,   2]: 0.0059680 痩せ衰える
	become WORD[11,   3]: 0.0024987 衰える
TOKEN[12]: 0.0143357    2 thin
	thin WORD[12,   1]: 0.0071679 やせ衰える
	thin WORD[12,   2]: 0.0071679 痩せ衰える
TOKEN[13]: 0.0119397    1 weaken
	weaken WORD[13,   1]: 0.0119397 衰耗
TOKEN[14]: 0.0115375    1 inevitable
	inevitable WORD[14,   1]: 0.0115375 必衰
TOKEN[15]: 0.0099516    2 downfall
	downfall WORD[15,   1]: 0.0049758 衰滅
	downfall WORD[15,   2]: 0.0049757 衰亡
TOKEN[16]: 0.0095933    2 degeneration
	degeneration WORD[16,   1]: 0.0047967 衰退
	degeneration WORD[16,   2]: 0.0047967 衰頽
TOKEN[17]: 0.0094276    2 waning
	waning WORD[17,   1]: 0.0047138 衰退
	waning WORD[17,   2]: 0.0047138 衰頽
TOKEN[18]: 0.0080291    2 ruin
	ruin WORD[18,   1]: 0.0040146 衰滅
	ruin WORD[18,   2]: 0.0040145 衰亡
TOKEN[19]: 0.0076548    1 impending
	impending WORD[19,   1]: 0.0076548 五衰
TOKEN[20]: 0.0076214    1 infirmity
	infirmity WORD[20,   1]: 0.0076214 老衰
TOKEN[21]: 0.0075339    1 heavenly
	heavenly WORD[21,   1]: 0.0075339 五衰
TOKEN[22]: 0.0070584    1 downward
	downward WORD[22,   1]: 0.0070584 衰勢
TOKEN[23]: 0.0070418    1 senility
	senility WORD[23,   1]: 0.0070418 老衰
TOKEN[24]: 0.0063505    1 tendency
	tendency WORD[24,   1]: 0.0063505 衰勢
TOKEN[25]: 0.0062584    1 senile
	senile WORD[25,   1]: 0.0062584 老衰
TOKEN[26]: 0.0062411    1 debility
	debility WORD[26,   1]: 0.0062411 衰弱
TOKEN[27]: 0.0061507    2 fall
	fall WORD[27,   1]: 0.0030934 盛衰
	fall WORD[27,   2]: 0.0030573 衰亡
TOKEN[28]: 0.0054833    1 five
	five WORD[28,   1]: 0.0054833 五衰
TOKEN[29]: 0.0051782    1 damping
	damping WORD[29,   1]: 0.0051782 減衰
TOKEN[30]: 0.0049493    1 attenuation
	attenuation WORD[30,   1]: 0.0049493 減衰
TOKEN[31]: 0.0047673    1 prostration
	prostration WORD[31,   1]: 0.0047673 衰弱
