Summary: {Weight} {token}: {words[0:10]}
0.0869548    1 beautiful      : 錦繍
0.0789652    3 embroidery     : 繍仏, 錦繍, 刺繍
0.0542683    1 northeastern   : 粛慎
0.0460523    1 lived          : 粛慎
0.0446350    1 ethnic         : 粛慎
0.0394245    5 solemn         : 粛, 粛然, 粛々, 粛粛, 厳粛
0.0377093    5 silent         : 粛, 静粛, 粛然, 粛々, 粛粛
0.0330475    1 curtain        : 繍帳
0.0330376    1 Buddha         : 繍仏
0.0319113    1 ancient        : 粛慎
0.0314274    1 Buddhist       : 繍仏
0.0310380    1 fabric         : 錦繍
0.0300905    1 group          : 粛慎
0.0274923    4 quiet          : 粛, 粛然, 粛々, 粛粛
0.0269331    1 people         : 粛慎
0.0240393    1 meadowsweet    : 繍線菊
0.0234186    1 Spiraea        : 繍線菊
0.0222111    1 spirea         : 繍線菊
0.0217235    2 enforcement    : 振粛, 粛正
0.0196406    1 brocade        : 錦繍
0.0189712    1 wording        : 錦繍
0.0186718    2 strict         : 振粛, 厳粛
0.0185887    3 purge          : 粛清, 粛軍, 粛学
0.0164074    1 reverent       : 粛
0.0158856    1 respectful     : 粛
0.0153669    1 province       : 繍線菊
0.0150702    1 autumn         : 錦繍
0.0149968    1 leaves         : 錦繍
0.0149458    1 poem           : 錦繍
0.0137506    1 clothes        : 錦繍
0.0136681    1 former         : 繍線菊
0.0094503    1 Japanese       : 繍線菊
0.0082007    2 political      : 粛党, 粛清
0.0054244    1 name           : 粛啓
0.0053563    1 voluntary      : 自粛
0.0050687    1 regulation     : 粛正
0.0049694    1 restraint      : 自粛
0.0047898    1 cleaning       : 粛党
0.0046832    1 harsh          : 厳粛
0.0044941    1 army           : 粛軍
0.0043823    1 grave          : 厳粛
0.0042486    1 serious        : 厳粛
0.0041579    1 truth          : 厳粛
0.0038237    1 control        : 自粛
0.0036796    1 party          : 粛党
0.0036414    1 hard           : 厳粛
0.0032861    1 school         : 粛学

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0869548    1 beautiful
	beautiful WORD[ 1,   1]: 0.0869548 錦繍
TOKEN[ 2]: 0.0789652    3 embroidery
	embroidery WORD[ 2,   1]: 0.0457124 繍仏
	embroidery WORD[ 2,   2]: 0.0193939 錦繍
	embroidery WORD[ 2,   3]: 0.0138589 刺繍
TOKEN[ 3]: 0.0542683    1 northeastern
	northeastern WORD[ 3,   1]: 0.0271341 粛慎
TOKEN[ 4]: 0.0460523    1 lived
	lived WORD[ 4,   1]: 0.0230261 粛慎
TOKEN[ 5]: 0.0446350    1 ethnic
	ethnic WORD[ 5,   1]: 0.0223175 粛慎
TOKEN[ 6]: 0.0394245    5 solemn
	solemn WORD[ 6,   1]: 0.0149947 粛
	solemn WORD[ 6,   2]: 0.0083819 粛然
	solemn WORD[ 6,   3]: 0.0054135 粛々
	solemn WORD[ 6,   4]: 0.0054135 粛粛
	solemn WORD[ 6,   5]: 0.0052210 厳粛
TOKEN[ 7]: 0.0377093    5 silent
	silent WORD[ 7,   1]: 0.0132276 粛
	silent WORD[ 7,   2]: 0.0075367 静粛
	silent WORD[ 7,   3]: 0.0073941 粛然
	silent WORD[ 7,   4]: 0.0047755 粛々
	silent WORD[ 7,   5]: 0.0047755 粛粛
TOKEN[ 8]: 0.0330475    1 curtain
	curtain WORD[ 8,   1]: 0.0330475 繍帳
TOKEN[ 9]: 0.0330376    1 Buddha
	Buddha WORD[ 9,   1]: 0.0330376 繍仏
TOKEN[10]: 0.0319113    1 ancient
	ancient WORD[10,   1]: 0.0159557 粛慎
TOKEN[11]: 0.0314274    1 Buddhist
	Buddhist WORD[11,   1]: 0.0314274 繍仏
TOKEN[12]: 0.0310380    1 fabric
	fabric WORD[12,   1]: 0.0310380 錦繍
TOKEN[13]: 0.0300905    1 group
	group WORD[13,   1]: 0.0150453 粛慎
TOKEN[14]: 0.0274923    4 quiet
	quiet WORD[14,   1]: 0.0120525 粛
	quiet WORD[14,   2]: 0.0067373 粛然
	quiet WORD[14,   3]: 0.0043513 粛々
	quiet WORD[14,   4]: 0.0043513 粛粛
TOKEN[15]: 0.0269331    1 people
	people WORD[15,   1]: 0.0134666 粛慎
TOKEN[16]: 0.0240393    1 meadowsweet
	meadowsweet WORD[16,   1]: 0.0240393 繍線菊
TOKEN[17]: 0.0234186    1 Spiraea
	Spiraea WORD[17,   1]: 0.0234186 繍線菊
TOKEN[18]: 0.0222111    1 spirea
	spirea WORD[18,   1]: 0.0222111 繍線菊
TOKEN[19]: 0.0217235    2 enforcement
	enforcement WORD[19,   1]: 0.0159879 振粛
	enforcement WORD[19,   2]: 0.0057356 粛正
TOKEN[20]: 0.0196406    1 brocade
	brocade WORD[20,   1]: 0.0196406 錦繍
TOKEN[21]: 0.0189712    1 wording
	wording WORD[21,   1]: 0.0189712 錦繍
TOKEN[22]: 0.0186718    2 strict
	strict WORD[22,   1]: 0.0138725 振粛
	strict WORD[22,   2]: 0.0047993 厳粛
TOKEN[23]: 0.0185887    3 purge
	purge WORD[23,   1]: 0.0061967 粛清
	purge WORD[23,   2]: 0.0061960 粛軍
	purge WORD[23,   3]: 0.0061960 粛学
TOKEN[24]: 0.0164074    1 reverent
	reverent WORD[24,   1]: 0.0164074 粛
TOKEN[25]: 0.0158856    1 respectful
	respectful WORD[25,   1]: 0.0158856 粛
TOKEN[26]: 0.0153669    1 province
	province WORD[26,   1]: 0.0153669 繍線菊
TOKEN[27]: 0.0150702    1 autumn
	autumn WORD[27,   1]: 0.0150702 錦繍
TOKEN[28]: 0.0149968    1 leaves
	leaves WORD[28,   1]: 0.0149968 錦繍
TOKEN[29]: 0.0149458    1 poem
	poem WORD[29,   1]: 0.0149458 錦繍
TOKEN[30]: 0.0137506    1 clothes
	clothes WORD[30,   1]: 0.0137506 錦繍
TOKEN[31]: 0.0136681    1 former
	former WORD[31,   1]: 0.0136681 繍線菊
TOKEN[32]: 0.0094503    1 Japanese
	Japanese WORD[32,   1]: 0.0094503 繍線菊
TOKEN[33]: 0.0082007    2 political
	political WORD[33,   1]: 0.0041004 粛党
	political WORD[33,   2]: 0.0041003 粛清
TOKEN[34]: 0.0054244    1 name
	name WORD[34,   1]: 0.0054244 粛啓
TOKEN[35]: 0.0053563    1 voluntary
	voluntary WORD[35,   1]: 0.0053563 自粛
TOKEN[36]: 0.0050687    1 regulation
	regulation WORD[36,   1]: 0.0050687 粛正
TOKEN[37]: 0.0049694    1 restraint
	restraint WORD[37,   1]: 0.0049694 自粛
TOKEN[38]: 0.0047898    1 cleaning
	cleaning WORD[38,   1]: 0.0047898 粛党
TOKEN[39]: 0.0046832    1 harsh
	harsh WORD[39,   1]: 0.0046832 厳粛
TOKEN[40]: 0.0044941    1 army
	army WORD[40,   1]: 0.0044941 粛軍
TOKEN[41]: 0.0043823    1 grave
	grave WORD[41,   1]: 0.0043823 厳粛
TOKEN[42]: 0.0042486    1 serious
	serious WORD[42,   1]: 0.0042486 厳粛
TOKEN[43]: 0.0041579    1 truth
	truth WORD[43,   1]: 0.0041579 厳粛
TOKEN[44]: 0.0038237    1 control
	control WORD[44,   1]: 0.0038237 自粛
TOKEN[45]: 0.0036796    1 party
	party WORD[45,   1]: 0.0036796 粛党
TOKEN[46]: 0.0036414    1 hard
	hard WORD[46,   1]: 0.0036414 厳粛
TOKEN[47]: 0.0032861    1 school
	school WORD[47,   1]: 0.0032861 粛学
