Summary: {Weight} {token}: {words[0:10]}
0.1085366    1 northeastern   : 粛慎
0.0921046    1 lived          : 粛慎
0.0892700    1 ethnic         : 粛慎
0.0788491    5 solemn         : 粛, 粛然, 粛々, 粛粛, 厳粛
0.0754185    5 silent         : 粛, 静粛, 粛然, 粛々, 粛粛
0.0638226    1 ancient        : 粛慎
0.0601810    1 group          : 粛慎
0.0549847    4 quiet          : 粛, 粛然, 粛々, 粛粛
0.0538663    1 people         : 粛慎
0.0434471    2 enforcement    : 振粛, 粛正
0.0373436    2 strict         : 振粛, 厳粛
0.0371773    3 purge          : 粛清, 粛軍, 粛学
0.0328149    1 reverent       : 粛
0.0317711    1 respectful     : 粛
0.0164014    2 political      : 粛党, 粛清
0.0108488    1 name           : 粛啓
0.0107125    1 voluntary      : 自粛
0.0101373    1 regulation     : 粛正
0.0099389    1 restraint      : 自粛
0.0095796    1 cleaning       : 粛党
0.0093665    1 harsh          : 厳粛
0.0089881    1 army           : 粛軍
0.0087646    1 grave          : 厳粛
0.0084972    1 serious        : 厳粛
0.0083159    1 truth          : 厳粛
0.0076474    1 control        : 自粛
0.0073592    1 party          : 粛党
0.0072829    1 hard           : 厳粛
0.0065722    1 school         : 粛学

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1085366    1 northeastern
	northeastern WORD[ 1,   1]: 0.0542683 粛慎
TOKEN[ 2]: 0.0921046    1 lived
	lived WORD[ 2,   1]: 0.0460523 粛慎
TOKEN[ 3]: 0.0892700    1 ethnic
	ethnic WORD[ 3,   1]: 0.0446350 粛慎
TOKEN[ 4]: 0.0788491    5 solemn
	solemn WORD[ 4,   1]: 0.0299894 粛
	solemn WORD[ 4,   2]: 0.0167638 粛然
	solemn WORD[ 4,   3]: 0.0108269 粛々
	solemn WORD[ 4,   4]: 0.0108269 粛粛
	solemn WORD[ 4,   5]: 0.0104419 厳粛
TOKEN[ 5]: 0.0754185    5 silent
	silent WORD[ 5,   1]: 0.0264551 粛
	silent WORD[ 5,   2]: 0.0150733 静粛
	silent WORD[ 5,   3]: 0.0147882 粛然
	silent WORD[ 5,   4]: 0.0095510 粛々
	silent WORD[ 5,   5]: 0.0095509 粛粛
TOKEN[ 6]: 0.0638226    1 ancient
	ancient WORD[ 6,   1]: 0.0319113 粛慎
TOKEN[ 7]: 0.0601810    1 group
	group WORD[ 7,   1]: 0.0300905 粛慎
TOKEN[ 8]: 0.0549847    4 quiet
	quiet WORD[ 8,   1]: 0.0241051 粛
	quiet WORD[ 8,   2]: 0.0134745 粛然
	quiet WORD[ 8,   3]: 0.0087025 粛々
	quiet WORD[ 8,   4]: 0.0087025 粛粛
TOKEN[ 9]: 0.0538663    1 people
	people WORD[ 9,   1]: 0.0269331 粛慎
TOKEN[10]: 0.0434471    2 enforcement
	enforcement WORD[10,   1]: 0.0319759 振粛
	enforcement WORD[10,   2]: 0.0114712 粛正
TOKEN[11]: 0.0373436    2 strict
	strict WORD[11,   1]: 0.0277450 振粛
	strict WORD[11,   2]: 0.0095986 厳粛
TOKEN[12]: 0.0371773    3 purge
	purge WORD[12,   1]: 0.0123933 粛清
	purge WORD[12,   2]: 0.0123920 粛軍
	purge WORD[12,   3]: 0.0123920 粛学
TOKEN[13]: 0.0328149    1 reverent
	reverent WORD[13,   1]: 0.0328149 粛
TOKEN[14]: 0.0317711    1 respectful
	respectful WORD[14,   1]: 0.0317711 粛
TOKEN[15]: 0.0164014    2 political
	political WORD[15,   1]: 0.0082007 粛党
	political WORD[15,   2]: 0.0082007 粛清
TOKEN[16]: 0.0108488    1 name
	name WORD[16,   1]: 0.0108488 粛啓
TOKEN[17]: 0.0107125    1 voluntary
	voluntary WORD[17,   1]: 0.0107125 自粛
TOKEN[18]: 0.0101373    1 regulation
	regulation WORD[18,   1]: 0.0101373 粛正
TOKEN[19]: 0.0099389    1 restraint
	restraint WORD[19,   1]: 0.0099389 自粛
TOKEN[20]: 0.0095796    1 cleaning
	cleaning WORD[20,   1]: 0.0095796 粛党
TOKEN[21]: 0.0093665    1 harsh
	harsh WORD[21,   1]: 0.0093665 厳粛
TOKEN[22]: 0.0089881    1 army
	army WORD[22,   1]: 0.0089881 粛軍
TOKEN[23]: 0.0087646    1 grave
	grave WORD[23,   1]: 0.0087646 厳粛
TOKEN[24]: 0.0084972    1 serious
	serious WORD[24,   1]: 0.0084972 厳粛
TOKEN[25]: 0.0083159    1 truth
	truth WORD[25,   1]: 0.0083159 厳粛
TOKEN[26]: 0.0076474    1 control
	control WORD[26,   1]: 0.0076474 自粛
TOKEN[27]: 0.0073592    1 party
	party WORD[27,   1]: 0.0073592 粛党
TOKEN[28]: 0.0072829    1 hard
	hard WORD[28,   1]: 0.0072829 厳粛
TOKEN[29]: 0.0065722    1 school
	school WORD[29,   1]: 0.0065722 粛学
