Summary: {Weight} {token}: {words[0:10]}
0.0794718    5 village        : 郷学, 郷鎮, 郷社, 同郷, 郷
0.0786514   13 one            : 郷, 家郷, 離郷, 郷党, 郷国, 郷関, 愛郷, 本郷, 出郷, 在郷, ...
0.0648640    8 home           : 離郷, 懐郷, 家郷, 出郷, 故郷, 郷土, 郷, 帰郷
0.0432323    5 country        : 他郷, 郷士, 在郷, 郷, 異郷
0.0400517    3 countryside    : 近郷, 在郷, 郷
0.0390739    2 homeland       : 原郷, 家郷
0.0390405    3 homesickness   : 望郷, 懐郷, 郷愁
0.0366928    3 nostalgia      : 望郷, 懐郷, 郷愁
0.0289595    3 land           : 異郷, 郷国, 仙郷
0.0284883    3 native         : 郷国, 故郷, 郷土
0.0255599    1 township       : 郷鎮
0.0252537    1 hamlet         : 郷
0.0244186    3 town           : 離郷, 同郷, 出郷
0.0230505    1 ancient        : 郷学
0.0220538    2 birthplace     : 故郷, 郷里
0.0210538    3 old            : 家郷, 故郷, 郷土
0.0208007    3 place          : 他郷, 故郷, 郷土
0.0207757    2 people         : 原郷, 郷党
0.0196891    2 foreign        : 異郷, 他郷
0.0196405    1 school         : 郷学
0.0191561    1 district       : 水郷
0.0185396    1 Japan          : 郷学
0.0183215    1 original       : 原郷
0.0172390    1 past           : 郷
0.0148174    1 historic       : 故郷
0.0146595    1 language       : 原郷
0.0136041    1 remains        : 故郷
0.0130208    2 province       : 同郷, 郷土
0.0128673    1 fairyland      : 仙郷
0.0127643    1 riverside      : 水郷
0.0126975    1 departure      : 離郷
0.0125065    1 longing        : 懐郷
0.0120750    1 neighboring    : 近郷
0.0118072    1 canal          : 水郷
0.0099822    1 location       : 水郷
0.0094001    1 samurai        : 郷士
0.0091912    1 beautiful      : 水郷
0.0083057    1 shrine         : 郷社
0.0078761    1 teach          : 出郷
0.0077517    1 locality       : 郷土
0.0075125    1 love           : 愛郷
0.0073183    1 rural          : 在郷
0.0058539    1 leaving        : 出郷
0.0056568    1 strange        : 異郷
0.0056542    1 region         : 郷土
0.0055322    1 return         : 帰郷
0.0050666    1 going          : 出郷

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0794718    5 village
	village WORD[ 1,   1]: 0.0268086 郷学
	village WORD[ 1,   2]: 0.0174803 郷鎮
	village WORD[ 1,   3]: 0.0097058 郷社
	village WORD[ 1,   4]: 0.0071953 同郷
	village WORD[ 1,   5]: 0.0060939 郷
TOKEN[ 2]: 0.0786514   13 one
	one WORD[ 2,   1]: 0.0102540 郷
	one WORD[ 2,   2]: 0.0078093 家郷
	one WORD[ 2,   3]: 0.0050242 離郷
	one WORD[ 2,   4]: 0.0040487 郷党
	one WORD[ 2,   5]: 0.0040384 郷国
	one WORD[ 2,   6]: 0.0040343 郷関
	one WORD[ 2,   7]: 0.0037952 愛郷
	one WORD[ 2,   8]: 0.0033770 本郷
	one WORD[ 2,   9]: 0.0027148 出郷
	one WORD[ 2,  10]: 0.0026810 在郷
	one WORD[ 2,  11]: 0.0026258 故郷
	one WORD[ 2,  12]: 0.0025645 郷土
	one WORD[ 2,  13]: 0.0025503 帰郷
TOKEN[ 3]: 0.0648640    8 home
	home WORD[ 3,   1]: 0.0096129 離郷
	home WORD[ 3,   2]: 0.0080380 懐郷
	home WORD[ 3,   3]: 0.0074707 家郷
	home WORD[ 3,   4]: 0.0051942 出郷
	home WORD[ 3,   5]: 0.0050239 故郷
	home WORD[ 3,   6]: 0.0049067 郷土
	home WORD[ 3,   7]: 0.0049047 郷
	home WORD[ 3,   8]: 0.0048795 帰郷
TOKEN[ 4]: 0.0432323    5 country
	country WORD[ 4,   1]: 0.0088872 他郷
	country WORD[ 4,   2]: 0.0083449 郷士
	country WORD[ 4,   3]: 0.0054799 在郷
	country WORD[ 4,   4]: 0.0052397 郷
	country WORD[ 4,   5]: 0.0048013 異郷
TOKEN[ 5]: 0.0400517    3 countryside
	countryside WORD[ 5,   1]: 0.0112979 近郷
	countryside WORD[ 5,   2]: 0.0074328 在郷
	countryside WORD[ 5,   3]: 0.0071070 郷
TOKEN[ 6]: 0.0390739    2 homeland
	homeland WORD[ 6,   1]: 0.0262520 原郷
	homeland WORD[ 6,   2]: 0.0128219 家郷
TOKEN[ 7]: 0.0390405    3 homesickness
	homesickness WORD[ 7,   1]: 0.0162697 望郷
	homesickness WORD[ 7,   2]: 0.0141406 懐郷
	homesickness WORD[ 7,   3]: 0.0086302 郷愁
TOKEN[ 8]: 0.0366928    3 nostalgia
	nostalgia WORD[ 8,   1]: 0.0152913 望郷
	nostalgia WORD[ 8,   2]: 0.0132903 懐郷
	nostalgia WORD[ 8,   3]: 0.0081112 郷愁
TOKEN[ 9]: 0.0289595    3 land
	land WORD[ 9,   1]: 0.0137411 異郷
	land WORD[ 9,   2]: 0.0078744 郷国
	land WORD[ 9,   3]: 0.0073441 仙郷
TOKEN[10]: 0.0284883    3 native
	native WORD[10,   1]: 0.0097049 郷国
	native WORD[10,   2]: 0.0063102 故郷
	native WORD[10,   3]: 0.0061630 郷土
TOKEN[11]: 0.0255599    1 township
	township WORD[11,   1]: 0.0255599 郷鎮
TOKEN[12]: 0.0252537    1 hamlet
	hamlet WORD[12,   1]: 0.0084179 郷
TOKEN[13]: 0.0244186    3 town
	town WORD[13,   1]: 0.0113957 離郷
	town WORD[13,   2]: 0.0068653 同郷
	town WORD[13,   3]: 0.0061576 出郷
TOKEN[14]: 0.0230505    1 ancient
	ancient WORD[14,   1]: 0.0230505 郷学
TOKEN[15]: 0.0220538    2 birthplace
	birthplace WORD[15,   1]: 0.0074087 故郷
	birthplace WORD[15,   2]: 0.0072364 郷里
TOKEN[16]: 0.0210538    3 old
	old WORD[16,   1]: 0.0070139 家郷
	old WORD[16,   2]: 0.0047167 故郷
	old WORD[16,   3]: 0.0046067 郷土
TOKEN[17]: 0.0208007    3 place
	place WORD[17,   1]: 0.0074352 他郷
	place WORD[17,   2]: 0.0044901 故郷
	place WORD[17,   3]: 0.0043854 郷土
TOKEN[18]: 0.0207757    2 people
	people WORD[18,   1]: 0.0137913 原郷
	people WORD[18,   2]: 0.0069844 郷党
TOKEN[19]: 0.0196891    2 foreign
	foreign WORD[19,   1]: 0.0102255 異郷
	foreign WORD[19,   2]: 0.0094637 他郷
TOKEN[20]: 0.0196405    1 school
	school WORD[20,   1]: 0.0196405 郷学
TOKEN[21]: 0.0191561    1 district
	district WORD[21,   1]: 0.0191561 水郷
TOKEN[22]: 0.0185396    1 Japan
	Japan WORD[22,   1]: 0.0185396 郷学
TOKEN[23]: 0.0183215    1 original
	original WORD[23,   1]: 0.0183215 原郷
TOKEN[24]: 0.0172390    1 past
	past WORD[24,   1]: 0.0057463 郷
TOKEN[25]: 0.0148174    1 historic
	historic WORD[25,   1]: 0.0074087 故郷
TOKEN[26]: 0.0146595    1 language
	language WORD[26,   1]: 0.0146595 原郷
TOKEN[27]: 0.0136041    1 remains
	remains WORD[27,   1]: 0.0068021 故郷
TOKEN[28]: 0.0130208    2 province
	province WORD[28,   1]: 0.0070487 同郷
	province WORD[28,   2]: 0.0059721 郷土
TOKEN[29]: 0.0128673    1 fairyland
	fairyland WORD[29,   1]: 0.0128673 仙郷
TOKEN[30]: 0.0127643    1 riverside
	riverside WORD[30,   1]: 0.0127643 水郷
TOKEN[31]: 0.0126975    1 departure
	departure WORD[31,   1]: 0.0126975 離郷
TOKEN[32]: 0.0125065    1 longing
	longing WORD[32,   1]: 0.0125065 懐郷
TOKEN[33]: 0.0120750    1 neighboring
	neighboring WORD[33,   1]: 0.0120750 近郷
TOKEN[34]: 0.0118072    1 canal
	canal WORD[34,   1]: 0.0118072 水郷
TOKEN[35]: 0.0099822    1 location
	location WORD[35,   1]: 0.0099822 水郷
TOKEN[36]: 0.0094001    1 samurai
	samurai WORD[36,   1]: 0.0094001 郷士
TOKEN[37]: 0.0091912    1 beautiful
	beautiful WORD[37,   1]: 0.0091912 水郷
TOKEN[38]: 0.0083057    1 shrine
	shrine WORD[38,   1]: 0.0083057 郷社
TOKEN[39]: 0.0078761    1 teach
	teach WORD[39,   1]: 0.0078761 出郷
TOKEN[40]: 0.0077517    1 locality
	locality WORD[40,   1]: 0.0077517 郷土
TOKEN[41]: 0.0075125    1 love
	love WORD[41,   1]: 0.0075125 愛郷
TOKEN[42]: 0.0073183    1 rural
	rural WORD[42,   1]: 0.0073183 在郷
TOKEN[43]: 0.0058539    1 leaving
	leaving WORD[43,   1]: 0.0058539 出郷
TOKEN[44]: 0.0056568    1 strange
	strange WORD[44,   1]: 0.0056568 異郷
TOKEN[45]: 0.0056542    1 region
	region WORD[45,   1]: 0.0056542 郷土
TOKEN[46]: 0.0055322    1 return
	return WORD[46,   1]: 0.0055322 帰郷
TOKEN[47]: 0.0050666    1 going
	going WORD[47,   1]: 0.0050666 出郷
