Summary: {Weight} {token}: {words[0:10]}
0.1110627    1 death          : 敢死
0.0918977    1 preparedness   : 敢死
0.0678517    4 fleeting       : 敢えない, 敢え無い, 敢ない, 果敢ない
0.0655559    4 transient      : 敢えない, 敢え無い, 敢ない, 果敢ない
0.0572044    3 disappointing  : 敢えない, 敢え無い, 敢ない
0.0546692    3 tragic         : 敢えない, 敢え無い, 敢ない
0.0514753    3 miserable      : 敢えない, 敢え無い, 敢ない
0.0483961    3 sad            : 敢えない, 敢え無い, 敢ない
0.0441321    3 result         : 敢えない, 敢え無い, 敢ない
0.0338617    3 end            : 敢えない, 敢え無い, 敢ない
0.0309891    2 daring         : 敢為, 敢行
0.0227802    2 something      : 敢えて, 敢て
0.0215427    2 needless       : 敢えて, 敢て
0.0189590    2 unexpected     : 敢えて, 敢て
0.0178525    1 gallant        : 勇敢
0.0173518    1 momentary      : 果敢ない
0.0170537    1 heroic         : 勇敢
0.0164693    1 ephemeral      : 果敢ない
0.0157307    1 possibility    : 果敢ない
0.0155742    2 time           : 取り敢えず, 取敢えず
0.0152929    1 brave          : 勇敢
0.0146099    1 fickle         : 果敢ない
0.0138834    1 vain           : 果敢ない
0.0133928    1 faint          : 果敢ない
0.0130745    1 dream          : 果敢ない
0.0130268    1 hope           : 果敢ない
0.0120605    1 decisive       : 敢行
0.0120051    1 resolute       : 果敢
0.0119766    1 empty          : 果敢ない
0.0118396    1 determined     : 果敢
0.0113264    1 bold           : 果敢
0.0098813    1 fighting       : 敢闘
0.0098735    1 carrying       : 敢行
0.0093944    1 action         : 敢行
0.0079522    1 going          : 敢行

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1110627    1 death
	death WORD[ 1,   1]: 0.1110627 敢死
TOKEN[ 2]: 0.0918977    1 preparedness
	preparedness WORD[ 2,   1]: 0.0918977 敢死
TOKEN[ 3]: 0.0678517    4 fleeting
	fleeting WORD[ 3,   1]: 0.0177205 敢えない
	fleeting WORD[ 3,   2]: 0.0177205 敢え無い
	fleeting WORD[ 3,   3]: 0.0177204 敢ない
	fleeting WORD[ 3,   4]: 0.0146903 果敢ない
TOKEN[ 4]: 0.0655559    4 transient
	transient WORD[ 4,   1]: 0.0171209 敢えない
	transient WORD[ 4,   2]: 0.0171209 敢え無い
	transient WORD[ 4,   3]: 0.0171208 敢ない
	transient WORD[ 4,   4]: 0.0141932 果敢ない
TOKEN[ 5]: 0.0572044    3 disappointing
	disappointing WORD[ 5,   1]: 0.0190682 敢えない
	disappointing WORD[ 5,   2]: 0.0190681 敢え無い
	disappointing WORD[ 5,   3]: 0.0190681 敢ない
TOKEN[ 6]: 0.0546692    3 tragic
	tragic WORD[ 6,   1]: 0.0182232 敢えない
	tragic WORD[ 6,   2]: 0.0182231 敢え無い
	tragic WORD[ 6,   3]: 0.0182230 敢ない
TOKEN[ 7]: 0.0514753    3 miserable
	miserable WORD[ 7,   1]: 0.0171585 敢えない
	miserable WORD[ 7,   2]: 0.0171584 敢え無い
	miserable WORD[ 7,   3]: 0.0171584 敢ない
TOKEN[ 8]: 0.0483961    3 sad
	sad WORD[ 8,   1]: 0.0161321 敢えない
	sad WORD[ 8,   2]: 0.0161320 敢え無い
	sad WORD[ 8,   3]: 0.0161320 敢ない
TOKEN[ 9]: 0.0441321    3 result
	result WORD[ 9,   1]: 0.0147107 敢えない
	result WORD[ 9,   2]: 0.0147107 敢え無い
	result WORD[ 9,   3]: 0.0147106 敢ない
TOKEN[10]: 0.0338617    3 end
	end WORD[10,   1]: 0.0112873 敢えない
	end WORD[10,   2]: 0.0112872 敢え無い
	end WORD[10,   3]: 0.0112872 敢ない
TOKEN[11]: 0.0309891    2 daring
	daring WORD[11,   1]: 0.0188489 敢為
	daring WORD[11,   2]: 0.0121402 敢行
TOKEN[12]: 0.0227802    2 something
	something WORD[12,   1]: 0.0113901 敢えて
	something WORD[12,   2]: 0.0113901 敢て
TOKEN[13]: 0.0215427    2 needless
	needless WORD[13,   1]: 0.0107714 敢えて
	needless WORD[13,   2]: 0.0107714 敢て
TOKEN[14]: 0.0189590    2 unexpected
	unexpected WORD[14,   1]: 0.0094795 敢えて
	unexpected WORD[14,   2]: 0.0094795 敢て
TOKEN[15]: 0.0178525    1 gallant
	gallant WORD[15,   1]: 0.0178525 勇敢
TOKEN[16]: 0.0173518    1 momentary
	momentary WORD[16,   1]: 0.0173518 果敢ない
TOKEN[17]: 0.0170537    1 heroic
	heroic WORD[17,   1]: 0.0170537 勇敢
TOKEN[18]: 0.0164693    1 ephemeral
	ephemeral WORD[18,   1]: 0.0164693 果敢ない
TOKEN[19]: 0.0157307    1 possibility
	possibility WORD[19,   1]: 0.0157307 果敢ない
TOKEN[20]: 0.0155742    2 time
	time WORD[20,   1]: 0.0077871 取り敢えず
	time WORD[20,   2]: 0.0077871 取敢えず
TOKEN[21]: 0.0152929    1 brave
	brave WORD[21,   1]: 0.0152929 勇敢
TOKEN[22]: 0.0146099    1 fickle
	fickle WORD[22,   1]: 0.0146099 果敢ない
TOKEN[23]: 0.0138834    1 vain
	vain WORD[23,   1]: 0.0138834 果敢ない
TOKEN[24]: 0.0133928    1 faint
	faint WORD[24,   1]: 0.0133928 果敢ない
TOKEN[25]: 0.0130745    1 dream
	dream WORD[25,   1]: 0.0130745 果敢ない
TOKEN[26]: 0.0130268    1 hope
	hope WORD[26,   1]: 0.0130268 果敢ない
TOKEN[27]: 0.0120605    1 decisive
	decisive WORD[27,   1]: 0.0120605 敢行
TOKEN[28]: 0.0120051    1 resolute
	resolute WORD[28,   1]: 0.0120051 果敢
TOKEN[29]: 0.0119766    1 empty
	empty WORD[29,   1]: 0.0119766 果敢ない
TOKEN[30]: 0.0118396    1 determined
	determined WORD[30,   1]: 0.0118396 果敢
TOKEN[31]: 0.0113264    1 bold
	bold WORD[31,   1]: 0.0113264 果敢
TOKEN[32]: 0.0098813    1 fighting
	fighting WORD[32,   1]: 0.0098813 敢闘
TOKEN[33]: 0.0098735    1 carrying
	carrying WORD[33,   1]: 0.0098735 敢行
TOKEN[34]: 0.0093944    1 action
	action WORD[34,   1]: 0.0093944 敢行
TOKEN[35]: 0.0079522    1 going
	going WORD[35,   1]: 0.0079522 敢行
