Summary: {Weight} {token}: {words[0:10]}
0.1672399    6 unit           : 解隊, 隊旗, 帰隊, 原隊, 部隊, 隊
0.1653070    5 military       : 解隊, 隊務, 隊旗, 除隊, 軍隊
0.1191137    1 breaking       : 解隊
0.0355863    5 force          : 全隊, 支隊, 枝隊, 本隊, 部隊
0.0258241    4 formation      : 編隊, 隊伍, 隊形, 隊列
0.0247131    4 squad          : 分隊, 部隊, 隊, 一隊
0.0214472    1 entire         : 全隊
0.0209858    1 colors         : 隊旗
0.0201869    1 flag           : 隊旗
0.0193867    1 regimental     : 隊士
0.0185146    2 soldier        : 隊士, 兵隊
0.0163796    1 work           : 隊務
0.0157582    2 regiment       : 聯隊, 連隊
0.0155394    2 detachment     : 支隊, 枝隊
0.0154200    3 team           : 分隊, 隊員, 隊
0.0150532    2 detached       : 支隊, 枝隊
0.0147265    3 rank           : 隊伍, 横隊, 隊列
0.0136269    2 fleet          : 船隊, 艦隊
0.0115930    3 company        : 中隊, 隊, 一隊
0.0112483    2 column         : 縦隊, 隊列
0.0111911    2 army           : 帰隊, 本隊
0.0108016    2 corps          : 部隊, 隊
0.0103970    3 party          : 部隊, 隊, 一隊
0.0101487    1 platoon        : 小隊
0.0099205    1 battalion      : 大隊
0.0095678    2 line           : 隊伍, 横隊
0.0089422    1 troop          : 中隊
0.0087063    1 main           : 本隊
0.0076544    1 array          : 隊伍
0.0074653    1 procession     : 隊伍
0.0073995    1 battery        : 中隊
0.0073973    1 aircraft       : 編隊
0.0072640    1 orchestra      : 楽隊
0.0071936    2 body           : 本隊, 隊
0.0068183    1 disposition    : 隊形
0.0067744    2 group          : 隊員, 隊
0.0066370    1 caravan        : 隊商
0.0064341    1 enlistment     : 入隊
0.0063851    1 sailor         : 兵隊
0.0063723    1 band           : 楽隊
0.0063630    1 squadron       : 戦隊
0.0060161    1 armada         : 艦隊
0.0060051    1 battle         : 隊形
0.0051614    1 crew           : 隊
0.0051424    1 commanding     : 隊長
0.0051348    2 one            : 帰隊, 原隊
0.0048895    1 home           : 原隊
0.0046331    1 armed          : 軍隊
0.0046271    1 quarters       : 隊舎
0.0044959    1 naval          : 艦隊
0.0042830    1 discharge      : 除隊
0.0042213    1 officer        : 隊長
0.0039559    1 file           : 隊列
0.0039508    1 gang           : 一隊

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1672399    6 unit
	unit WORD[ 1,   1]: 0.1118518 解隊
	unit WORD[ 1,   2]: 0.0356696 隊旗
	unit WORD[ 1,   3]: 0.0056594 帰隊
	unit WORD[ 1,   4]: 0.0056074 原隊
	unit WORD[ 1,   5]: 0.0045955 部隊
	unit WORD[ 1,   6]: 0.0038562 隊
TOKEN[ 2]: 0.1653070    5 military
	military WORD[ 2,   1]: 0.1034171 解隊
	military WORD[ 2,   2]: 0.0385941 隊務
	military WORD[ 2,   3]: 0.0164899 隊旗
	military WORD[ 2,   4]: 0.0034852 除隊
	military WORD[ 2,   5]: 0.0033208 軍隊
TOKEN[ 3]: 0.1191137    1 breaking
	breaking WORD[ 3,   1]: 0.1191137 解隊
TOKEN[ 4]: 0.0355863    5 force
	force WORD[ 4,   1]: 0.0162436 全隊
	force WORD[ 4,   2]: 0.0054035 支隊
	force WORD[ 4,   3]: 0.0054035 枝隊
	force WORD[ 4,   4]: 0.0042932 本隊
	force WORD[ 4,   5]: 0.0042424 部隊
TOKEN[ 5]: 0.0258241    4 formation
	formation WORD[ 5,   1]: 0.0076524 編隊
	formation WORD[ 5,   2]: 0.0068677 隊伍
	formation WORD[ 5,   3]: 0.0068653 隊形
	formation WORD[ 5,   4]: 0.0044387 隊列
TOKEN[ 6]: 0.0247131    4 squad
	squad WORD[ 6,   1]: 0.0089138 分隊
	squad WORD[ 6,   2]: 0.0062057 部隊
	squad WORD[ 6,   3]: 0.0052074 隊
	squad WORD[ 6,   4]: 0.0043861 一隊
TOKEN[ 7]: 0.0214472    1 entire
	entire WORD[ 7,   1]: 0.0214472 全隊
TOKEN[ 8]: 0.0209858    1 colors
	colors WORD[ 8,   1]: 0.0209858 隊旗
TOKEN[ 9]: 0.0201869    1 flag
	flag WORD[ 9,   1]: 0.0201869 隊旗
TOKEN[10]: 0.0193867    1 regimental
	regimental WORD[10,   1]: 0.0193867 隊士
TOKEN[11]: 0.0185146    2 soldier
	soldier WORD[11,   1]: 0.0133721 隊士
	soldier WORD[11,   2]: 0.0051424 兵隊
TOKEN[12]: 0.0163796    1 work
	work WORD[12,   1]: 0.0163796 隊務
TOKEN[13]: 0.0157582    2 regiment
	regiment WORD[13,   1]: 0.0078791 聯隊
	regiment WORD[13,   2]: 0.0078791 連隊
TOKEN[14]: 0.0155394    2 detachment
	detachment WORD[14,   1]: 0.0077697 支隊
