Summary: {Weight} {token}: {words[0:10]}
0.1740657    8 rise           : 暴騰, 昂騰, 高騰, 急騰, 騰落, 反騰, 騰貴, 続騰
0.0663873    5 price          : 奔騰, 反騰, 騰貴, 続騰, 急騰
0.0586069    4 sharp          : 暴騰, 昂騰, 高騰, 急騰
0.0539641    3 soaring        : 沸騰, 昂騰, 高騰
0.0488599    3 sudden         : 暴騰, 奔騰, 急騰
0.0413806    2 boom           : 暴騰, 奔騰
0.0372263    1 continued      : 続騰
0.0352115    2 substantial    : 昂騰, 高騰
0.0311624    2 steep          : 昂騰, 高騰
0.0307601    2 jump           : 奔騰, 急騰
0.0284920    2 advance        : 騰貴, 続騰
0.0282756    1 upward         : 騰勢
0.0275513    2 increase       : 昂騰, 高騰
0.0270116    1 seething       : 沸騰
0.0259790    1 trend          : 騰勢
0.0231432    1 reactionary    : 反騰
0.0228062    1 agitation      : 沸騰
0.0223520    1 soar           : 奔騰
0.0216846    1 fermentation   : 沸騰
0.0200041    1 excitement     : 沸騰
0.0199160    1 debate         : 沸騰
0.0194624    1 fall           : 騰落
0.0192339    1 ride           : 奔騰
0.0191439    1 boiling        : 沸騰
0.0189620    1 shooting       : 沸騰
0.0181514    1 appreciation   : 騰貴
0.0168541    1 becoming       : 沸騰
0.0159869    1 surge          : 急騰
0.0143813    1 value          : 騰貴
0.0129836    1 market         : 続騰

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1740657    8 rise
	rise WORD[ 1,   1]: 0.0328936 暴騰
	rise WORD[ 1,   2]: 0.0255331 昂騰
	rise WORD[ 1,   3]: 0.0255331 高騰
	rise WORD[ 1,   4]: 0.0249486 急騰
	rise WORD[ 1,   5]: 0.0215414 騰落
	rise WORD[ 1,   6]: 0.0156001 反騰
	rise WORD[ 1,   7]: 0.0143892 騰貴
	rise WORD[ 1,   8]: 0.0136266 続騰
TOKEN[ 2]: 0.0663873    5 price
	price WORD[ 2,   1]: 0.0150461 奔騰
	price WORD[ 2,   2]: 0.0142792 反騰
	price WORD[ 2,   3]: 0.0131709 騰貴
	price WORD[ 2,   4]: 0.0124729 続騰
	price WORD[ 2,   5]: 0.0114181 急騰
TOKEN[ 3]: 0.0586069    4 sharp
	sharp WORD[ 3,   1]: 0.0177011 暴騰
	sharp WORD[ 3,   2]: 0.0137401 昂騰
	sharp WORD[ 3,   3]: 0.0137401 高騰
	sharp WORD[ 3,   4]: 0.0134256 急騰
TOKEN[ 4]: 0.0539641    3 soaring
	soaring WORD[ 4,   1]: 0.0208561 沸騰
	soaring WORD[ 4,   2]: 0.0165540 昂騰
	soaring WORD[ 4,   3]: 0.0165540 高騰
TOKEN[ 5]: 0.0488599    3 sudden
	sudden WORD[ 5,   1]: 0.0177162 暴騰
	sudden WORD[ 5,   2]: 0.0177066 奔騰
	sudden WORD[ 5,   3]: 0.0134371 急騰
TOKEN[ 6]: 0.0413806    2 boom
	boom WORD[ 6,   1]: 0.0206959 暴騰
	boom WORD[ 6,   2]: 0.0206847 奔騰
TOKEN[ 7]: 0.0372263    1 continued
	continued WORD[ 7,   1]: 0.0372263 続騰
TOKEN[ 8]: 0.0352115    2 substantial
	substantial WORD[ 8,   1]: 0.0176058 昂騰
	substantial WORD[ 8,   2]: 0.0176057 高騰
TOKEN[ 9]: 0.0311624    2 steep
	steep WORD[ 9,   1]: 0.0155812 昂騰
	steep WORD[ 9,   2]: 0.0155812 高騰
TOKEN[10]: 0.0307601    2 jump
	jump WORD[10,   1]: 0.0174885 奔騰
	jump WORD[10,   2]: 0.0132716 急騰
TOKEN[11]: 0.0284920    2 advance
	advance WORD[11,   1]: 0.0146338 騰貴
	advance WORD[11,   2]: 0.0138582 続騰
TOKEN[12]: 0.0282756    1 upward
	upward WORD[12,   1]: 0.0282756 騰勢
TOKEN[13]: 0.0275513    2 increase
	increase WORD[13,   1]: 0.0137757 昂騰
	increase WORD[13,   2]: 0.0137756 高騰
TOKEN[14]: 0.0270116    1 seething
	seething WORD[14,   1]: 0.0270116 沸騰
TOKEN[15]: 0.0259790    1 trend
	trend WORD[15,   1]: 0.0259790 騰勢
TOKEN[16]: 0.0231432    1 reactionary
	reactionary WORD[16,   1]: 0.0231432 反騰
TOKEN[17]: 0.0228062    1 agitation
	agitation WORD[17,   1]: 0.0228062 沸騰
TOKEN[18]: 0.0223520    1 soar
	soar WORD[18,   1]: 0.0223520 奔騰
TOKEN[19]: 0.0216846    1 fermentation
	fermentation WORD[19,   1]: 0.0216846 沸騰
TOKEN[20]: 0.0200041    1 excitement
	excitement WORD[20,   1]: 0.0200041 沸騰
TOKEN[21]: 0.0199160    1 debate
	debate WORD[21,   1]: 0.0199160 沸騰
TOKEN[22]: 0.0194624    1 fall
	fall WORD[22,   1]: 0.0194624 騰落
TOKEN[23]: 0.0192339    1 ride
	ride WORD[23,   1]: 0.0192339 奔騰
TOKEN[24]: 0.0191439    1 boiling
	boiling WORD[24,   1]: 0.0191439 沸騰
TOKEN[25]: 0.0189620    1 shooting
	shooting WORD[25,   1]: 0.0189620 沸騰
TOKEN[26]: 0.0181514    1 appreciation
	appreciation WORD[26,   1]: 0.0181514 騰貴
TOKEN[27]: 0.0168541    1 becoming
	becoming WORD[27,   1]: 0.0168541 沸騰
TOKEN[28]: 0.0159869    1 surge
	surge WORD[28,   1]: 0.0159869 急騰
TOKEN[29]: 0.0143813    1 value
	value WORD[29,   1]: 0.0143813 騰貴
TOKEN[30]: 0.0129836    1 market
	market WORD[30,   1]: 0.0129836 続騰
