Summary: {Weight} {token}: {words[0:10]}
0.0482801    1 sobersided     : 謹厳
0.0396124    1 Sir            : 謹啓
0.0380505    1 hear           : 謹聴
0.0371674    1 conscientious  : 謹直
0.0356436    1 scrupulous     : 謹直
0.0346098    1 solemn         : 謹厳
0.0343706    1 stern          : 謹厳
0.0333693    1 product        : 謹製
0.0311894    1 happiness      : 謹賀
0.0290503    1 grave          : 謹厳
0.0278486    1 made           : 謹製
0.0274975    1 chaste         : 謹む
0.0274975    1 abstain        : 謹む
0.0274975    1 discreet       : 謹む
0.0270780    1 penitence      : 謹慎
0.0270630    1 reverent       : 謹む
0.0262021    1 modesty        : 謹み
0.0259201    1 moderation     : 謹む
0.0246461    1 refrain        : 謹む
0.0231962    1 respectful     : 謹話
0.0231553    1 discretion     : 謹み
0.0223164    1 selected       : 謹選
0.0212269    1 careful        : 謹む
0.0207274    1 self           : 謹慎
0.0204941    1 confinement    : 謹慎
0.0202834    1 listening      : 謹聴
0.0202401    1 discipline     : 謹慎
0.0199733    1 restraint      : 謹慎
0.0194851    1 listen         : 謹聴
0.0193402    1 produced       : 謹製
0.0189977    1 respect        : 謹告
0.0189258    1 arrest         : 謹慎
0.0185311    1 behaviour      : 謹慎
0.0175974    1 quiet          : 謹聴
0.0169390    1 quality        : 謹製
0.0162087    1 written        : 謹書
0.0159452    1 care           : 謹製
0.0152599    1 one            : 謹慎
0.0145983    1 home           : 謹慎
0.0139648    1 house          : 謹慎

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0482801    1 sobersided
	sobersided WORD[ 1,   1]: 0.0482801 謹厳
TOKEN[ 2]: 0.0396124    1 Sir
	Sir WORD[ 2,   1]: 0.0396124 謹啓
TOKEN[ 3]: 0.0380505    1 hear
	hear WORD[ 3,   1]: 0.0380505 謹聴
TOKEN[ 4]: 0.0371674    1 conscientious
	conscientious WORD[ 4,   1]: 0.0371674 謹直
TOKEN[ 5]: 0.0356436    1 scrupulous
	scrupulous WORD[ 5,   1]: 0.0356436 謹直
TOKEN[ 6]: 0.0346098    1 solemn
	solemn WORD[ 6,   1]: 0.0346098 謹厳
TOKEN[ 7]: 0.0343706    1 stern
	stern WORD[ 7,   1]: 0.0343706 謹厳
TOKEN[ 8]: 0.0333693    1 product
	product WORD[ 8,   1]: 0.0333693 謹製
TOKEN[ 9]: 0.0311894    1 happiness
	happiness WORD[ 9,   1]: 0.0311894 謹賀
TOKEN[10]: 0.0290503    1 grave
	grave WORD[10,   1]: 0.0290503 謹厳
TOKEN[11]: 0.0278486    1 made
	made WORD[11,   1]: 0.0278486 謹製
TOKEN[12]: 0.0274975    1 chaste
	chaste WORD[12,   1]: 0.0274975 謹む
TOKEN[13]: 0.0274975    1 abstain
	abstain WORD[13,   1]: 0.0274975 謹む
TOKEN[14]: 0.0274975    1 discreet
	discreet WORD[14,   1]: 0.0274975 謹む
TOKEN[15]: 0.0270780    1 penitence
	penitence WORD[15,   1]: 0.0270780 謹慎
TOKEN[16]: 0.0270630    1 reverent
	reverent WORD[16,   1]: 0.0270630 謹む
TOKEN[17]: 0.0262021    1 modesty
	modesty WORD[17,   1]: 0.0262021 謹み
TOKEN[18]: 0.0259201    1 moderation
	moderation WORD[18,   1]: 0.0259201 謹む
TOKEN[19]: 0.0246461    1 refrain
	refrain WORD[19,   1]: 0.0246461 謹む
TOKEN[20]: 0.0231962    1 respectful
	respectful WORD[20,   1]: 0.0231962 謹話
TOKEN[21]: 0.0231553    1 discretion
	discretion WORD[21,   1]: 0.0231553 謹み
TOKEN[22]: 0.0223164    1 selected
	selected WORD[22,   1]: 0.0223164 謹選
TOKEN[23]: 0.0212269    1 careful
	careful WORD[23,   1]: 0.0212269 謹む
TOKEN[24]: 0.0207274    1 self
	self WORD[24,   1]: 0.0207274 謹慎
TOKEN[25]: 0.0204941    1 confinement
	confinement WORD[25,   1]: 0.0204941 謹慎
TOKEN[26]: 0.0202834    1 listening
	listening WORD[26,   1]: 0.0202834 謹聴
TOKEN[27]: 0.0202401    1 discipline
	discipline WORD[27,   1]: 0.0202401 謹慎
TOKEN[28]: 0.0199733    1 restraint
	restraint WORD[28,   1]: 0.0199733 謹慎
TOKEN[29]: 0.0194851    1 listen
	listen WORD[29,   1]: 0.0194851 謹聴
TOKEN[30]: 0.0193402    1 produced
	produced WORD[30,   1]: 0.0193402 謹製
TOKEN[31]: 0.0189977    1 respect
	respect WORD[31,   1]: 0.0189977 謹告
TOKEN[32]: 0.0189258    1 arrest
	arrest WORD[32,   1]: 0.0189258 謹慎
TOKEN[33]: 0.0185311    1 behaviour
	behaviour WORD[33,   1]: 0.0185311 謹慎
TOKEN[34]: 0.0175974    1 quiet
	quiet WORD[34,   1]: 0.0175974 謹聴
TOKEN[35]: 0.0169390    1 quality
	quality WORD[35,   1]: 0.0169390 謹製
TOKEN[36]: 0.0162087    1 written
	written WORD[36,   1]: 0.0162087 謹書
TOKEN[37]: 0.0159452    1 care
	care WORD[37,   1]: 0.0159452 謹製
TOKEN[38]: 0.0152599    1 one
	one WORD[38,   1]: 0.0152599 謹慎
TOKEN[39]: 0.0145983    1 home
	home WORD[39,   1]: 0.0145983 謹慎
TOKEN[40]: 0.0139648    1 house
	house WORD[40,   1]: 0.0139648 謹慎
