Summary: {Weight} {token}: {words[0:10]}
0.0225367    3 yam            : 薯蕷汁, 薯蕷芋, 薯蕷
0.0169774    2 flathead       : 真鯒, 鯒
0.0167918    1 duck           : 鶩
0.0166774    1 lyricism       : 抒情
0.0166624    2 dignity        : 矜恃, 矜持
0.0166311    2 figure         : 俑, 勇姿
0.0164179    1 dynasty        : 俑
0.0155956    2 pride          : 矜恃, 矜持
0.0155464    2 domestic       : 鶩, 内務
0.0152807    2 Platycephalus  : 真鯒, 鯒
0.0130198    1 Gallinago      : 田鷸
0.0128155    2 overrunning    : 蹂躙, 蹂躪
0.0121883    1 snipe          : 田鷸
0.0116540    1 pupation       : 蛹化
0.0113216    2 tachibana      : 花橘, 橘
0.0111634    1 description    : 抒情
0.0103020    1 pupa           : 蛹
0.0103020    1 chrysalis      : 蛹
0.0100576    2 infringement   : 蹂躙, 蹂躪
0.0097213    1 soup           : 薯蕷汁
0.0093849    2 violation      : 蹂躙, 蹂躪
0.0092840    2 iniquity       : 奸譎, 姦譎
0.0084838    2 wickedness     : 奸譎, 姦譎
0.0078506   10 bucket         : 糞桶, 溜め桶, 肥桶, 空桶, 風呂桶, 水桶, 桶屋, 留桶, 手桶, 桶
0.0078304   17 water          : 懸け樋, 懸樋, 樋川, 涌き, 湧き, 水桶, 樋, 木樋, 涌く, 涌き水, ...
0.0074250    3 tanned         : 鞣し革, 鞣皮, 鞣革
0.0073654    1 inducement     : 慫慂
0.0073423   19 common         : 田鷸, 通性, 通弊, 通則, 通り言葉, 通分, 通念, 共通, 通俗, 通語, ...
0.0069851    4 leather        : 鞣し革, 鞣皮, 鞣革, 鞣す
0.0069746    2 conduit        : 懸け樋, 懸樋
0.0069258    3 form           : 霧状, 通ずる, 通じる
0.0068988    2 persuasion     : 慫慂, 懐柔
0.0064643   22 one            : 抒情, 一通, 矛先, 復誦, 揉み合う, 揉み手, 勇名, 勇退, 務まる, 踊り上がる, ...
0.0064382    4 pipe           : 懸け樋, 懸樋, 樋, 木樋
0.0064345    8 dancing        : 総踊り, 裸踊り, 手踊り, 踊り歌, 踊歌, 踊り場, 踊場, 舞踊
0.0062184    1 recommendation : 慫慂
0.0061361    7 recitation     : 記誦, 読誦, 朗誦, 口誦, 吟誦, 暗誦, 諳誦
0.0061293    1 suggestion     : 慫慂
0.0058519    1 dissimulation  : 譎詐
0.0057969    1 advice         : 慫慂
0.0057550    9 spring         : 涌泉, 湧泉, 樋川, 涌く, 湧く, 涌き水, 湧き水, 湧水, 踊り上がる
0.0056003    1 dashing        : 勇進
0.0055742    9 mist           : 霧状, 川霧, 毒霧, 夕霧, 朝霧, 狭霧, 霧消, 煙霧, 霧
0.0055182   16 dance          : 総踊り, 民踊, 踊らす, 裸踊り, 踊り明かす, 舞い踊る, 都踊り, 歌舞伎踊り, 盆踊, 盆踊り, ...
0.0053701    2 mace           : 槌矛, 鎚矛
0.0052397    3 radical        : 鞣し革, 鞣皮, 鞣革
0.0051381   10 arise          : 涌き起こる, 涌き起る, 湧き上る, 湧き起こる, 湧き起る, 涌く, 涌き上がる, 湧く, 湧きあがる, 湧き上がる
0.0049143   11 grass          : 鴨茅, 浅茅生, 白茅, 浅茅, 茅茨, 茅萱, 茅, 茅の輪, 茅ぶき, 茅葺, ...
0.0047324    7 cogon          : 浅茅生, 白茅, 浅茅, 茅茨, 茅萱, 茅, 茅の輪
0.0045451    1 tradition      : 伝誦
0.0045396    3 spear          : 瓊矛, 矛先, 矛
0.0044968    4 open           : 懸け樋, 懸樋, 通ずる, 通じる
0.0043963    1 falsehood      : 譎詐
0.0042420    1 fabrication    : 譎詐
0.0040196    4 hide           : 鞣す, 鞣し革, 鞣皮, 鞣革
0.0040093    3 suede          : 鞣し革, 鞣皮, 鞣革
0.0039834    6 gushing        : 涌泉, 湧泉, 涌き, 涌出, 湧き, 湧出
0.0039790   11 soft           : 柔らかめ, 柔肉, 柔毛, 柔かい, 柔らかい, 柔らか, 柔肌, 柔い, 柔弱, 柔, ...
0.0035867    1 blooming       : 花橘
0.0033463    2 carrying       : 糞桶, 溜め桶
0.0033419    4 boil           : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0033351    2 spray          : 霧状, 霧
0.0032713   21 pain           : 揉み返し, 圧痛, 背痛, 筋痛, 劇痛, 激痛, 鎮痛, 痛点, 痛苦, 痛覚, ...
0.0031396   14 fog            : 毒霧, 山霧, 暁霧, 海霧, 濃霧, 夜霧, 朝霧, 迷霧, 霧中, 狭霧, ...
0.0031299   14 order          : 復誦, 整序, 序次, 次序, 語序, 序, 序で, 秩序, 序列, 順序, ...
0.0030768   11 bravery        : 勇烈, 涌く, 湧く, 勇武, 武勇, 剛勇, 豪勇, 勇名, 勇気, 忠勇, ...
0.0030515    6 well           : 涌き起こる, 涌き起る, 湧き起こる, 湧き起る, 涌く, 湧く
0.0030270    1 soil           : 糞桶
0.0029571    1 grieving       : 哀痛
0.0029420    2 citrus         : 柑橘, 酢橘
0.0029098    1 troupe         : 総踊り
0.0028295    4 night          : 糞桶, 夜霧, 踊り明かす, 夜通し
0.0027457    8 preface        : 序詞, 自序, 序, 序論, 序文, 序章, 序言, 仮名序
0.0027360   12 courage        : 真勇, 勇烈, 猛勇, 沈勇, 智勇, 知勇, 大勇, 蛮勇, 勇気, 小勇, ...
0.0027324    8 charge         : 預かり人, 預け物, 預かり物, 寺務, 主務, 預ける, 預かる, 専務
0.0027006    2 bubbling       : 涌泉, 湧泉
0.0026492    3 entire         : 総踊り, 通奏, 通し
0.0026316    1 flower         : 花橘
0.0025263    3 chant          : 誦する, 朗誦, 吟誦
0.0025192    9 introduction   : 序奏, 序詞, 序, 序論, 序文, 序説, 序章, 序言, 通論
0.0025051    3 animal         : 鞣し革, 鞣皮, 鞣革
0.0025026    4 breed          : 涌かす, 湧かす, 涌く, 湧く
0.0023835    5 welling        : 涌き, 涌出, 湧き, 湧水, 湧出
0.0023573    2 gutter         : 雨樋, 樋
0.0023505    1 mass           : 総踊り
0.0023405    1 mourning       : 哀痛
0.0023318    3 sad            : 哀痛, 沈痛, 痛ましい
0.0023192    9 person         : 預かり人, 預け物, 寺務, 半可通, 主務, 債務, 目通り, 通人, 通
0.0022405    5 gush           : 涌く, 涌き出る, 湧く, 湧き出る, 湧き出す
0.0022253    5 someone        : 預かり人, 預ける, 踊らす, 見通す, 通す
0.0022231    1 bronze         : 銅矛
0.0022157    2 aloud          : 読誦, 誦する
0.0022069    2 land           : 所務, 預かり人
0.0021508    4 burst          : 涌き起こる, 涌き起る, 湧き起こる, 湧き起る
0.0021507    2 fountain       : 涌泉, 湧泉
0.0021305    1 rote           : 記誦
0.0021297    1 cloakroom      : 預かり所
0.0020645    1 phyllotaxis    : 葉序
0.0020645    1 phyllotaxy     : 葉序
0.0020622    4 crumple        : 揉み拉く, 揉みしだく, 揉み立てる, 揉む
0.0020553    1 Fortunella     : 金橘
0.0020553    1 kumquat        : 金橘
0.0020451    3 Imperata       : 白茅, 茅萱, 茅
