Summary: {Weight} {token}: {words[0:10]}
0.0200000    1 precipitous    : 嵯峨
0.0125119    3 hard           : 切瑳, 切磋, 働き蟻
0.0123300    7 itching        : 伎癢, 技癢, 掻痒, 搔痒, 瘙痒, 痒み, 痛痒
0.0105422    2 ginger         : 干姜, 生姜
0.0104888    1 testes         : 睾丸
0.0103522    1 madness        : 佯狂
0.0103061   21 group          : 集群, 羯, 群行, 層群, 一群れ, 群れ遊ぶ, 群像, 筋群, 語群, 群立ち, ...
0.0098954    2 shark          : 鱶鰭, 鱶
0.0096478    1 feigned        : 佯狂
0.0096042    2 serious        : 摯実, 真摯
0.0096035    6 soar           : 飛び翔る, 天翔ける, 天翔る, 翔る, 翔ぶ, 翔ける
0.0095112    1 testicle       : 睾丸
0.0089980    7 sacrifice      : 供犠, 生け贄, 生贄, 犠飛, 犠打, 犠牲, 贄
0.0088873    4 moss           : 水蘚, 光蘚, 蘚苔, 杉蘚
0.0087284    7 fly            : 飛び翔る, 犠飛, 犠打, 翔ぶ, 群れ飛ぶ, 翔る, 翔ける
0.0085404    3 honest         : 摯実, 律儀, 律義
0.0075573    1 stumbling      : 蹉跌
0.0073737   37 one            : 伎癢, 技癢, 切瑳, 切磋, 蟄居, 一議, 依報, 発祥, 養老, 執務, ...
0.0073632    1 fin            : 鱶鰭
0.0072557    1 whipping       : 鞭撻
0.0072303    1 muntjac        : 羌
0.0071410    1 setback        : 蹉跌
0.0069783    1 seashore       : 礒
0.0069783    1 rocky          : 礒
0.0069339   12 ant            : 蟻んこ, 山蟻, 蟻蜂, 火蟻, 蟻ん子, 赤蟻, 侍蟻, 羽蟻, 黒蟻, 働き蟻, ...
0.0068528    1 urging         : 鞭撻
0.0067835    2 show           : 伎癢, 技癢
0.0067172    3 study          : 切瑳, 切磋, 洋行
0.0066044    2 dried          : 干姜, 羊栖菜
0.0065943    2 working        : 切瑳, 切磋
0.0065089    1 ship           : 艤装
0.0060435    1 beach          : 礒
0.0059529    4 character      : 切瑳, 切磋, かん養, 涵養
0.0058915    1 encouragement  : 鞭撻
0.0056828    4 bell           : 馬鐸, 鐸, 木鐸, 風鐸
0.0056553    3 jealous        : 欣羨, 羨む, 羨ましい
0.0055808    8 itch           : 皮癬, 疥癬, 痒疹, 頑癬, 掻痒, 搔痒, 瘙痒, 痒み
0.0054108    6 made           : 羊羮, 軽羹, 羊羹, 羹, 紙縒, 紙縒り
0.0053654    3 work           : 切瑳, 切磋, 報える
0.0053514    6 Chinese        : 羯, 白澤, 羌, 鐸, 洋琴, 演義
0.0053017    1 failure        : 蹉跌
0.0051736   12 detailed       : 詳注, 詳伝, 詳密, 詳報, 詳らか, 詳録, 詳説, 詳述, 詳細, 詳言, ...
0.0051132    2 jellied        : 羊羮, 羊羹
0.0051132    2 agar           : 羊羮, 羊羹
0.0050966    1 rigging        : 艤装
0.0048926    1 incessant      : 絡繹
0.0047130    3 scapegoat      : 生け贄, 生贄, 犠牲
0.0047042   19 good           : 休祥, 僥倖, 倖せ, 恙ない, 恙無い, 幸先, 祥瑞, 瑞祥, こぼれ幸い, 零れ幸い, ...
0.0046694    1 outfit         : 艤装
0.0044745    5 twisted        : 縒り糸, 縒糸, 縒れる, 紙縒, 紙縒り
0.0043422    2 dessert        : 羊羮, 羊羹
0.0041693    1 jealousy       : 欣羨
0.0040325    3 animal         : 供犠, 白澤, 差し毛
0.0040235    1 stream         : 絡繹
0.0039831    1 constant       : 絡繹
0.0039474    5 red            : 羊羮, 羊羹, 火蟻, 赤蟻, 鮮紅
0.0039322    6 kiln           : 瓦窯, 登り窯, 土窯, 炭窯, 窯, 窯出し
0.0037904    3 victim         : 生け贄, 生贄, 犠牲
0.0037357    6 living         : 生け贄, 生贄, 犠牲, 蟄居, 群生, 群棲
0.0037251    1 equipment      : 艤装
0.0037238    1 railway        : 驛
0.0036963    1 traffic        : 絡繹
0.0035631    4 karma          : 羯磨, 依報, 正報, 業報
0.0035408    1 Muntiacus      : 羌
0.0035345    1 sacrificial    : 供犠
0.0035038    1 extreme        : 欣羨
0.0034931    6 large          : 鱶, 鐸, 群行, 大群, 群臣, 群れ集まる
0.0034605    2 anniversary    : 大祥, 小祥
0.0034406    2 bean           : 羊羮, 羊羹
0.0034171    2 sugar          : 羊羮, 羊羹
0.0034050    5 horse          : 馬鐸, 差し馬, 着差, 差し縄, 差し足
0.0034046    2 paste          : 羊羮, 羊羹
0.0033953    1 station        : 驛
0.0033622    6 species        : 蟻蜘蛛, 羌, 侍蟻, 海羊歯, 種差, 羊歯
0.0033528    8 manners        : 躾ける, 躾る, 躾, 躾け, 風儀, 行儀, 儀容, 礼儀
0.0033016    1 ethnic         : 羯
0.0032908    4 ancient        : 羯, 鮮卑, 鐸, 古儀
0.0032552   11 luck           : 僥倖, 倖せ, 不幸せ, こぼれ幸い, 零れ幸い, 僥幸, 幸せ, 幸い, 幸運, 幸, ...
0.0032424    2 ringworm       : 白癬, 頑癬
0.0032083    2 tinea          : 白癬, 頑癬
0.0031142    1 barking        : 羌
0.0029323    8 death          : 大祥, 小祥, 祥月, 祥, 不幸, 凶報, 悲報, 訃報
0.0029018    1 Zingiber       : 生姜
0.0028908    3 envy           : 羨望, 羨む, 羨み
0.0028023    4 discipline     : 躾ける, 躾る, 躾, 躾け
0.0027959    1 hibernation    : 蟄伏
0.0027878    8 fortune        : 僥倖, 倖せ, 僥幸, 幸せ, 幸い, 幸運, 幸, 果報
0.0027462    2 hapless        : 薄倖, 薄幸
0.0027383    7 omen           : 休祥, 祥瑞, 瑞祥, 祥, 吉祥, 幸先, 報せ
0.0027251    3 train          : 驛, 躾ける, 躾る
0.0026524    1 deer           : 羌
0.0025860    9 person         : 大祥, 小祥, 鮮人, 幸せ者, 祥月, 祥, 難儀, 差し向ける, 差向ける
0.0025598    1 sphagnum       : 水蘚
0.0025401    1 staging        : 驛
0.0024676    1 blaming        : 批議
0.0024624    2 unhappy        : 薄倖, 薄幸
0.0024442    2 thread         : 縒り糸, 縒糸
0.0024341    4 windfall       : 僥倖, こぼれ幸い, 零れ幸い, 僥幸
0.0023869    2 lamentation    : 嗟嘆, 嗟歎
0.0022821    1 peat           : 水蘚
0.0022734    4 accident       : 恙む, 恙ない, 恙無い, 不幸
0.0022693    1 lion           : 白澤
0.0022427    3 twist          : 縒り合わせる, 縒る, 縒り
0.0022362    2 unfortunate    : 薄倖, 薄幸
0.0022271    1 bryophyte      : 蘚苔
0.0021874    1 mythical       : 白澤
0.0021761   13 sheep          : 羊乳, 羊群, 群羊, 牡羊, 雄羊, 羊皮, 羊腸, めん羊, 綿羊, 緬羊, ...
0.0021712   26 report         : 詳報, 別報, 市報, 有報, 誤報, 飛報, 一報, 年報, 週報, 既報, ...
0.0021621    1 antipruritic   : 痒み止め
0.0021492    2 admiration     : 嗟嘆, 嗟歎
0.0021458    1 copious        : 詳注
0.0021197    1 earnest        : 真摯
0.0021138    1 highway        : 驛
0.0021112    1 yeah           : 嗟
0.0020972   16 conference     : 諮議, 公議, 和議, 密議, 内議, 一議, 謀議, 評議, 党議, 談議, ...
0.0020891    3 city           : 金澤, 市報, 市議
0.0020882    5 bright         : 鮮緑, 鮮麗, 鮮紅, 鮮か, 鮮やか
0.0020854    2 impolite       : 不躾, 無躾
0.0020854    1 bog            : 水蘚
0.0020720    2 godsend        : 僥倖, 僥幸
0.0020337    3 itchy          : むず痒い, 痛痒い, 痒い
0.0020077    3 yarn           : 縒る, 縒り糸, 縒糸
0.0019902    9 happiness      : 倖せ, 多祥, 清祥, 多幸, 幸せ, 幸い, 幸福, 幸, 果報
0.0019874    2 offering       : 速贄, 贄
0.0019778    1 bun            : 軽羹
0.0019727    1 yam            : 軽羹
0.0019678    2 commentary     : 詳注, 釈義
0.0019674    2 praise         : 嗟嘆, 嗟歎
0.0019584    1 luminous       : 光蘚
0.0019526    3 home           : 蟄伏, 特養, 報える
0.0019471    1 eight          : 白澤
0.0019292    2 envious        : 羨む, 羨ましい
0.0019043    2 insolent       : 不躾, 無躾
0.0018933    6 vivid          : 色鮮やか, 鮮麗, 鮮烈, 鮮明, 鮮か, 鮮やか
0.0018762    1 later          : 速贄
0.0018750    2 scabies        : 皮癬, 疥癬
0.0018734    1 able           : 白澤
0.0018601    1 bus            : 驛
0.0018535    1 understand     : 白澤
0.0018176    2 impudent       : 不躾, 無躾
0.0018068    1 speech         : 白澤
0.0017981    2 rude           : 不躾, 無躾
0.0017953    1 human          : 白澤
0.0017939    1 prey           : 速贄
0.0017719    2 blunt          : 不躾, 無躾
0.0017699    6 goat           : 山羊乳, 子山羊, 小山羊, 山羊, 野羊, 羚羊
0.0017645    1 scalp          : 白癬
0.0017623    2 counter        : 驛, 差
0.0017583    2 mange          : 皮癬, 疥癬
0.0017570    6 Japan          : 驛, 日鮮, 洋銀, 洋学, 東洋, 和洋
0.0017417    3 post           : 驛, 差し歯, 差歯
0.0017335    1 flour          : 軽羹
0.0017310    1 medication     : 痒み止め
0.0017089    4 place          : 蟄伏, 窯元, 差し違える, 差違える
0.0017080    9 consultation   : 諮議, 内議, 談議, 商議, 合議, 凝議, 協議, 回議, 談義
0.0016880    4 body           : 白澤, 正報, 報身, 落差
0.0016779   15 ceremony       : 秘儀, 大儀, 盛儀, 婚儀, 儀典, 儀じょう, 儀仗, 神幸, 執り行なう, 執り行う, ...
0.0016622    1 jock           : 頑癬
0.0016440    1 hourglass      : 羯鼓
0.0016339    1 consumption    : 速贄
0.0016178    2 wind           : 風鐸, 鐸
0.0015854    1 spider         : 蟻蜘蛛
0.0015782    3 japonica       : 蟻蜘蛛, 海羊歯, 羊歯
0.0015764    1 intertwine     : 縒り合わせる
0.0015338    1 sweet          : 軽羹
0.0015326    1 mite           : 恙虫
0.0015324    2 teach          : 躾ける, 躾る
0.0015150    2 twine          : 縒り糸, 縒糸
0.0015100   10 flock          : 群鴉, 群羊, 羊群, 一群れ, 群雀, 鶏群, 群れる, 群れ, 大群, 一群
0.0014901    5 emperor        : 贄, 恩幸, 遷幸, 発祥, 臨幸
0.0014479    2 twisting       : 縒り糸, 縒糸
0.0014391    5 health         : 恙ない, 恙無い, 清祥, 養生, 保養
0.0014327   22 meaning        : 別儀, 義訓, 句義, 古義, 別義, 両義, 転義, 義解, 字義, 本義, ...
0.0014323    2 furnace        : 官窯, 窯
0.0014319    8 explanation    : 詳論, 詳説, 詳述, 詳言, 詳解, 義解, 釈義, 正義
0.0014199    2 clapper        : 木鐸, 鐸
0.0014180    1 lichen         : 苔癬
0.0014113    1 Nephrolepis    : 玉羊歯
0.0014078    3 brilliant      : 色鮮やか, 鮮か, 鮮やか
0.0013601    1 sticks         : 羯鼓
0.0013583    1 groin          : 頑癬
0.0013528    2 teaching       : 躾, 躾け
0.0013510    1 season         : 速贄
0.0013336    2 safe           : 恙ない, 恙無い
0.0013336    1 drug           : 痒み止め
0.0013148    5 training       : 躾, 躾け, 修養, 養成, 素養
0.0013116    2 milk           : 山羊乳, 羊乳
0.0013114    1 second         : 大祥
0.0013016    1 tile           : 瓦窯
0.0012965    5 minute         : 詳密, 詳細, 詳記, 詳しい, 微差
0.0012847    1 green          : 鮮緑
0.0012846    1 tuberous       : 玉羊歯
0.0012759    1 deductive      : 演繹
0.0012746    1 drum           : 羯鼓
0.0012705    1 governmental   : 官窯
0.0012630    2 speculation    : 射倖, 射幸
0.0012567    1 awakening      : 啓蟄
0.0012476    7 foreign        : 洋もく, 洋モク, 外報, 洋種, 洋式, 洋犬, 洋
0.0012470    1 enviable       : 羨ましい
0.0012436    4 house          : 蟄居, 洋館, 議院, 差配
0.0012324    1 rice           : 軽羹
0.0012234    2 first          : 速贄, 一報
0.0012134   23 news           : 虚報, 雑報, 凶報, 外報, 悲報, 朗報, 報道, 敗報, 勝報, 捷報, ...
0.0012071    3 pottery        : 登り窯, 窯場, 窯元
0.0011971    1 sides          : 羯鼓
0.0011922    1 bunt           : 犠打
0.0011812    9 foster         : 養い親, 養い育てる, 養母, 養親, 養女, 養父, 養う, 義母, 義父
0.0011796    1 instant        : 咄嗟
0.0011723    1 huh            : 嗟
0.0011670    2 blessing       : 倖せ, 幸せ
0.0011451    1 Solenopsis     : 火蟻
0.0011302    2 free           : 恙ない, 恙無い
0.0011275    1 porcelain      : 官窯
0.0011231    1 velvet         : 蟻蜂
0.0011210    4 deduction      : 演繹, 差し引き, 差引, 差引き
0.0011163    1 yo             : 嗟
0.0011116    1 March          : 啓蟄
0.0011078    1 ah             : 嗟
0.0010854    1 alas           : 嗟
0.0010854    1 hey            : 嗟
0.0010800    1 jigger         : 恙虫
0.0010737    4 hinder         : 恙む, 差し障る, 差し支える, 差支える
0.0010728   18 discussion     : 詳論, 談議, 談義, 一議, 論議, 物議, 付議, 附議, 評議, 討議, ...
0.0010612    4 used           : 羯鼓, 洋字, 義太夫, 差
0.0010594    2 bronze         : 風鐸, 銅鐸
0.0010562    1 ailment        : 微恙
0.0010562    1 indisposition  : 微恙
0.0010512    1 colorful       : 色鮮やか
0.0010458    1 reasoning      : 演繹
0.0010425    1 resentment     : 怨嗟
0.0010409    1 yes            : 嗟
0.0010392    4 disaster       : 恙む, 不幸, 義捐, 義援
0.0010369    1 parrot         : 洋鵡
0.0010317    1 solar          : 啓蟄
0.0010304    9 fresh          : 鮮肉, 鮮血, 鮮魚, 生鮮, 新鮮, 鮮か, 鮮やか, 水差, 水差し
0.0010230    2 seclusion      : 蟄居, 離群
0.0010202    1 radiant        : 色鮮やか
0.0010124    9 bulletin       : 学報, 市報, 週報, 局報, 彙報, 通報, 速報, 公報, 会報
0.0009871    2 fern           : 玉羊歯, 羊歯
0.0009866    2 unidentified   : 未詳, 不詳
0.0009841    5 clear          : 鮮鋭, 詳らか, 鮮明, 鮮か, 鮮やか
0.0009831    1 chigger        : 恙虫
0.0009773    6 public         : 木鐸, 公議, 公儀, 物議, 広報, 弘報
0.0009735    1 moment         : 咄嗟
0.0009626    2 correct        : 嗟, 正義
0.0009547    8 come           : 啓蟄, 翔ぶ, 幸先, 根差す, 差す, 差しかかる, 差し掛かる, 差し掛る
0.0009471    6 fish           : 羹, 鮮魚, 畜養, 蓄養, 養魚, 魚群
0.0009452    3 mountain       : 群山, 山幸, 群峰
0.0009423    1 struck         : 恙む
0.0009409    3 said           : 啓蟄, 差し詰め, 差詰め
0.0009360    2 string         : 紙縒, 紙縒り
0.0009331    3 mediate        : 執り持つ, 執りなす, 執り成す
0.0009212    1 colored        : 色鮮やか
