Summary: {Weight} {token}: {words[0:10]}
0.0092447    2 corner         : 眦, 眥
0.0090419    5 spoon          : 匕箸, 石匙, 匙, 匕, 蓮花
0.0086406    2 musk           : 麝香, 泥亀
0.0084221    6 eye            : 眦, 眥, 眼脂, 目脂, 見比べる, 目指す
0.0082895   10 mountain       : 山巓, 山麓, 麓, 山砦, 山顚, 山姥, 赤鰭, 山紫陽花, 北壁, 背
0.0058722    1 blaming        : 批議
0.0057522    2 summit         : 山巓, 山顚
0.0056943    1 conifer        : 椛
0.0055727    2 beak           : 觜, 嘴
0.0052130    5 black          : 驪竜, 褐, 黒髭, 褐色, 烏蛇
0.0050900    4 deer           : 麋, 麈尾, 牝鹿, 雌鹿
0.0050180   25 used           : 獲麟, 佗言, 糀, 鉈, 大鉈, 喝, 比興, 竹篦, 漉し袋, 鮨飯, ...
0.0048616   20 Chinese        : 麒麟, 豼貅, 貔貅, 楷, 蓍萩, 蓍, 楷書, 蛇頭, 北狄, 紫雲英, ...
0.0048221    1 toucan         : 大嘴
0.0046977    1 dragon         : 驪竜
0.0045985    2 massacre       : 鏖殺, 皆殺し
0.0045218    2 castor         : 蓖麻子, 蓖麻
0.0044659   85 one            : 獲麟, 先妣, 握り屁, 考妣, 一死, 動顚, 薫化, 嘗めまわす, 嘗め回す, 竹篦, ...
0.0044108   20 species        : 椛, 昆布, 漉油, 野老葛, 紫海苔, 蛇蜻蛉, 紫ウニ, 紫海胆, 紫貝, 大紫, ...
0.0043373    1 extermination  : 鏖殺
0.0041311    2 sticks         : 蓍, 双節棍
0.0040746    2 closeness      : 昵近, 昵懇
0.0038275    2 bill           : 觜, 嘴
0.0036840    3 deceased       : 皇妣, 考妣, 死者
0.0036658   23 female         : 牝鹿, 牝狐, 牝猫, 牝犬, 比丘尼, 牝牡, 牝鶏, 雌豚, 牝, 雌木, ...
0.0036223    3 arsenic        : 砒石, 砒酸, 砒素
0.0036218    2 lute           : 琵琶, 封泥
0.0036051    2 familiarity    : 昵近, 昵懇
0.0035915    1 pouring        : 滂沱
0.0035913    1 publisher      : 偕成
0.0035472    3 tongue         : 菎蒻, 嘗めまわす, 嘗め回す
0.0034007    1 biwa           : 琵琶
0.0033394    1 devil          : 菎蒻
0.0031692    1 beseeching     : 請謁
0.0031299   33 Japanese       : 琵琶, 枇杷, 青蛇, 花の木, 雌松, 庇髪, 泥柳, 庇, 雪靴, 邦貨, ...
0.0031056    1 bashful        : 忸怩
0.0030993    2 dosa           : 瞋, 瞋恚
0.0030906    1 Lao            : 老子
0.0030760    8 bean           : 蓖麻子, 鉈豆, 漉し餡, 漉餡, 西比利亜, 花豆, うの花, 卯の花
0.0030751    3 tail           : 麈尾, 驥尾, 尾鰭
0.0029355    2 ferocious      : 貔貅, 豼貅
0.0029082    1 camel          : 駱駝
0.0029022    3 legendary      : 貔貅, 豼貅, 棄老
0.0028672    1 shameful       : 忸怩
0.0028058    7 trifling       : 纔か, 麁品, 些々, 些些, 些少, 些末, 些細
0.0027984    4 harmony        : 諧和, 和諧, 諧調, 諧声
0.0027933   18 rice           : 糀, 石匙, 鮎鮨, 紫御飯, 鮨飯, 新嘗, 押し鮨, 押鮨, 散らし鮨, 鮨, ...
0.0027887    6 bit            : 纔, 些, 些と, 些とも, 些か, 塵
0.0027881    9 audience       : 請謁, 面謁, 謁, 謁する, 謁える, 拝謁, 内謁, 謁見, 花道
0.0027799   81 old            : 偕老, 老い耄れ, 古靴, 姥捨, 姥捨て, 姥, 老婦, 古疵, 年頃, 老頭, ...
