Summary: {Weight} {token}: {words[0:10]}
0.0165147    3 brick          : 甎, 磚茶, 磚
0.0130277    9 coil           : 塒, まつわり付く, じゃれ付く, 戯れ付く, 絡み付く, まとわり付く, 纏わり付く, 巻き付ける, 巻付ける
0.0129870    1 bothersome     : 縟礼
0.0129870    1 musk           : 麝香
0.0096342    2 forearm        : 下膊, 前膊
0.0083315    1 laurel         : 椨
0.0074613   29 used           : 甎, 磚, 符籙, 柳樽, 産褥, 寿司酢, 対自, 博多, 寿司飯, 布団, ...
0.0070739   10 prayer         : 晩禱, 晩祷, 黙禱, 黙祷, 祈禱, 禱る, 祈祷, 祷る, 祷り, 加持
0.0066956    3 species        : 椨, 蕁麻, 侍蟻
0.0060333    1 knotty         : 節榑
0.0058076  172 one            : 專門, 腑抜ける, 対峙, 監寺, 寿く, 這い蹲う, 片肘, 食い縛る, 這い蹲る, 肘枕, ...
0.0057391    2 gossip         : 噂話, 噂
0.0054150   10 lieutenant     : 三尉, ３尉, 二尉, ２尉, 一尉, １尉, 中尉, 大尉, 空尉, 少尉
0.0053506    2 vespers        : 晩禱, 晩祷
0.0044250   47 village        : 村法, 村邑, 市区町村名, 村費, 廃村, 村掟, 隣村, 村内, 村有, 貧村, ...
0.0040706    1 Urtica         : 蕁麻
0.0039577    2 twitter        : 囀る, 囀り
0.0039085    5 tea            : 磚茶, 団茶, 待ち合い, 待合, 待合い
0.0038540    8 sowing         : 秋蒔き, 麦蒔き, 早蒔き, 春蒔き, 蒔き付け, 種蒔, 種蒔き, 遅蒔き
0.0038148    8 elbow          : 肘当て, 片肘, 肘掛, 肘掛け, 右肘, 肘枕, 肘打ち, 肘
0.0038048    4 wood           : 節榑, 割り符, 割符, 付木
0.0037488    5 fistula        : 痔ろう, 痔瘻, 切れ痔, 切痔, 裂痔
0.0035819    1 nettle         : 蕁麻
0.0035396    4 crucian        : 寒鮒, 鮒寿司, 源五郎鮒, 鮒
0.0035041    2 evening        : 晩禱, 晩祷
0.0034856    2 tree           : 節榑, 木守り
0.0034851   52 person         : でぶ専, 尋ね人, 尋ね者, 遵う, 化導, 腑抜け, 慰み者, 闘わす, 木守, 轍鮒, ...
0.0034696    1 stinging       : 蕁麻
0.0034506   34 temple         : 監寺, 入寺, 私寺, 寺中, 廃寺, 寺入り, 神宮寺, 寺務, 僧寺, 本寺, ...
0.0033539    3 mealtime       : ご飯時, 飯時, 食時
0.0033487    7 water          : 蓴菜, 酎ハイ, 水腐れ, 封水, 導水, 軍持, 薄める
0.0033266    5 anal           : 痔ろう, 痔瘻, 切れ痔, 切痔, 裂痔
0.0031989    3 lettuce        : 石蓴, 地縛, 地縛り
0.0031843   11 disgrace       : 辱, 国辱, 凌辱, 陵辱, 辱しめる, 辱める, 辱しめ, 辱め, 恥辱, 屈辱, ...
0.0031688    1 puerpera       : 褥婦
0.0031685    2 chirp          : 囀る, 囀り
0.0031272    4 carp           : 寒鮒, 鮒寿司, 源五郎鮒, 鮒
0.0029620    1 electroforming : 電鋳
0.0029519   82 someone        : 忖度, かばん持ち, カバン持ち, 鞄持ち, 肘鉄, 様付け, 慰問, 持たせる, 口封じ, 尊書, ...
0.0028995    4 mattress       : 蓐, 褥, 布団, 蒲団
0.0028881    1 Brasenia       : 蓴菜
0.0028616    1 chaser         : でぶ専
0.0028616    1 overweight     : でぶ専
0.0028533    4 cushion        : 蓐, 褥, 布団, 蒲団
0.0028043   64 special        : 專門, 特快, 特管, 特融, 特学, 特講, 特上, 特等, 特命, 特区, ...
0.0027871    1 highball       : 酎ハイ
0.0027754    8 gambling       : 博才, 手慰み, 博戯, 搏つ, 博奕, 博打, 賭博, 寺銭
0.0027684    7 shame          : 辱, 栄辱, 辱しめる, 辱める, 辱しめ, 辱め, 恥辱
0.0027498    1 Ulva           : 石蓴
0.0027407   10 thanks         : 謝々, 謝謝, 拝謝, 多謝, 謝金, 万謝, 謝辞, 謝意, 感謝, 一寸
0.0027048    5 standing       : 対峙, 射場, 侍, 待機, 固持
0.0026949    1 embarrassment  : 辱
0.0026901    4 tutor          : 傅, 師傅, 侍講, 侍読
0.0026804    1 chubby         : でぶ専
0.0026264    5 Oncorhynchus   : 国鱒, 桜鱒, 紅鱒, 姫鱒, 虹鱒
0.0025780    2 pillow         : 蓐, 褥
0.0025462    1 rustling       : 松涛
0.0024862    1 needles        : 松涛
0.0024525    1 cocktail       : 酎ハイ
0.0024415    3 professional   : 幇間, 博打, 付け出し
0.0024273    1 midwinter      : 寒鮒
0.0023884    4 arm            : 上膊, 肘当て, 肘枕, 押っ付け
0.0023511   21 Japanese       : 国鱒, 焼酎, 蹲い, 蹲, 団扇海老, 源五郎鮒, 射干, 詩歌, 布団, 蒲団, ...
0.0022957    4 cask           : 樽酒, 樽柿, 酒樽, 樽
0.0022915    3 tonic          : 酎ハイ, 気付, 気付け
0.0022269    1 shield         : 蓴菜
0.0022024    8 given          : 褥婦, 食封, 封戸, 割り符, 割符, 手討ち, 附く, 付く
0.0022002    9 wind           : 松涛, 時津風, 耐風, 風待ち, 勘付く, 感付く, 嗅ぎ付ける, 巻き付ける, 巻付ける
0.0021542    2 subspecies     : 国鱒, 煮頃鮒
0.0021486    2 sockeye        : 国鱒, 紅鱒
0.0021228    4 salmon         : 国鱒, 桜鱒, 紅鱒, 姫鱒
0.0020825   14 grade          : 一尉, １尉, 特等, 中等, 中尉, 一等, 品等, 特級, 等位, 下等, ...
0.0020822    5 observance     : 遵行, 遵法, 遵守, 順守, 厳守
0.0020563    7 sound          : 松涛, 搏つ, 声符, 附け, 付け, 聞き付ける, 聞付ける
0.0020503    1 servility      : 忖度
0.0020457    3 bleeding       : 切れ痔, 切痔, 裂痔
0.0020369    3 thank          : 謝々, 謝謝, 謝する
0.0020130    4 register       : 公簿, 名簿, 原簿, 帳簿
0.0020009    7 second         : 太傅, 三尉, ３尉, 少尉, 中等, 対称, 瞬時
0.0019534    1 pine           : 松涛
0.0019460    8 woman          : 褥婦, 産褥, 鋳掛, 鋳掛け, ひも付き, 紐付, 紐付き, 引っ付く
0.0019228    1 deference      : 忖度
0.0019093    1 warble         : 囀り
0.0019011    6 grace          : 祈禱, 禱る, 祈祷, 祷る, 取り得, 取得
0.0018993   10 apology        : ひた謝り, 直謝り, 平謝り, 謝状, 陳謝, 多謝, 深謝, 謝辞, 謝罪, 謝り
0.0018864    4 barrel         : 柳樽, 酒樽, 樽, 空き樽
0.0018848    1 embezzlement   : 横奪
0.0018761   19 face           : 俯せ, 俯ける, 俯す, 俯け, 俯向け, 俯き, 忍辱, 恵比寿顔, 対論, 対う, ...
0.0018741    2 sickbed        : 病蓐, 病褥
0.0018712    2 birth          : 褥婦, 生まれ付き
0.0018677    3 rumor          : 噂, ばら蒔く, 散蒔く
0.0018600   24 poetry         : 楽府, 詩友, 詩業, 唐詩, 英詩, 詩論, 詩史, 詩歌, 名詩, 詩風, ...
0.0018585    3 piles          : いぼ痔, 疣痔, 痔
0.0018584    4 captain        : 一尉, １尉, 空尉, 大尉
0.0018453    1 caught         : 寒鮒
0.0018415    3 crouch         : 蹲う, 蹲踞, 蹲る
0.0018279    1 misappropriation: 横奪
0.0018195    9 talisman       : 符籙, 守り袋, 御符, 護符, 守り札, 守札, 符, 守り, 守
0.0018135    2 Taoist         : 符籙, 導引
0.0018108    7 size           : 等倍, 八尋, 実寸, 外寸, 得用, 原寸, 寸法
0.0018064   27 period         : 村法, 産褥, 遠侍, 官寺, 私寺, 狩衣, 村高, 守宮, 村掟, 縛り, ...
0.0018012    2 bedsore        : 蓐瘡, 褥瘡
0.0017880    1 soar           : 峙つ
0.0017769   18 paper          : 熨斗紙, 熨斗袋, 熨斗, 守り袋, 割り符, 割符, 守り札, 守札, 薄様, 薄葉, ...
0.0017674   25 letter         : 封状, 寸簡, 謝状, 尊書, 尊簡, 尊翰, 附け, 一封, 別封, 封入, ...
0.0017430    1 hearsay        : 噂
0.0017273    1 buffoon        : 幇間
0.0016925    8 priest         : 監寺, 僧寺, 導師, 詩僧, 入寺, 報謝, 監守, 住持
0.0016898    7 people         : でぶ専, 特養, 三尊, 引導, 応対, 応待, 近付ける
0.0016707    4 silk           : 薄絹, 熨斗目, 薄衣, 薄物
0.0016686    1 upper          : 上膊
0.0016677    1 surmise        : 忖度
0.0016416   19 poem           : 白詩, 旧詩, 英詩, 詩稿, 長詩, 詩行, 名詩, 詩風, 訳詩, 頌詩, ...
0.0016133    4 showing        : 忖度, 導引, 封切, 封切り
0.0016021   18 equal          : 等割, 対等, 耐える, 等値, 等分, 相等, 対, 等量, 等辺, 等比, ...
0.0015862   14 book           : 簿価, 簿冊, 帳簿, 詩篇, 詩編, 詩書, 前付, 前付け, 奥付, 奥付け, ...
0.0015814    1 comedian       : 幇間
0.0015792    5 sea            : 石蓴, 鱒, 大時化, 時化る, 時化
0.0015707    9 rot            : 貴腐, 水腐れ, 尻腐れ, 腐らす, 腐蝕, 腐食, 腐朽, 腐れる, 腐る
0.0015694    3 instructor     : 傅, 導師, 博士
0.0015691    1 conjecture     : 忖度
0.0015606   27 go             : 遵う, 這い蹲う, 這い蹲る, 羽搏く, 射ぬく, 射抜く, 射貫く, 寺入り, 闘う, 狩る, ...
0.0015524    1 jester         : 幇間
0.0015413    2 tower          : 峙つ, 天守
0.0015386    6 rest           : 肘当て, 肘掛, 肘掛け, ケツ持ち, 休符, 付点
0.0015367    6 adherence      : 遵行, 遵守, 墨守, 順守, 厳守, 固持
0.0015321   16 fighting       : 闘蟋, 闘気, 熱闘, 奮闘, 闘犬, 闘鶏, 闘魚, 闘牛, 乱闘, 闘病, ...
0.0015212    5 hope           : 恃み, 禱る, 祷る, 期待, 望み薄
0.0015108   10 consideration  : 忖度, 薄謝, 検討, 対価, 特旨, 希薄, 稀薄, 気持, 気持ち, 氣持ち
0.0015050    3 sake           : 樽酒, 柳樽, 樽柿
0.0014973    1 wrapping       : 熨斗紙
0.0014816    6 common         : 噂, 尋常, 共闘, 守宮, わかち持つ, 分かち持つ
0.0014801    6 talk           : 噂, 持ち切る, 対話, 対談, 持ちきり, 持ち切り
0.0014790    1 energy         : 腑抜ける
0.0014770    5 wish           : 寿く, 禱る, 祷る, 寿ぐ, 感得
0.0014764   81 time           : 稼ぎ時, 手慰み, 慰み, 買い時, 引き時, 引時, 寸時, 時鐘, 闘い, 寸隙, ...
0.0014711    8 ground         : 寸地, 俯す, 対地, 射場, 狩り場, 狩場, へばり付く, 固持
0.0014693    6 report         : 噂, 特輯, 特集, 時報, 言い付ける, 言付ける
0.0014416    1 guess          : 忖度
0.0014411    1 squaring       : 対峙
0.0014372    5 say            : 禱る, 祷る, 謝する, 言い付ける, 言付ける
0.0014257    1 hogshead       : 大樽
0.0014231   33 thin           : 薄絹, 熨斗鮑, 熨斗, 薄雲, 薄靄, 薄層, 薄衣, 薄っぺらい, 薄焼き, 薄手, ...
0.0014213    3 protective     : 符籙, 補導, 輔導
0.0014121    5 resistance     : 耐暑, 耐風, 耐性, 耐寒, 反対
0.0014045    3 dynasty        : 太傅, 団練, 楽府
0.0014033    2 sing           : 囀る, 持ち歌
0.0013930    8 facing         : 対峙, 双対, 対い, 対面, 対戦, 対する, 対す, 相対
0.0013853    2 lose           : 腑抜ける, 腐る
0.0013707    3 senior         : 一尉, １尉, 専務
0.0013696    3 entertainer    : 幇間, 門付, 門付け
0.0013677    9 value          : 簿価, 等値, 尊ぶ, 尊む, 取り得, 対価, 等価, 取得, 時価
0.0013572    5 confrontation  : 対峙, 対立, 対陣, 対審, 対決
0.0013450    1 puncheon       : 大樽
0.0013447   16 hunting        : 兎狩り, キツネ狩り, 狐狩り, 鹿狩, 鹿狩り, 熊狩り, 猪狩, 狩り場, 狩場, 巻き狩り, ...
0.0013446    4 sealed         : 封状, 一封, 封じ手, 封書
0.0013422    3 blocking       : 待ち駒, 妨碍, 阻碍
0.0013393    1 concubine      : 侍妾
0.0013363    5 rise           : 峙つ, 持ち上がる, 持ち上る, 持上がる, 持上る
0.0013363    1 whale          : 囀り
0.0013289   24 look           : 慰め顔, 尋ねる, 俯く, 俯向く, 待ち設ける, 待設ける, まじめ腐る, 真面目腐る, 尊ぶ, 尊む, ...
0.0013168    2 inch           : 寸地, 寸土
0.0013066    1 mintage        : 鋳貨
0.0013017   11 opposite       : 対峙, 対極, 対辺, 対い, 反対, 対訳, 対坐, 対座, 対向, 対角, ...
0.0012978    1 please         : 恃む
0.0012898    3 rare           : 国鱒, すこぶる付き, 頗る付き
0.0012884    3 official       : 太傅, 公簿, 官等
0.0012864   14 poetic         : 詩業, 詩心, 詩眼, 詩情, 詩壇, 詩体, 詩趣, 詩才, 詩語, 詩型, ...
0.0012847    3 request        : 恃む, 恃み, 送り付ける
0.0012742    6 lie            : 俯す, 俯せる, 待ちかまえる, 待ち構える, 待構える, へばり付く
0.0012737    2 grovel         : 這い蹲う, 這い蹲る
0.0012721    2 prince         : 傅, 侍講
0.0012655    1 intolerance    : 不耐
0.0012645    1 steeplechase   : 障碍
0.0012516   11 samurai        : 田舎侍, 侍蟻, 遠侍, 地侍, 若侍, 侍気質, 国侍, 犬侍, 出府, 侍, ...
0.0012471    2 silent         : 黙禱, 黙祷
0.0012381    1 mistress       : 侍妾
0.0012355    1 tongue         : 囀り
0.0012254   14 hunt           : 虎狩, 虎狩り, キツネ狩り, 狐狩り, 刀狩, 刀狩り, 山狩り, 巻き狩り, 巻狩, 巻狩り, ...
0.0012185    2 basin          : 蹲い, 蹲
0.0012139   13 bind           : 搏つ, ふん縛る, 縛する, 縛り付ける, 縛りつける, 縛りあげる, 縛り上げる, 縛る, 縛める, 結わえ付ける, ...
0.0012043    2 speciality     : 專門, 専門
0.0011997   16 fight          : 闘わす, 奪い合う, 闘う, 闘い, 守戦, 闘諍, 力闘, 組み討ち, 組討ち, 闘争, ...
0.0011993    1 abetment       : 幇助
0.0011883    6 specialty      : 專門, 得意, 持ち芸, 特産, 専門, 専業
