Summary: {Weight} {token}: {words[0:10]}
0.2376881   47 evening        : 夕礼, 夕霞, 夕冷え, 夕景, 夕勤, 夕ごはん, 夕ご飯, 夕御飯, 夕立, 夕立ち, ...
0.0417066    5 supper         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯
0.0360559   10 dusk           : 夕やみ, 夕闇, 夕蝉, 夕蟬, 夕景, 夕ぐれ, 夕暮, 夕暮れ, 夕がた, 夕方
0.0357987    6 dinner         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0302373    6 meal           : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0280643    1 Korean         : 秋夕
0.0279838    7 twilight       : 夕空, 夕やみ, 夕闇, 夕まぐれ, 夕ぐれ, 夕暮, 夕暮れ
0.0234500    1 assembly       : 夕礼
0.0230661    4 sunset         : 夕雲, 夕焼, 夕焼け, 夕映え
0.0221921    3 cool           : 夕冷え, 夕涼み, 夕涼
0.0217923    3 mist           : 夕霞, 夕靄, 夕霧
0.0202560    4 sun            : 夕影, 夕日, 夕陽, 夕景
0.0201520    3 Star           : 七夕祭, 七夕祭り, 七夕
0.0191021    3 August         : 七夕祭, 七夕祭り, 七夕
0.0190469    3 July           : 七夕祭, 七夕祭り, 七夕
0.0175621    1 celebrated     : 秋夕
0.0166530    1 company        : 夕礼
0.0160803    2 shower         : 夕立, 夕立ち
0.0155374    2 breeze         : 夕霞, 夕風
0.0133362    1 calendar       : 秋夕
0.0131031    1 lunar          : 秋夕
0.0129222    2 day            : 秋夕, 旦夕
0.0128801    1 shaku          : 夕
0.0120781    4 setting        : 夕景, 夕影, 夕日, 夕陽
0.0118522    1 month          : 秋夕
0.0109437    1 sky            : 夕空
0.0100392    3 glow           : 夕映え, 夕焼, 夕焼け
0.0098318    1 chill          : 夕冷え
0.0093995    1 unit           : 夕
0.0091837    1 shift          : 夕勤
0.0087929    2 cicada         : 夕蝉, 夕蟬
0.0084745    2 afternoon      : 夕立, 夕立ち
0.0084470    4 night          : 旦夕, 昨夕, 夕べ, 朝夕
0.0082760    1 traditional    : 夕
0.0081938    3 light          : 夕景, 夕影, 夕明り
0.0076613    3 morning        : 朝夕, 旦夕, 朝な夕な
0.0074991    2 singing        : 夕蝉, 夕蟬
0.0074699    2 tide           : 夕汐, 夕潮
0.0074525    2 afterglow      : 夕焼, 夕焼け
0.0070822    2 sudden         : 夕立, 夕立ち
0.0069827    1 haze           : 夕靄
0.0069551    2 yesterday      : 昨夕, 夕べ
0.0066119    2 summer         : 夕立, 夕立ち
0.0065390    2 heavy          : 夕立, 夕立ち
0.0058624    1 moon           : 夕月
0.0054821    1 cloud          : 夕雲
0.0051687    1 volume         : 夕
0.0048375    1 square         : 夕
0.0045640    2 last           : 昨夕, 夕べ
0.0043456    1 lit            : 夕影
0.0041092    2 red            : 夕焼, 夕焼け
0.0040601    1 landscape      : 夕景
0.0040525    1 area           : 夕
0.0039019    1 moonflower     : 夕顔
0.0038132    1 brink          : 旦夕
0.0037230    1 Lagenaria      : 夕顔
0.0037169    1 hour           : 夕刻
0.0036010    1 scene          : 夕景
0.0035891    1 calm           : 夕凪
0.0034802    1 calabash       : 夕顔
0.0034802    1 alba           : 夕顔
0.0033863    1 figure         : 夕影
0.0032554    1 Ipomoea        : 夕顔
0.0031351    1 clear          : 夕晴れ
0.0029309    1 gourd          : 夕顔
0.0027455    1 tonight        : 今夕
0.0026294    1 daily          : 夕菅
0.0026189    1 bottle         : 夕顔
0.0019369    1 paper          : 夕刊
0.0011409    1 one            : 一夕

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2376881   47 evening
	evening WORD[ 1,   1]: 0.0198303 夕礼
	evening WORD[ 1,   2]: 0.0157069 夕霞
	evening WORD[ 1,   3]: 0.0151067 夕冷え
	evening WORD[ 1,   4]: 0.0103450 夕景
	evening WORD[ 1,   5]: 0.0084595 夕勤
	evening WORD[ 1,   6]: 0.0076746 夕ごはん
	evening WORD[ 1,   7]: 0.0076746 夕ご飯
	evening WORD[ 1,   8]: 0.0076745 夕御飯
	evening WORD[ 1,   9]: 0.0068995 夕立
	evening WORD[ 1,  10]: 0.0068995 夕立ち
	evening WORD[ 1,  11]: 0.0068990 夕涼み
	evening WORD[ 1,  12]: 0.0068989 夕涼
	evening WORD[ 1,  13]: 0.0068970 夕刻
	evening WORD[ 1,  14]: 0.0058581 夕月
	evening WORD[ 1,  15]: 0.0054352 夕靄
	evening WORD[ 1,  16]: 0.0054351 夕空
	evening WORD[ 1,  17]: 0.0052984 夕霧
	evening WORD[ 1,  18]: 0.0051662 夕風
	evening WORD[ 1,  19]: 0.0051550 夕雲
	evening WORD[ 1,  20]: 0.0048804 夕べ
	evening WORD[ 1,  21]: 0.0034501 夕まぐれ
	evening WORD[ 1,  22]: 0.0034499 夕晴れ
	evening WORD[ 1,  23]: 0.0034499 夕凪
	evening WORD[ 1,  24]: 0.0034488 夕汐
	evening WORD[ 1,  25]: 0.0034488 夕潮
	evening WORD[ 1,  26]: 0.0034483 夕餉
	evening WORD[ 1,  27]: 0.0034480 夕影
	evening WORD[ 1,  28]: 0.0034471 夕明り
	evening WORD[ 1,  29]: 0.0033316 毎夕
	evening WORD[ 1,  30]: 0.0029681 旦夕
	evening WORD[ 1,  31]: 0.0027977 昨夕
	evening WORD[ 1,  32]: 0.0025971 一夕
	evening WORD[ 1,  33]: 0.0024403 夕焼
	evening WORD[ 1,  34]: 0.0024403 夕焼け
	evening WORD[ 1,  35]: 0.0024401 夕日
	evening WORD[ 1,  36]: 0.0024401 夕陽
	evening WORD[ 1,  37]: 0.0024401 夕飯
	evening WORD[ 1,  38]: 0.0024390 夕食
	evening WORD[ 1,  39]: 0.0024386 夕ぐれ
	evening WORD[ 1,  40]: 0.0024386 夕暮
	evening WORD[ 1,  41]: 0.0024386 夕暮れ
	evening WORD[ 1,  42]: 0.0024382 夕がた
	evening WORD[ 1,  43]: 0.0024382 夕方
	evening WORD[ 1,  44]: 0.0024381 夕刊
	evening WORD[ 1,  45]: 0.0017980 今夕
	evening WORD[ 1,  46]: 0.0015701 朝夕
	evening WORD[ 1,  47]: 0.0015698 朝な夕な
TOKEN[ 2]: 0.0417066    5 supper
	supper WORD[ 2,   1]: 0.0110709 夕ごはん
	supper WORD[ 2,   2]: 0.0110708 夕ご飯
	supper WORD[ 2,   3]: 0.0110708 夕御飯
	supper WORD[ 2,   4]: 0.0049743 夕餉
	supper WORD[ 2,   5]: 0.0035199 夕飯
TOKEN[ 3]: 0.0360559   10 dusk
	dusk WORD[ 3,   1]: 0.0042255 夕やみ
	dusk WORD[ 3,   2]: 0.0042255 夕闇
	dusk WORD[ 3,   3]: 0.0042249 夕蝉
	dusk WORD[ 3,   4]: 0.0042249 夕蟬
	dusk WORD[ 3,   5]: 0.0042233 夕景
	dusk WORD[ 3,   6]: 0.0029866 夕ぐれ
	dusk WORD[ 3,   7]: 0.0029866 夕暮
	dusk WORD[ 3,   8]: 0.0029866 夕暮れ
	dusk WORD[ 3,   9]: 0.0029861 夕がた
	dusk WORD[ 3,  10]: 0.0029861 夕方
TOKEN[ 4]: 0.0357987    6 dinner
	dinner WORD[ 4,   1]: 0.0087634 夕ごはん
	dinner WORD[ 4,   2]: 0.0087633 夕ご飯
	dinner WORD[ 4,   3]: 0.0087633 夕御飯
	dinner WORD[ 4,   4]: 0.0039375 夕餉
	dinner WORD[ 4,   5]: 0.0027863 夕飯
	dinner WORD[ 4,   6]: 0.0027850 夕食
TOKEN[ 5]: 0.0302373    6 meal
	meal WORD[ 5,   1]: 0.0074020 夕ごはん
	meal WORD[ 5,   2]: 0.0074019 夕ご飯
	meal WORD[ 5,   3]: 0.0074019 夕御飯
	meal WORD[ 5,   4]: 0.0033258 夕餉
	meal WORD[ 5,   5]: 0.0023534 夕飯
	meal WORD[ 5,   6]: 0.0023524 夕食
TOKEN[ 6]: 0.0280643    1 Korean
	Korean WORD[ 6,   1]: 0.0140322 秋夕
TOKEN[ 7]: 0.0279838    7 twilight
	twilight WORD[ 7,   1]: 0.0065839 夕空
	twilight WORD[ 7,   2]: 0.0041793 夕やみ
	twilight WORD[ 7,   3]: 0.0041793 夕闇
	twilight WORD[ 7,   4]: 0.0041793 夕まぐれ
	twilight WORD[ 7,   5]: 0.0029540 夕ぐれ
	twilight WORD[ 7,   6]: 0.0029540 夕暮
	twilight WORD[ 7,   7]: 0.0029540 夕暮れ
TOKEN[ 8]: 0.0234500    1 assembly
	assembly WORD[ 8,   1]: 0.0234500 夕礼
TOKEN[ 9]: 0.0230661    4 sunset
	sunset WORD[ 9,   1]: 0.0064742 夕雲
	sunset WORD[ 9,   2]: 0.0061296 夕焼
	sunset WORD[ 9,   3]: 0.0061296 夕焼け
	sunset WORD[ 9,   4]: 0.0043328 夕映え
TOKEN[10]: 0.0221921    3 cool
	cool WORD[10,   1]: 0.0078508 夕冷え
	cool WORD[10,   2]: 0.0071706 夕涼み
	cool WORD[10,   3]: 0.0071706 夕涼
TOKEN[11]: 0.0217923    3 mist
	mist WORD[11,   1]: 0.0092078 夕霞
	mist WORD[11,   2]: 0.0063724 夕靄
	mist WORD[11,   3]: 0.0062121 夕霧
TOKEN[12]: 0.0202560    4 sun
	sun WORD[12,   1]: 0.0069478 夕影
	sun WORD[12,   2]: 0.0049169 夕日
	sun WORD[12,   3]: 0.0049169 夕陽
	sun WORD[12,   4]: 0.0034743 夕景
TOKEN[13]: 0.0201520    3 Star
	Star WORD[13,   1]: 0.0088251 七夕祭
	Star WORD[13,   2]: 0.0088250 七夕祭り
	Star WORD[13,   3]: 0.0025019 七夕
TOKEN[14]: 0.0191021    3 August
