Summary: {Weight} {token}: {words[0:10]}
0.0708667    7 cloth          : 半巾, 巾偏, 並巾, 雑巾, 茶巾, 頭巾, 大巾
0.0546488    2 headgear       : 頭巾, 兜巾
0.0359522    2 shawl          : 肩巾, 領巾
0.0344271    2 towel          : 布巾, 手巾
0.0338516    1 exponent       : 巾
0.0336550    1 muslin         : 金巾
0.0321119    1 calico         : 金巾
0.0303364    1 unbleached     : 金巾
0.0293723    1 baseboard      : 巾木
0.0288686    1 skirting       : 巾木
0.0260573    2 shoulder       : 肩巾, 領巾
0.0251568    2 dress          : 肩巾, 領巾
0.0250196    2 worn           : 兜巾, 頭巾
0.0242362    1 pouch          : 巾着
0.0238070    1 skullcap       : 頭巾
0.0219178    1 kerchief       : 頭巾
0.0208837    1 power          : 巾
0.0202926    2 tea            : 茶巾, 布巾
0.0196185    2 woman          : 肩巾, 領巾
0.0195197    1 hood           : 頭巾
0.0182901    1 board          : 巾木
0.0164475    1 cap            : 頭巾
0.0155262    1 hat            : 頭巾
0.0150073    1 handkerchief   : 手巾
0.0150003    1 dishcloth      : 布巾
0.0136875    1 sycophant      : 巾着
0.0135664    1 flunky         : 巾着
0.0135664    1 drawstring     : 巾着
0.0131119    1 wide           : 大巾
0.0128560    1 unlicensed     : 巾着
0.0126617    1 stuffed        : 巾着
0.0119503    1 dust           : 雑巾
0.0118115    1 clothing       : 大巾
0.0116099    1 follower       : 巾着
0.0115605    1 radical        : 巾偏
0.0115062    1 made           : 頭巾
0.0113995    1 purse          : 巾着
0.0107236    1 napkin         : 茶巾
0.0106798    1 left           : 巾偏
0.0102496    1 black          : 兜巾
0.0101902    1 tofu           : 巾着
0.0100083    1 fried          : 巾着
0.0096332    1 prostitute     : 巾着
0.0088290    1 hand           : 手巾
0.0086940    1 small          : 兜巾
0.0082580    1 substantial    : 大巾
0.0081565    1 Edo            : 巾着
0.0081426    1 drastic        : 大巾
0.0078972    1 dish           : 布巾
0.0077576    1 money          : 巾着
0.0071391    1 period         : 巾着
0.0067972    1 used           : 巾着
0.0063056    1 one            : 頭巾
0.0058471    1 big            : 大巾
0.0053331    1 traditional    : 大巾
0.0052459    1 large          : 大巾
0.0039533    1 Japanese       : 大巾

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0708667    7 cloth
	cloth WORD[ 1,   1]: 0.0113148 半巾
	cloth WORD[ 1,   2]: 0.0112106 巾偏
	cloth WORD[ 1,   3]: 0.0111693 並巾
	cloth WORD[ 1,   4]: 0.0108702 雑巾
	cloth WORD[ 1,   5]: 0.0069652 茶巾
	cloth WORD[ 1,   6]: 0.0067245 頭巾
	cloth WORD[ 1,   7]: 0.0058878 大巾
TOKEN[ 2]: 0.0546488    2 headgear
	headgear WORD[ 2,   1]: 0.0195197 頭巾
	headgear WORD[ 2,   2]: 0.0156094 兜巾
TOKEN[ 3]: 0.0359522    2 shawl
	shawl WORD[ 3,   1]: 0.0179761 肩巾
	shawl WORD[ 3,   2]: 0.0179761 領巾
TOKEN[ 4]: 0.0344271    2 towel
	towel WORD[ 4,   1]: 0.0210211 布巾
	towel WORD[ 4,   2]: 0.0134059 手巾
TOKEN[ 5]: 0.0338516    1 exponent
	exponent WORD[ 5,   1]: 0.0112839 巾
TOKEN[ 6]: 0.0336550    1 muslin
	muslin WORD[ 6,   1]: 0.0336550 金巾
TOKEN[ 7]: 0.0321119    1 calico
	calico WORD[ 7,   1]: 0.0321119 金巾
TOKEN[ 8]: 0.0303364    1 unbleached
	unbleached WORD[ 8,   1]: 0.0303364 金巾
TOKEN[ 9]: 0.0293723    1 baseboard
	baseboard WORD[ 9,   1]: 0.0293723 巾木
TOKEN[10]: 0.0288686    1 skirting
	skirting WORD[10,   1]: 0.0288686 巾木
TOKEN[11]: 0.0260573    2 shoulder
	shoulder WORD[11,   1]: 0.0130287 肩巾
	shoulder WORD[11,   2]: 0.0130286 領巾
TOKEN[12]: 0.0251568    2 dress
	dress WORD[12,   1]: 0.0125784 肩巾
	dress WORD[12,   2]: 0.0125784 領巾
TOKEN[13]: 0.0250196    2 worn
	worn WORD[13,   1]: 0.0111173 兜巾
	worn WORD[13,   2]: 0.0069511 頭巾
TOKEN[14]: 0.0242362    1 pouch
	pouch WORD[14,   1]: 0.0242362 巾着
TOKEN[15]: 0.0238070    1 skullcap
	skullcap WORD[15,   1]: 0.0119035 頭巾
TOKEN[16]: 0.0219178    1 kerchief
	kerchief WORD[16,   1]: 0.0109589 頭巾
TOKEN[17]: 0.0208837    1 power
	power WORD[17,   1]: 0.0069612 巾
TOKEN[18]: 0.0202926    2 tea
	tea WORD[18,   1]: 0.0128935 茶巾
	tea WORD[18,   2]: 0.0073990 布巾
TOKEN[19]: 0.0196185    2 woman
	woman WORD[19,   1]: 0.0098093 肩巾
	woman WORD[19,   2]: 0.0098092 領巾
TOKEN[20]: 0.0195197    1 hood
	hood WORD[20,   1]: 0.0097598 頭巾
TOKEN[21]: 0.0182901    1 board
	board WORD[21,   1]: 0.0182901 巾木
TOKEN[22]: 0.0164475    1 cap
	cap WORD[22,   1]: 0.0082237 頭巾
TOKEN[23]: 0.0155262    1 hat
	hat WORD[23,   1]: 0.0077631 頭巾
TOKEN[24]: 0.0150073    1 handkerchief
	handkerchief WORD[24,   1]: 0.0150073 手巾
TOKEN[25]: 0.0150003    1 dishcloth
	dishcloth WORD[25,   1]: 0.0150003 布巾
TOKEN[26]: 0.0136875    1 sycophant
	sycophant WORD[26,   1]: 0.0136875 巾着
TOKEN[27]: 0.0135664    1 flunky
	flunky WORD[27,   1]: 0.0135664 巾着
TOKEN[28]: 0.0135664    1 drawstring
	drawstring WORD[28,   1]: 0.0135664 巾着
TOKEN[29]: 0.0131119    1 wide
	wide WORD[29,   1]: 0.0131119 大巾
TOKEN[30]: 0.0128560    1 unlicensed
	unlicensed WORD[30,   1]: 0.0128560 巾着
TOKEN[31]: 0.0126617    1 stuffed
	stuffed WORD[31,   1]: 0.0126617 巾着
TOKEN[32]: 0.0119503    1 dust
	dust WORD[32,   1]: 0.0119503 雑巾
TOKEN[33]: 0.0118115    1 clothing
	clothing WORD[33,   1]: 0.0118115 大巾
TOKEN[34]: 0.0116099    1 follower
	follower WORD[34,   1]: 0.0116099 巾着
TOKEN[35]: 0.0115605    1 radical
	radical WORD[35,   1]: 0.0115605 巾偏
TOKEN[36]: 0.0115062    1 made
	made WORD[36,   1]: 0.0057531 頭巾
TOKEN[37]: 0.0113995    1 purse
	purse WORD[37,   1]: 0.0113995 巾着
TOKEN[38]: 0.0107236    1 napkin
	napkin WORD[38,   1]: 0.0107236 茶巾
TOKEN[39]: 0.0106798    1 left
	left WORD[39,   1]: 0.0106798 巾偏
TOKEN[40]: 0.0102496    1 black
	black WORD[40,   1]: 0.0102496 兜巾
TOKEN[41]: 0.0101902    1 tofu
	tofu WORD[41,   1]: 0.0101902 巾着
TOKEN[42]: 0.0100083    1 fried
	fried WORD[42,   1]: 0.0100083 巾着
TOKEN[43]: 0.0096332    1 prostitute
	prostitute WORD[43,   1]: 0.0096332 巾着
TOKEN[44]: 0.0088290    1 hand
	hand WORD[44,   1]: 0.0088290 手巾
TOKEN[45]: 0.0086940    1 small
	small WORD[45,   1]: 0.0086940 兜巾
TOKEN[46]: 0.0082580    1 substantial
	substantial WORD[46,   1]: 0.0082580 大巾
TOKEN[47]: 0.0081565    1 Edo
	Edo WORD[47,   1]: 0.0081565 巾着
TOKEN[48]: 0.0081426    1 drastic
	drastic WORD[48,   1]: 0.0081426 大巾
TOKEN[49]: 0.0078972    1 dish
	dish WORD[49,   1]: 0.0078972 布巾
TOKEN[50]: 0.0077576    1 money
	money WORD[50,   1]: 0.0077576 巾着
TOKEN[51]: 0.0071391    1 period
	period WORD[51,   1]: 0.0071391 巾着
TOKEN[52]: 0.0067972    1 used
	used WORD[52,   1]: 0.0067972 巾着
TOKEN[53]: 0.0063056    1 one
	one WORD[53,   1]: 0.0031528 頭巾
TOKEN[54]: 0.0058471    1 big
	big WORD[54,   1]: 0.0058471 大巾
TOKEN[55]: 0.0053331    1 traditional
	traditional WORD[55,   1]: 0.0053331 大巾
TOKEN[56]: 0.0052459    1 large
	large WORD[56,   1]: 0.0052459 大巾
TOKEN[57]: 0.0039533    1 Japanese
	Japanese WORD[57,   1]: 0.0039533 大巾
