Summary: {Weight} {token}: {words[0:10]}
0.1076633    5 firm           : 牢乎, 断々乎, 断断乎, 断乎, 確乎
0.0973751    4 resolute       : 断々乎, 断断乎, 断乎, 確乎
0.0705299    2 commanding     : 凛乎, 凜乎
0.0611346    2 sheer          : 純乎, 醇乎
0.0488133    2 pure           : 純乎, 醇乎
0.0379782    1 immovable      : 牢乎
0.0377053    1 inflexible     : 牢乎
0.0340573    1 aid            : 乎古止点
0.0332361    1 shining        : 炳乎
0.0325506    1 evident        : 炳乎
0.0305740    1 solid          : 牢乎
0.0294993    1 reading        : 乎古止点
0.0279570    1 solemn         : 儼乎
0.0277638    1 stern          : 儼乎
0.0261594    1 bright         : 炳乎
0.0237893    1 clear          : 炳乎
0.0234661    1 grave          : 儼乎
0.0233002    1 Chinese        : 乎古止点
0.0227780    1 conclusive     : 断乎
0.0220292    1 restrained     : 凝乎と
0.0202901    1 unshakeable    : 確乎
0.0194693    1 determined     : 断乎
0.0183535    1 endure         : 凝乎と
0.0172603    1 stare          : 凝乎と
0.0172276    1 gaze           : 凝乎と
0.0167116    1 listen         : 凝乎と
0.0160025    1 wait           : 凝乎と
0.0150771    1 Japanese       : 弖爾乎波
0.0147712    1 think          : 凝乎と
0.0134816    1 stand          : 凝乎と
0.0129951    1 hold           : 凝乎と

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1076633    5 firm
	firm WORD[ 1,   1]: 0.0283666 牢乎
	firm WORD[ 1,   2]: 0.0245430 断々乎
	firm WORD[ 1,   3]: 0.0245429 断断乎
	firm WORD[ 1,   4]: 0.0160762 断乎
	firm WORD[ 1,   5]: 0.0141346 確乎
TOKEN[ 2]: 0.0973751    4 resolute
	resolute WORD[ 2,   1]: 0.0301384 断々乎
	resolute WORD[ 2,   2]: 0.0301383 断断乎
	resolute WORD[ 2,   3]: 0.0197414 断乎
	resolute WORD[ 2,   4]: 0.0173570 確乎
TOKEN[ 3]: 0.0705299    2 commanding
	commanding WORD[ 3,   1]: 0.0352650 凛乎
	commanding WORD[ 3,   2]: 0.0352649 凜乎
TOKEN[ 4]: 0.0611346    2 sheer
	sheer WORD[ 4,   1]: 0.0305674 純乎
	sheer WORD[ 4,   2]: 0.0305673 醇乎
TOKEN[ 5]: 0.0488133    2 pure
	pure WORD[ 5,   1]: 0.0244067 純乎
	pure WORD[ 5,   2]: 0.0244066 醇乎
TOKEN[ 6]: 0.0379782    1 immovable
	immovable WORD[ 6,   1]: 0.0379782 牢乎
TOKEN[ 7]: 0.0377053    1 inflexible
	inflexible WORD[ 7,   1]: 0.0377053 牢乎
TOKEN[ 8]: 0.0340573    1 aid
	aid WORD[ 8,   1]: 0.0340573 乎古止点
TOKEN[ 9]: 0.0332361    1 shining
	shining WORD[ 9,   1]: 0.0332361 炳乎
TOKEN[10]: 0.0325506    1 evident
	evident WORD[10,   1]: 0.0325506 炳乎
TOKEN[11]: 0.0305740    1 solid
	solid WORD[11,   1]: 0.0305740 牢乎
TOKEN[12]: 0.0294993    1 reading
	reading WORD[12,   1]: 0.0294993 乎古止点
TOKEN[13]: 0.0279570    1 solemn
	solemn WORD[13,   1]: 0.0279570 儼乎
TOKEN[14]: 0.0277638    1 stern
	stern WORD[14,   1]: 0.0277638 儼乎
TOKEN[15]: 0.0261594    1 bright
	bright WORD[15,   1]: 0.0261594 炳乎
TOKEN[16]: 0.0237893    1 clear
	clear WORD[16,   1]: 0.0237893 炳乎
TOKEN[17]: 0.0234661    1 grave
	grave WORD[17,   1]: 0.0234661 儼乎
TOKEN[18]: 0.0233002    1 Chinese
	Chinese WORD[18,   1]: 0.0233002 乎古止点
TOKEN[19]: 0.0227780    1 conclusive
	conclusive WORD[19,   1]: 0.0227780 断乎
TOKEN[20]: 0.0220292    1 restrained
	restrained WORD[20,   1]: 0.0220292 凝乎と
TOKEN[21]: 0.0202901    1 unshakeable
	unshakeable WORD[21,   1]: 0.0202901 確乎
TOKEN[22]: 0.0194693    1 determined
	determined WORD[22,   1]: 0.0194693 断乎
TOKEN[23]: 0.0183535    1 endure
	endure WORD[23,   1]: 0.0183535 凝乎と
TOKEN[24]: 0.0172603    1 stare
	stare WORD[24,   1]: 0.0172603 凝乎と
TOKEN[25]: 0.0172276    1 gaze
	gaze WORD[25,   1]: 0.0172276 凝乎と
TOKEN[26]: 0.0167116    1 listen
	listen WORD[26,   1]: 0.0167116 凝乎と
TOKEN[27]: 0.0160025    1 wait
	wait WORD[27,   1]: 0.0160025 凝乎と
TOKEN[28]: 0.0150771    1 Japanese
	Japanese WORD[28,   1]: 0.0150771 弖爾乎波
TOKEN[29]: 0.0147712    1 think
	think WORD[29,   1]: 0.0147712 凝乎と
TOKEN[30]: 0.0134816    1 stand
	stand WORD[30,   1]: 0.0134816 凝乎と
TOKEN[31]: 0.0129951    1 hold
	hold WORD[31,   1]: 0.0129951 凝乎と
