Summary: {Weight} {token}: {words[0:10]}
0.1459974    2 brokerage      : 牙婆, 牙保
0.0541351    2 fang           : 牙竜, 毒牙
0.0520282    1 fencing        : 牙保
0.0513276    1 stolen         : 牙保
0.0503225    1 mediation      : 牙保
0.0454842    1 broker         : 牙婆
0.0453081    1 Hydrophilidae  : 牙虫
0.0403924    1 scavenger      : 牙虫
0.0372274    1 Potentilla     : 狼牙
0.0355207    1 fee            : 牙婆
0.0350474    1 goods          : 牙保
0.0302729    1 dragon         : 牙竜
0.0265040    2 ivory          : 象牙, 牙
0.0258179    1 flowering      : 狼牙
0.0209230    1 plant          : 狼牙
0.0202241    1 water          : 牙虫
0.0199636    1 family         : 牙虫
0.0195198    1 ways           : 毒牙
0.0185258    1 species        : 狼牙
0.0154476    1 stooge         : 爪牙
0.0139779    1 devious        : 爪牙
0.0127339    1 bastion        : 牙城
0.0124054    1 tooth          : 牙
0.0123057    1 crooked        : 毒牙
0.0123019    1 pawn           : 爪牙
0.0121733    1 sinister       : 毒牙
0.0114737    1 causing        : 爪牙
0.0114450    1 citadel        : 牙城
0.0105637    1 harm           : 爪牙
0.0105379    1 stronghold     : 牙城
0.0105059    1 poison         : 毒牙
0.0102176    1 dirty          : 毒牙
0.0100040    1 weapon         : 爪牙
0.0096627    1 design         : 爪牙
0.0092164    1 trick          : 毒牙
0.0090691    1 teeth          : 歯牙
0.0081153    1 inner          : 牙城
0.0080594    1 opponent       : 牙城
0.0078141    1 enemy          : 牙城
0.0074271    1 man            : 爪牙

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1459974    2 brokerage
	brokerage WORD[ 1,   1]: 0.0928774 牙婆
	brokerage WORD[ 1,   2]: 0.0531200 牙保
TOKEN[ 2]: 0.0541351    2 fang
	fang WORD[ 2,   1]: 0.0408402 牙竜
	fang WORD[ 2,   2]: 0.0132949 毒牙
TOKEN[ 3]: 0.0520282    1 fencing
	fencing WORD[ 3,   1]: 0.0520282 牙保
TOKEN[ 4]: 0.0513276    1 stolen
	stolen WORD[ 4,   1]: 0.0513276 牙保
TOKEN[ 5]: 0.0503225    1 mediation
	mediation WORD[ 5,   1]: 0.0503225 牙保
TOKEN[ 6]: 0.0454842    1 broker
	broker WORD[ 6,   1]: 0.0454842 牙婆
TOKEN[ 7]: 0.0453081    1 Hydrophilidae
	Hydrophilidae WORD[ 7,   1]: 0.0453081 牙虫
TOKEN[ 8]: 0.0403924    1 scavenger
	scavenger WORD[ 8,   1]: 0.0403924 牙虫
TOKEN[ 9]: 0.0372274    1 Potentilla
	Potentilla WORD[ 9,   1]: 0.0372274 狼牙
TOKEN[10]: 0.0355207    1 fee
	fee WORD[10,   1]: 0.0355207 牙婆
TOKEN[11]: 0.0350474    1 goods
	goods WORD[11,   1]: 0.0350474 牙保
TOKEN[12]: 0.0302729    1 dragon
	dragon WORD[12,   1]: 0.0302729 牙竜
TOKEN[13]: 0.0265040    2 ivory
	ivory WORD[13,   1]: 0.0123686 象牙
	ivory WORD[13,   2]: 0.0070677 牙
TOKEN[14]: 0.0258179    1 flowering
	flowering WORD[14,   1]: 0.0258179 狼牙
TOKEN[15]: 0.0209230    1 plant
	plant WORD[15,   1]: 0.0209230 狼牙
TOKEN[16]: 0.0202241    1 water
	water WORD[16,   1]: 0.0202241 牙虫
TOKEN[17]: 0.0199636    1 family
	family WORD[17,   1]: 0.0199636 牙虫
TOKEN[18]: 0.0195198    1 ways
	ways WORD[18,   1]: 0.0195198 毒牙
TOKEN[19]: 0.0185258    1 species
	species WORD[19,   1]: 0.0185258 狼牙
TOKEN[20]: 0.0154476    1 stooge
	stooge WORD[20,   1]: 0.0154476 爪牙
TOKEN[21]: 0.0139779    1 devious
	devious WORD[21,   1]: 0.0139779 爪牙
TOKEN[22]: 0.0127339    1 bastion
	bastion WORD[22,   1]: 0.0127339 牙城
TOKEN[23]: 0.0124054    1 tooth
	tooth WORD[23,   1]: 0.0062027 牙
TOKEN[24]: 0.0123057    1 crooked
	crooked WORD[24,   1]: 0.0123057 毒牙
TOKEN[25]: 0.0123019    1 pawn
	pawn WORD[25,   1]: 0.0123019 爪牙
TOKEN[26]: 0.0121733    1 sinister
	sinister WORD[26,   1]: 0.0121733 毒牙
TOKEN[27]: 0.0114737    1 causing
	causing WORD[27,   1]: 0.0114737 爪牙
TOKEN[28]: 0.0114450    1 citadel
	citadel WORD[28,   1]: 0.0114450 牙城
TOKEN[29]: 0.0105637    1 harm
	harm WORD[29,   1]: 0.0105637 爪牙
TOKEN[30]: 0.0105379    1 stronghold
	stronghold WORD[30,   1]: 0.0105379 牙城
TOKEN[31]: 0.0105059    1 poison
	poison WORD[31,   1]: 0.0105059 毒牙
TOKEN[32]: 0.0102176    1 dirty
	dirty WORD[32,   1]: 0.0102176 毒牙
TOKEN[33]: 0.0100040    1 weapon
	weapon WORD[33,   1]: 0.0100040 爪牙
TOKEN[34]: 0.0096627    1 design
	design WORD[34,   1]: 0.0096627 爪牙
TOKEN[35]: 0.0092164    1 trick
	trick WORD[35,   1]: 0.0092164 毒牙
TOKEN[36]: 0.0090691    1 teeth
	teeth WORD[36,   1]: 0.0090691 歯牙
TOKEN[37]: 0.0081153    1 inner
	inner WORD[37,   1]: 0.0081153 牙城
TOKEN[38]: 0.0080594    1 opponent
	opponent WORD[38,   1]: 0.0080594 牙城
TOKEN[39]: 0.0078141    1 enemy
	enemy WORD[39,   1]: 0.0078141 牙城
TOKEN[40]: 0.0074271    1 man
	man WORD[40,   1]: 0.0074271 爪牙
