Summary: {Weight} {token}: {words[0:10]}
0.1894996    1 burnet         : 吾亦紅
0.1846066    1 Sanguisorba    : 吾亦紅
0.1084839    1 time           : 亦
0.1018045    1 moreover       : 亦
0.0949208    1 great          : 吾亦紅
0.0938515    1 indirect       : 亦
0.0832593    1 addition       : 亦
0.0787653    1 earth          : 亦
0.0648086    1 hand           : 亦

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1894996    1 burnet
	burnet WORD[ 1,   1]: 0.1894996 吾亦紅
TOKEN[ 2]: 0.1846066    1 Sanguisorba
	Sanguisorba WORD[ 2,   1]: 0.1846066 吾亦紅
TOKEN[ 3]: 0.1084839    1 time
	time WORD[ 3,   1]: 0.1084839 亦
TOKEN[ 4]: 0.1018045    1 moreover
	moreover WORD[ 4,   1]: 0.1018045 亦
TOKEN[ 5]: 0.0949208    1 great
	great WORD[ 5,   1]: 0.0949208 吾亦紅
TOKEN[ 6]: 0.0938515    1 indirect
	indirect WORD[ 6,   1]: 0.0938515 亦
TOKEN[ 7]: 0.0832593    1 addition
	addition WORD[ 7,   1]: 0.0832593 亦
TOKEN[ 8]: 0.0787653    1 earth
	earth WORD[ 8,   1]: 0.0787653 亦
TOKEN[ 9]: 0.0648086    1 hand
	hand WORD[ 9,   1]: 0.0648086 亦
