Summary: {Weight} {token}: {words[0:10]}
0.2275652    9 omen           : 吉兆, 瑞兆, 凶兆, 慶兆, 予兆, 兆候, 前兆, 兆, 兆し
0.1219881    7 sign           : 瑞兆, 慶兆, 予兆, 兆候, 前兆, 兆, 兆し
0.0752659    4 indication     : 予兆, 兆候, 兆, 兆し
0.0478119    3 good           : 瑞兆, 慶兆, 吉兆
0.0442699    2 portent        : 前兆, 兆
0.0401079    2 symptom        : 兆候, 兆し
0.0306866    1 multitude      : 億兆
0.0285832    2 people         : 億兆, 兆民
0.0264185    1 auspicious     : 瑞兆
0.0254369    1 presage        : 前兆
0.0253209    1 happiness      : 慶兆
0.0239997    1 trillion       : 兆
0.0231791    1 lucky          : 吉兆
0.0221235    1 foreboding     : 前兆
0.0221235    1 presentiment   : 前兆
0.0219072    1 germinate      : 兆す
0.0217079    1 evil           : 凶兆
0.0216815    1 harbinger      : 前兆
0.0209982    1 premonition    : 前兆
0.0203645    1 precursor      : 前兆
0.0198934    1 notice         : 予兆
0.0167854    1 nation         : 兆民
0.0167693    1 sprout         : 兆す
0.0162489    1 bud            : 兆す
0.0144110    1 whole          : 兆民
0.0126945    1 show           : 兆す
0.0116572    1 give           : 兆す

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2275652    9 omen
	omen WORD[ 1,   1]: 0.0521493 吉兆
	omen WORD[ 1,   2]: 0.0275600 瑞兆
	omen WORD[ 1,   3]: 0.0264161 凶兆
	omen WORD[ 1,   4]: 0.0264150 慶兆
	omen WORD[ 1,   5]: 0.0236796 予兆
	omen WORD[ 1,   6]: 0.0187414 兆候
	omen WORD[ 1,   7]: 0.0181764 前兆
	omen WORD[ 1,   8]: 0.0177736 兆
	omen WORD[ 1,   9]: 0.0166537 兆し
TOKEN[ 2]: 0.1219881    7 sign
	sign WORD[ 2,   1]: 0.0225637 瑞兆
	sign WORD[ 2,   2]: 0.0216263 慶兆
	sign WORD[ 2,   3]: 0.0193868 予兆
	sign WORD[ 2,   4]: 0.0153438 兆候
	sign WORD[ 2,   5]: 0.0148813 前兆
	sign WORD[ 2,   6]: 0.0145515 兆
	sign WORD[ 2,   7]: 0.0136346 兆し
TOKEN[ 3]: 0.0752659    4 indication
	indication WORD[ 3,   1]: 0.0231920 予兆
	indication WORD[ 3,   2]: 0.0183555 兆候
	indication WORD[ 3,   3]: 0.0174076 兆
	indication WORD[ 3,   4]: 0.0163108 兆し
TOKEN[ 4]: 0.0478119    3 good
	good WORD[ 4,   1]: 0.0164610 瑞兆
	good WORD[ 4,   2]: 0.0157771 慶兆
	good WORD[ 4,   3]: 0.0155738 吉兆
TOKEN[ 5]: 0.0442699    2 portent
	portent WORD[ 5,   1]: 0.0223830 前兆
	portent WORD[ 5,   2]: 0.0218869 兆
TOKEN[ 6]: 0.0401079    2 symptom
	symptom WORD[ 6,   1]: 0.0212367 兆候
	symptom WORD[ 6,   2]: 0.0188711 兆し
TOKEN[ 7]: 0.0306866    1 multitude
	multitude WORD[ 7,   1]: 0.0306866 億兆
TOKEN[ 8]: 0.0285832    2 people
	people WORD[ 8,   1]: 0.0165964 億兆
	people WORD[ 8,   2]: 0.0119868 兆民
TOKEN[ 9]: 0.0264185    1 auspicious
	auspicious WORD[ 9,   1]: 0.0264185 瑞兆
TOKEN[10]: 0.0254369    1 presage
	presage WORD[10,   1]: 0.0254369 前兆
TOKEN[11]: 0.0253209    1 happiness
	happiness WORD[11,   1]: 0.0253209 慶兆
TOKEN[12]: 0.0239997    1 trillion
	trillion WORD[12,   1]: 0.0239997 兆
TOKEN[13]: 0.0231791    1 lucky
	lucky WORD[13,   1]: 0.0231791 吉兆
TOKEN[14]: 0.0221235    1 foreboding
	foreboding WORD[14,   1]: 0.0221235 前兆
TOKEN[15]: 0.0221235    1 presentiment
	presentiment WORD[15,   1]: 0.0221235 前兆
TOKEN[16]: 0.0219072    1 germinate
	germinate WORD[16,   1]: 0.0219072 兆す
TOKEN[17]: 0.0217079    1 evil
	evil WORD[17,   1]: 0.0217079 凶兆
TOKEN[18]: 0.0216815    1 harbinger
	harbinger WORD[18,   1]: 0.0216815 前兆
TOKEN[19]: 0.0209982    1 premonition
	premonition WORD[19,   1]: 0.0209982 前兆
TOKEN[20]: 0.0203645    1 precursor
	precursor WORD[20,   1]: 0.0203645 前兆
TOKEN[21]: 0.0198934    1 notice
	notice WORD[21,   1]: 0.0198934 予兆
TOKEN[22]: 0.0167854    1 nation
	nation WORD[22,   1]: 0.0167854 兆民
TOKEN[23]: 0.0167693    1 sprout
	sprout WORD[23,   1]: 0.0167693 兆す
TOKEN[24]: 0.0162489    1 bud
	bud WORD[24,   1]: 0.0162489 兆す
TOKEN[25]: 0.0144110    1 whole
	whole WORD[25,   1]: 0.0144110 兆民
TOKEN[26]: 0.0126945    1 show
	show WORD[26,   1]: 0.0126945 兆す
TOKEN[27]: 0.0116572    1 give
	give WORD[27,   1]: 0.0116572 兆す
