Summary: {Weight} {token}: {words[0:10]}
0.3001145    7 queen          : 后宮, 天后, 王后, 后妃, 太后, 后, 皇后
0.2449883    6 empress        : 后宮, 母后, 后妃, 太后, 后, 皇后
0.2347364    2 palace         : 后宮, 后町
0.0831200    1 pavilion       : 后町
0.0650474    1 inner          : 后町
0.0287891    1 heaven         : 天后
0.0254494    2 dowager        : 母后, 太后
0.0081738    1 mother         : 太后
0.0063578    1 afternoon      : 午后
0.0032233    1 Japanese       : 皇后

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.3001145    7 queen
	queen WORD[ 1,   1]: 0.1930841 后宮
	queen WORD[ 1,   2]: 0.0331617 天后
	queen WORD[ 1,   3]: 0.0292548 王后
	queen WORD[ 1,   4]: 0.0100241 后妃
	queen WORD[ 1,   5]: 0.0099163 太后
	queen WORD[ 1,   6]: 0.0091411 后
	queen WORD[ 1,   7]: 0.0063914 皇后
TOKEN[ 2]: 0.2449883    6 empress
	empress WORD[ 2,   1]: 0.1895663 后宮
	empress WORD[ 2,   2]: 0.0116208 母后
	empress WORD[ 2,   3]: 0.0098415 后妃
	empress WORD[ 2,   4]: 0.0097356 太后
	empress WORD[ 2,   5]: 0.0089745 后
	empress WORD[ 2,   6]: 0.0062750 皇后
TOKEN[ 3]: 0.2347364    2 palace
	palace WORD[ 3,   1]: 0.1649613 后宮
	palace WORD[ 3,   2]: 0.0697750 后町
TOKEN[ 4]: 0.0831200    1 pavilion
	pavilion WORD[ 4,   1]: 0.0831200 后町
TOKEN[ 5]: 0.0650474    1 inner
	inner WORD[ 5,   1]: 0.0650474 后町
TOKEN[ 6]: 0.0287891    1 heaven
	heaven WORD[ 6,   1]: 0.0287891 天后
TOKEN[ 7]: 0.0254494    2 dowager
	dowager WORD[ 7,   1]: 0.0138479 母后
	dowager WORD[ 7,   2]: 0.0116015 太后
TOKEN[ 8]: 0.0081738    1 mother
	mother WORD[ 8,   1]: 0.0081738 太后
TOKEN[ 9]: 0.0063578    1 afternoon
	afternoon WORD[ 9,   1]: 0.0063578 午后
TOKEN[10]: 0.0032233    1 Japanese
	Japanese WORD[10,   1]: 0.0032233 皇后
