Summary: {Weight} {token}: {words[0:10]}
0.1162686    1 acetabular     : 臼蓋
0.1119475    6 mortar         : 搗き臼, 茶臼, 臼砲, 唐臼, 石臼, 臼
0.0966217    5 quern          : 挽き臼, 挽臼, 碾き臼, 碾臼, 石臼
0.0817235    5 mill           : 挽き臼, 挽臼, 碾き臼, 碾臼, 茶臼
0.0787954    1 discoidal      : 臼玉
0.0708035    1 roof           : 臼蓋
0.0702467    1 pierced        : 臼玉
0.0655167    1 jade           : 臼玉
0.0605472    1 bead           : 臼玉
0.0539816    5 hand           : 挽き臼, 挽臼, 碾き臼, 碾臼, 茶臼
0.0412214    1 pounding       : 搗き臼
0.0350305    1 period         : 臼玉
0.0298130    2 millstone      : 石臼, 臼
0.0237314    1 rice           : 搗き臼
0.0155987    1 grinding       : 茶臼
0.0155129    1 molar          : 臼歯
0.0117053    1 dislocation    : 脱臼
0.0111964    1 tea            : 茶臼
0.0097380    1 stone          : 石臼

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1162686    1 acetabular
	acetabular WORD[ 1,   1]: 0.1162686 臼蓋
TOKEN[ 2]: 0.1119475    6 mortar
	mortar WORD[ 2,   1]: 0.0397262 搗き臼
	mortar WORD[ 2,   2]: 0.0162717 茶臼
	mortar WORD[ 2,   3]: 0.0145838 臼砲
	mortar WORD[ 2,   4]: 0.0143285 唐臼
	mortar WORD[ 2,   5]: 0.0135572 石臼
	mortar WORD[ 2,   6]: 0.0134801 臼
TOKEN[ 3]: 0.0966217    5 quern
	quern WORD[ 3,   1]: 0.0201196 挽き臼
	quern WORD[ 3,   2]: 0.0201195 挽臼
	quern WORD[ 3,   3]: 0.0201195 碾き臼
	quern WORD[ 3,   4]: 0.0201195 碾臼
	quern WORD[ 3,   5]: 0.0161436 石臼
TOKEN[ 4]: 0.0817235    5 mill
	mill WORD[ 4,   1]: 0.0164664 挽き臼
	mill WORD[ 4,   2]: 0.0164664 挽臼
	mill WORD[ 4,   3]: 0.0164664 碾き臼
	mill WORD[ 4,   4]: 0.0164663 碾臼
	mill WORD[ 4,   5]: 0.0158579 茶臼
TOKEN[ 5]: 0.0787954    1 discoidal
	discoidal WORD[ 5,   1]: 0.0787954 臼玉
TOKEN[ 6]: 0.0708035    1 roof
	roof WORD[ 6,   1]: 0.0708035 臼蓋
TOKEN[ 7]: 0.0702467    1 pierced
	pierced WORD[ 7,   1]: 0.0702467 臼玉
TOKEN[ 8]: 0.0655167    1 jade
	jade WORD[ 8,   1]: 0.0655167 臼玉
TOKEN[ 9]: 0.0605472    1 bead
	bead WORD[ 9,   1]: 0.0605472 臼玉
TOKEN[10]: 0.0539816    5 hand
	hand WORD[10,   1]: 0.0108767 挽き臼
	hand WORD[10,   2]: 0.0108767 挽臼
	hand WORD[10,   3]: 0.0108767 碾き臼
	hand WORD[10,   4]: 0.0108767 碾臼
	hand WORD[10,   5]: 0.0104748 茶臼
TOKEN[11]: 0.0412214    1 pounding
	pounding WORD[11,   1]: 0.0412214 搗き臼
TOKEN[12]: 0.0350305    1 period
	period WORD[12,   1]: 0.0350305 臼玉
TOKEN[13]: 0.0298130    2 millstone
	millstone WORD[13,   1]: 0.0149490 石臼
	millstone WORD[13,   2]: 0.0148640 臼
TOKEN[14]: 0.0237314    1 rice
	rice WORD[14,   1]: 0.0237314 搗き臼
TOKEN[15]: 0.0155987    1 grinding
	grinding WORD[15,   1]: 0.0155987 茶臼
TOKEN[16]: 0.0155129    1 molar
	molar WORD[16,   1]: 0.0155129 臼歯
TOKEN[17]: 0.0117053    1 dislocation
	dislocation WORD[17,   1]: 0.0117053 脱臼
TOKEN[18]: 0.0111964    1 tea
	tea WORD[18,   1]: 0.0111964 茶臼
TOKEN[19]: 0.0097380    1 stone
	stone WORD[19,   1]: 0.0097380 石臼
