Summary: {Weight} {token}: {words[0:10]}
0.0855604    1 donor          : 呉れ手
0.0497845    1 soy            : 呉
0.0471876    2 Wu             : 呉音, 呉越
0.0419462    1 something      : 呉れ手
0.0407204    1 creamy         : 呉
0.0396350    2 one            : 呉れ手, 呉れる
0.0373609    1 reading        : 呉音
0.0362239    1 zaffer         : 呉須
0.0362239    1 asbolite       : 呉須
0.0314409    1 soaked         : 呉
0.0314409    1 ingredient     : 呉
0.0278197    1 Phyllostachys  : 呉竹
0.0268348    1 milk           : 呉
0.0267807    1 tofu           : 呉
0.0254264    1 paste          : 呉
0.0236933    1 porcelain      : 呉須
0.0228015    1 goods          : 呉服
0.0222795    1 century        : 呉音
0.0211099    1 give           : 呉れる
0.0206047    1 based          : 呉音
0.0206030    1 soup           : 呉汁
0.0191358    1 drapery        : 呉服
0.0188195    1 go             : 呉
0.0182491    1 bamboo         : 呉竹
0.0182437    1 ground         : 呉汁
0.0169245    1 textile        : 呉服
0.0167202    1 disadvantage   : 呉れる
0.0154720    1 rival          : 呉越
0.0147549    1 Chinese        : 呉音
0.0131417    1 kimono         : 呉服
0.0129703    1 silk           : 呉服
0.0128311    1 dry            : 呉服
0.0121583    1 trouble        : 呉れる
0.0121257    1 cloth          : 呉服
0.0120188    1 piece          : 呉服
0.0118504    1 let            : 呉れる
0.0117405    1 clothes        : 呉服
0.0116134    1 ancient        : 呉越
0.0103187    1 two            : 呉越
0.0092088    1 take           : 呉れる
0.0081418    1 Japanese       : 呉服
0.0080830    1 someone        : 呉れる

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0855604    1 donor
	donor WORD[ 1,   1]: 0.0855604 呉れ手
TOKEN[ 2]: 0.0497845    1 soy
	soy WORD[ 2,   1]: 0.0248922 呉
TOKEN[ 3]: 0.0471876    2 Wu
	Wu WORD[ 3,   1]: 0.0287256 呉音
	Wu WORD[ 3,   2]: 0.0184620 呉越
TOKEN[ 4]: 0.0419462    1 something
	something WORD[ 4,   1]: 0.0419462 呉れ手
TOKEN[ 5]: 0.0407204    1 creamy
	creamy WORD[ 5,   1]: 0.0203602 呉
TOKEN[ 6]: 0.0396350    2 one
	one WORD[ 6,   1]: 0.0284565 呉れ手
	one WORD[ 6,   2]: 0.0111785 呉れる
TOKEN[ 7]: 0.0373609    1 reading
	reading WORD[ 7,   1]: 0.0373609 呉音
TOKEN[ 8]: 0.0362239    1 zaffer
	zaffer WORD[ 8,   1]: 0.0362239 呉須
TOKEN[ 9]: 0.0362239    1 asbolite
	asbolite WORD[ 9,   1]: 0.0362239 呉須
TOKEN[10]: 0.0314409    1 soaked
	soaked WORD[10,   1]: 0.0157204 呉
TOKEN[11]: 0.0314409    1 ingredient
	ingredient WORD[11,   1]: 0.0157204 呉
TOKEN[12]: 0.0278197    1 Phyllostachys
	Phyllostachys WORD[12,   1]: 0.0278197 呉竹
TOKEN[13]: 0.0268348    1 milk
	milk WORD[13,   1]: 0.0134174 呉
TOKEN[14]: 0.0267807    1 tofu
	tofu WORD[14,   1]: 0.0133903 呉
TOKEN[15]: 0.0254264    1 paste
	paste WORD[15,   1]: 0.0127132 呉
TOKEN[16]: 0.0236933    1 porcelain
	porcelain WORD[16,   1]: 0.0236933 呉須
TOKEN[17]: 0.0228015    1 goods
	goods WORD[17,   1]: 0.0228015 呉服
TOKEN[18]: 0.0222795    1 century
	century WORD[18,   1]: 0.0222795 呉音
TOKEN[19]: 0.0211099    1 give
	give WORD[19,   1]: 0.0211099 呉れる
TOKEN[20]: 0.0206047    1 based
	based WORD[20,   1]: 0.0206047 呉音
TOKEN[21]: 0.0206030    1 soup
	soup WORD[21,   1]: 0.0206030 呉汁
