Summary: {Weight} {token}: {words[0:10]}
0.2952981    1 marquisate     : 侯国
0.2732722    3 feudal         : 侯伯, 藩侯, 諸侯
0.2687935    1 principality   : 侯国
0.0235743    2 marquis        : 侯爵, 侯
0.0171662    2 rank           : 王侯, 侯
0.0145301    1 lord           : 藩侯
0.0145141    1 ruler          : 土侯
0.0132964    1 marquess       : 侯爵
0.0128555    1 many           : 列侯
0.0119779    1 local          : 土侯
0.0116355    1 king           : 王侯
0.0116093    1 noble          : 王侯
0.0091321    1 nobility       : 侯
0.0082055    1 highest        : 侯
0.0075865    1 five           : 侯
0.0065527    1 second         : 侯

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2952981    1 marquisate
	marquisate WORD[ 1,   1]: 0.2952981 侯国
TOKEN[ 2]: 0.2732722    3 feudal
	feudal WORD[ 2,   1]: 0.2460976 侯伯
	feudal WORD[ 2,   2]: 0.0150678 藩侯
	feudal WORD[ 2,   3]: 0.0121068 諸侯
TOKEN[ 3]: 0.2687935    1 principality
	principality WORD[ 3,   1]: 0.2687935 侯国
TOKEN[ 4]: 0.0235743    2 marquis
	marquis WORD[ 4,   1]: 0.0117905 侯爵
	marquis WORD[ 4,   2]: 0.0117838 侯
TOKEN[ 5]: 0.0171662    2 rank
	rank WORD[ 5,   1]: 0.0101159 王侯
	rank WORD[ 5,   2]: 0.0070503 侯
TOKEN[ 6]: 0.0145301    1 lord
	lord WORD[ 6,   1]: 0.0145301 藩侯
TOKEN[ 7]: 0.0145141    1 ruler
	ruler WORD[ 7,   1]: 0.0145141 土侯
TOKEN[ 8]: 0.0132964    1 marquess
	marquess WORD[ 8,   1]: 0.0132964 侯爵
TOKEN[ 9]: 0.0128555    1 many
	many WORD[ 9,   1]: 0.0128555 列侯
TOKEN[10]: 0.0119779    1 local
	local WORD[10,   1]: 0.0119779 土侯
TOKEN[11]: 0.0116355    1 king
	king WORD[11,   1]: 0.0116355 王侯
TOKEN[12]: 0.0116093    1 noble
	noble WORD[12,   1]: 0.0116093 王侯
TOKEN[13]: 0.0091321    1 nobility
	nobility WORD[13,   1]: 0.0091321 侯
TOKEN[14]: 0.0082055    1 highest
	highest WORD[14,   1]: 0.0082055 侯
TOKEN[15]: 0.0075865    1 five
	five WORD[15,   1]: 0.0075865 侯
TOKEN[16]: 0.0065527    1 second
	second WORD[16,   1]: 0.0065527 侯
