Summary: {Weight} {token}: {words[0:10]}
0.2402854    2 copy           : 謄本, 謄写
0.1280571    1 photocopy      : 謄写
0.1076802    1 certified      : 謄本
0.1076802    1 transcript     : 謄本
0.1076025    1 mimeograph     : 謄写
0.0971422    1 transcription  : 謄写
0.0851809    1 register       : 謄本
0.0671726    1 official       : 謄本
0.0591991    1 family         : 謄本

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2402854    2 copy
	copy WORD[ 1,   1]: 0.1602288 謄本
	copy WORD[ 1,   2]: 0.0800566 謄写
TOKEN[ 2]: 0.1280571    1 photocopy
	photocopy WORD[ 2,   1]: 0.1280571 謄写
TOKEN[ 3]: 0.1076802    1 certified
	certified WORD[ 3,   1]: 0.1076802 謄本
TOKEN[ 4]: 0.1076802    1 transcript
	transcript WORD[ 4,   1]: 0.1076802 謄本
TOKEN[ 5]: 0.1076025    1 mimeograph
	mimeograph WORD[ 5,   1]: 0.1076025 謄写
TOKEN[ 6]: 0.0971422    1 transcription
	transcription WORD[ 6,   1]: 0.0971422 謄写
TOKEN[ 7]: 0.0851809    1 register
	register WORD[ 7,   1]: 0.0851809 謄本
TOKEN[ 8]: 0.0671726    1 official
	official WORD[ 8,   1]: 0.0671726 謄本
TOKEN[ 9]: 0.0591991    1 family
	family WORD[ 9,   1]: 0.0591991 謄本
