Summary: {Weight} {token}: {words[0:10]}
0.2200301    1 benign         : 恵み深い
0.1825698    1 gracious       : 恵み深い
0.1666124    1 algae          : 恵胡海苔
0.1146323    1 species        : 恵胡海苔
0.1129403    1 red            : 恵胡海苔
0.0089229    4 blessing       : 天恵, 恵沢, 恵み, 恩恵
0.0086788    3 gift           : 恵存, 天恵, 恵贈
0.0080696    4 benefit        : 特恵, 恵沢, 互恵, 恩恵
0.0080177    1 welcome        : 恵雨
0.0071065    3 bestowing      : 恵贈, 恵与, 恵投
0.0064909    3 mercy          : 恵む, 慈恵, 仁恵
0.0064180    1 rain           : 恵雨
0.0060776    1 direction      : 恵方
0.0060498    3 wisdom         : 恵, 智恵, 知恵
0.0055998    2 smiling        : 恵比寿顔, 恵比須顔
0.0047841    3 enlightenment  : 智恵, 知恵, 恵
0.0047198    3 giving         : 恵贈, 恵与, 恵投
0.0045586    2 honor          : 恵比寿講, 恵比須講
0.0044931    2 prajna         : 智恵, 知恵
0.0044556    1 special        : 特恵
0.0043203    2 commerce       : 恵比須, 恵比寿
0.0040969    1 bless          : 恵む
0.0039910    2 sagacity       : 智恵, 知恵
0.0037274    1 preferential   : 特恵
0.0037140    2 wit            : 智恵, 知恵
0.0036966    2 favor          : 恵沢, 恩恵
0.0035390    2 face           : 恵比寿顔, 恵比須顔
0.0035336    2 grace          : 恵み, 恩恵
0.0035287    2 insight        : 智恵, 知恵
0.0035150    2 intelligence   : 智恵, 知恵
0.0032827    2 god            : 恵比須, 恵比寿
0.0032479    2 leading        : 智恵, 知恵
0.0032379    2 fishing        : 恵比須, 恵比寿
0.0032166    2 presentation   : 恵与, 恵投
0.0030449    1 recipient      : 恵存
0.0029581    2 sense          : 智恵, 知恵
0.0029433    1 abound         : 恵まれる
0.0026360    1 blessed        : 恵まれる
0.0025228    1 treatment      : 特恵
0.0025144    1 pity           : 恵沢
0.0023629    1 show           : 恵む
0.0023456    1 favorable      : 恵方
0.0022826    1 natural        : 天恵
0.0022467    1 message        : 恵存
0.0022280    1 lucky          : 恵方
0.0022234    1 reciprocity    : 互恵
0.0022170    1 nature         : 天恵
0.0021908    1 eightfold      : 恵
0.0021845    1 give           : 恵む
0.0021203    1 note           : 恵存
0.0020676    1 graciousness   : 仁恵
0.0020533    1 money          : 恵む
0.0020268    1 rich           : 恵まれる
0.0019609    1 keep           : 恵存
0.0017277    1 hand           : 恵存
0.0016904    1 charity        : 仁恵
0.0015477    1 mutual         : 互恵
0.0014598    1 noble          : 恵
0.0013585    1 path           : 恵
0.0013284    1 three          : 恵
0.0012603    1 love           : 慈恵
0.0006222    1 one            : 恵

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2200301    1 benign
	benign WORD[ 1,   1]: 0.2200301 恵み深い
TOKEN[ 2]: 0.1825698    1 gracious
	gracious WORD[ 2,   1]: 0.1825698 恵み深い
TOKEN[ 3]: 0.1666124    1 algae
	algae WORD[ 3,   1]: 0.1666124 恵胡海苔
TOKEN[ 4]: 0.1146323    1 species
	species WORD[ 4,   1]: 0.1146323 恵胡海苔
TOKEN[ 5]: 0.1129403    1 red
	red WORD[ 5,   1]: 0.1129403 恵胡海苔
TOKEN[ 6]: 0.0089229    4 blessing
	blessing WORD[ 6,   1]: 0.0027226 天恵
	blessing WORD[ 6,   2]: 0.0025042 恵沢
	blessing WORD[ 6,   3]: 0.0021681 恵み
	blessing WORD[ 6,   4]: 0.0015281 恩恵
TOKEN[ 7]: 0.0086788    3 gift
	gift WORD[ 7,   1]: 0.0042468 恵存
	gift WORD[ 7,   2]: 0.0023086 天恵
	gift WORD[ 7,   3]: 0.0021234 恵贈
TOKEN[ 8]: 0.0080696    4 benefit
	benefit WORD[ 8,   1]: 0.0026327 特恵
	benefit WORD[ 8,   2]: 0.0024013 恵沢
	benefit WORD[ 8,   3]: 0.0015704 互恵
	benefit WORD[ 8,   4]: 0.0014653 恩恵
TOKEN[ 9]: 0.0080177    1 welcome
	welcome WORD[ 9,   1]: 0.0080177 恵雨
TOKEN[10]: 0.0071065    3 bestowing
	bestowing WORD[10,   1]: 0.0031038 恵贈
	bestowing WORD[10,   2]: 0.0020015 恵与
	bestowing WORD[10,   3]: 0.0020013 恵投
TOKEN[11]: 0.0064909    3 mercy
	mercy WORD[11,   1]: 0.0031137 恵む
	mercy WORD[11,   2]: 0.0017429 慈恵
	mercy WORD[11,   3]: 0.0016343 仁恵
TOKEN[12]: 0.0064180    1 rain
	rain WORD[12,   1]: 0.0064180 恵雨
TOKEN[13]: 0.0060776    1 direction
	direction WORD[13,   1]: 0.0060776 恵方
TOKEN[14]: 0.0060498    3 wisdom
	wisdom WORD[14,   1]: 0.0028840 恵
	wisdom WORD[14,   2]: 0.0015829 智恵
	wisdom WORD[14,   3]: 0.0015829 知恵
TOKEN[15]: 0.0055998    2 smiling
	smiling WORD[15,   1]: 0.0027999 恵比寿顔
	smiling WORD[15,   2]: 0.0027999 恵比須顔
TOKEN[16]: 0.0047841    3 enlightenment
	enlightenment WORD[16,   1]: 0.0016435 智恵
	enlightenment WORD[16,   2]: 0.0016435 知恵
	enlightenment WORD[16,   3]: 0.0014972 恵
TOKEN[17]: 0.0047198    3 giving
	giving WORD[17,   1]: 0.0020614 恵贈
	giving WORD[17,   2]: 0.0013293 恵与
	giving WORD[17,   3]: 0.0013291 恵投
TOKEN[18]: 0.0045586    2 honor
