Summary: {Weight} {token}: {words[0:10]}
0.1091066    4 recommendation : 薦挙, 吹挙, 推挙, 挙
0.0442304    1 levator        : 挙筋
0.0228197    5 undertaking    : 美挙, 壮挙, 盛挙, 義挙, 愚挙
0.0177793    4 raising        : 旗挙, 旗挙げ, 挙兵, 挙手
0.0165938    3 example        : 挙示, 挙例, 挙げる
0.0156174    1 muscle         : 挙筋
0.0130698    2 giving         : 挙示, 挙例
0.0113080    2 act            : 軽挙, 美挙
0.0112134    1 showing        : 挙示
0.0101121    1 reason         : 挙示
0.0100877    2 new            : 旗挙, 旗挙げ
0.0100051    1 explanation    : 挙示
0.0096439    3 party          : 挙党, 旗挙, 旗挙げ
0.0095555    3 behavior       : 挙措, 挙動, 挙
0.0095456    2 heroic         : 壮挙, 義挙
0.0092975    2 enumeration    : 列挙, 枚挙
0.0091963    3 behaviour      : 挙措, 挙動, 挙
0.0086947    3 army           : 旗挙, 旗挙げ, 挙兵
0.0085297    3 ceremony       : 挙式, 挙行, 挙げる
0.0081472    1 loan           : 出挙
0.0080193    2 made           : 出挙, 挙がる
0.0079916    4 one            : 挙げる, 一挙, 挙手, 挙がる
0.0079127    2 whole          : 挙党, 挙国
0.0079071    3 action         : 暴挙, 挙, 一挙
0.0075995    1 leg            : 挙げ足
0.0075160    1 interest       : 出挙
0.0074408    2 lifting        : 挙げ足, 挙上
0.0074000    2 grand          : 壮挙, 大挙
0.0073772    3 group          : 旗挙, 旗挙げ, 挙る
0.0070203    2 nomination     : 吹挙, 推挙
0.0069533    2 banner         : 旗挙, 旗挙げ
0.0068200    2 come           : 挙がる, 挙げる
0.0067966    2 deed           : 義挙, 快挙
0.0066931    1 commendable    : 美挙
0.0063626    1 go             : 挙がる
0.0063375    3 position       : 吹挙, 推挙, 挙
0.0061405    2 raised         : 挙げ足, 挙がる
0.0061120    1 ambitious      : 壮挙
0.0060529    1 attempt        : 再挙
0.0060443    1 praiseworthy   : 美挙
0.0055196    1 discrimination : 妄挙
0.0055182    2 give           : 挙げる, 挙がる
0.0054351    2 wedding        : 挙式, 挙げる
