Summary: {Weight} {token}: {words[0:10]}
0.2888610   12 lacquer        : 漆屋, 漆樹, 朱漆, 乾漆, 膠漆, 漆芸, 漆工, 漆絵, 漆器, 生漆, ...
0.2857004    1 lacquerer      : 漆屋
0.1815462    1 shop           : 漆屋
0.0304721    3 Rhus           : 山漆, 蔦漆, 漆樹
0.0194338    2 dermatitis     : 漆負け, 漆かぶれ
0.0131976    3 ivy            : 蔦漆, 漆負け, 漆かぶれ
0.0131649    1 vermilion      : 朱漆
0.0113780    3 poison         : 蔦漆, 漆負け, 漆かぶれ
0.0111930    1 sumac          : 山漆
0.0099918    1 japan          : 漆樹
0.0091707    2 Japanese       : 山漆, 漆芸
0.0090132    1 Toxicodendron  : 漆樹
0.0076946    1 glue           : 膠漆
0.0072267    1 intimacy       : 膠漆
0.0067022    2 tree           : 漆樹, 生漆
0.0066792    1 Asian          : 蔦漆
0.0055134    1 art            : 漆芸
0.0050457    2 work           : 漆工, 漆器
0.0047662    1 great          : 膠漆
0.0047090    1 painting       : 漆絵
0.0045247    2 jet            : 漆黒, 黒漆
0.0045106    1 clear          : 朱漆
0.0044608    2 contact        : 漆負け, 漆かぶれ
0.0044380    2 rash           : 漆負け, 漆かぶれ
0.0043976    1 Chinese        : 漆樹
0.0043409    2 black          : 黒漆, 漆黒
0.0040737    1 technique      : 乾漆
0.0040453    1 made           : 朱漆
0.0034612    2 ware           : 漆器, 漆塗り
0.0028162    1 seven          : 漆
0.0027102    1 sap            : 生漆
0.0024529    1 soaked         : 乾漆
0.0023360    1 hemp           : 乾漆
0.0023198    1 unrefined      : 生漆
0.0023015    1 stucco         : 漆喰
0.0019699    1 dry            : 乾漆
0.0018709    1 dried          : 乾漆
0.0018589    1 many           : 乾漆
0.0018115    1 cloth          : 乾漆
0.0016831    1 making         : 乾漆
0.0016768    1 mortar         : 漆喰
0.0016330    1 plaster        : 漆喰
0.0015706    1 lacquering     : 漆塗り
0.0012765    1 object         : 黒漆

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2888610   12 lacquer
	lacquer WORD[ 1,   1]: 0.2216449 漆屋
	lacquer WORD[ 1,   2]: 0.0139848 漆樹
	lacquer WORD[ 1,   3]: 0.0119441 朱漆
	lacquer WORD[ 1,   4]: 0.0070681 乾漆
	lacquer WORD[ 1,   5]: 0.0069811 膠漆
	lacquer WORD[ 1,   6]: 0.0068886 漆芸
	lacquer WORD[ 1,   7]: 0.0061770 漆工
	lacquer WORD[ 1,   8]: 0.0055990 漆絵
	lacquer WORD[ 1,   9]: 0.0032212 漆器
	lacquer WORD[ 1,  10]: 0.0023586 生漆
	lacquer WORD[ 1,  11]: 0.0015564 黒漆
	lacquer WORD[ 1,  12]: 0.0014372 漆塗り
TOKEN[ 2]: 0.2857004    1 lacquerer
	lacquerer WORD[ 2,   1]: 0.2857004 漆屋
TOKEN[ 3]: 0.1815462    1 shop
	shop WORD[ 3,   1]: 0.1815462 漆屋
TOKEN[ 4]: 0.0304721    3 Rhus
	Rhus WORD[ 4,   1]: 0.0123945 山漆
	Rhus WORD[ 4,   2]: 0.0090644 蔦漆
	Rhus WORD[ 4,   3]: 0.0090132 漆樹
TOKEN[ 5]: 0.0194338    2 dermatitis
	dermatitis WORD[ 5,   1]: 0.0097169 漆負け
	dermatitis WORD[ 5,   2]: 0.0097169 漆かぶれ
TOKEN[ 6]: 0.0131976    3 ivy
	ivy WORD[ 6,   1]: 0.0078225 蔦漆
	ivy WORD[ 6,   2]: 0.0026875 漆負け
	ivy WORD[ 6,   3]: 0.0026875 漆かぶれ
TOKEN[ 7]: 0.0131649    1 vermilion
	vermilion WORD[ 7,   1]: 0.0131649 朱漆
TOKEN[ 8]: 0.0113780    3 poison
	poison WORD[ 8,   1]: 0.0067440 蔦漆
	poison WORD[ 8,   2]: 0.0023170 漆負け
	poison WORD[ 8,   3]: 0.0023170 漆かぶれ
TOKEN[ 9]: 0.0111930    1 sumac
	sumac WORD[ 9,   1]: 0.0111930 山漆
TOKEN[10]: 0.0099918    1 japan
	japan WORD[10,   1]: 0.0099918 漆樹
TOKEN[11]: 0.0091707    2 Japanese
	Japanese WORD[11,   1]: 0.0053430 山漆
	Japanese WORD[11,   2]: 0.0038277 漆芸
TOKEN[12]: 0.0090132    1 Toxicodendron
	Toxicodendron WORD[12,   1]: 0.0090132 漆樹
TOKEN[13]: 0.0076946    1 glue
	glue WORD[13,   1]: 0.0076946 膠漆
TOKEN[14]: 0.0072267    1 intimacy
	intimacy WORD[14,   1]: 0.0072267 膠漆
TOKEN[15]: 0.0067022    2 tree
	tree WORD[15,   1]: 0.0050117 漆樹
	tree WORD[15,   2]: 0.0016905 生漆
TOKEN[16]: 0.0066792    1 Asian
	Asian WORD[16,   1]: 0.0066792 蔦漆
TOKEN[17]: 0.0055134    1 art
	art WORD[17,   1]: 0.0055134 漆芸
TOKEN[18]: 0.0050457    2 work
	work WORD[18,   1]: 0.0040022 漆工
	work WORD[18,   2]: 0.0010435 漆器
TOKEN[19]: 0.0047662    1 great
	great WORD[19,   1]: 0.0047662 膠漆
TOKEN[20]: 0.0047090    1 painting
