Summary: {Weight} {token}: {words[0:10]}
0.0863694    1 beautiful      : 錦繍
0.0796512    3 embroidery     : 繍仏, 錦繍, 刺繍
0.0552822    1 northeastern   : 粛慎
0.0487017    1 lived          : 粛慎
0.0463274    1 ethnic         : 粛慎
0.0366244    5 solemn         : 粛, 粛然, 粛々, 粛粛, 厳粛
0.0364254    5 silent         : 粛, 静粛, 粛然, 粛々, 粛粛
0.0332828    1 Buddha         : 繍仏
0.0322641    1 curtain        : 繍帳
0.0316566    1 Buddhist       : 繍仏
0.0315586    1 group          : 粛慎
0.0313145    1 fabric         : 錦繍
0.0309367    1 ancient        : 粛慎
0.0279176    1 people         : 粛慎
0.0259968    4 quiet          : 粛, 粛然, 粛々, 粛粛
0.0239776    1 Spiraea        : 繍線菊
0.0230538    1 meadowsweet    : 繍線菊
0.0230538    1 spirea         : 繍線菊
0.0212081    2 enforcement    : 振粛, 粛正
0.0202754    1 brocade        : 錦繍
0.0189010    1 wording        : 錦繍
0.0179937    2 strict         : 振粛, 厳粛
0.0176583    3 purge          : 粛清, 粛軍, 粛学
0.0163035    1 reverent       : 粛
0.0156763    1 respectful     : 粛
0.0152241    1 autumn         : 錦繍
0.0148401    1 leaves         : 錦繍
0.0145931    1 province       : 繍線菊
0.0144275    1 poem           : 錦繍
0.0137255    1 clothes        : 錦繍
0.0134516    1 former         : 繍線菊
0.0099380    1 Japanese       : 繍線菊
0.0087616    2 political      : 粛党, 粛清
0.0061367    1 voluntary      : 自粛
0.0053823    1 name           : 粛啓
0.0049922    1 restraint      : 自粛
0.0048647    1 regulation     : 粛正
0.0048125    1 cleaning       : 粛党
0.0045652    1 harsh          : 厳粛
0.0043636    1 army           : 粛軍
0.0042937    1 grave          : 厳粛
0.0041928    1 truth          : 厳粛
0.0041851    1 serious        : 厳粛
0.0040129    1 control        : 自粛
0.0037581    1 party          : 粛党
0.0036620    1 hard           : 厳粛
0.0034060    1 school         : 粛学

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0863694    1 beautiful
	beautiful WORD[ 1,   1]: 0.0863694 錦繍
TOKEN[ 2]: 0.0796512    3 embroidery
	embroidery WORD[ 2,   1]: 0.0461095 繍仏
	embroidery WORD[ 2,   2]: 0.0195624 錦繍
	embroidery WORD[ 2,   3]: 0.0139793 刺繍
TOKEN[ 3]: 0.0552822    1 northeastern
	northeastern WORD[ 3,   1]: 0.0276411 粛慎
TOKEN[ 4]: 0.0487017    1 lived
	lived WORD[ 4,   1]: 0.0243508 粛慎
TOKEN[ 5]: 0.0463274    1 ethnic
	ethnic WORD[ 5,   1]: 0.0231637 粛慎
TOKEN[ 6]: 0.0366244    5 solemn
	solemn WORD[ 6,   1]: 0.0139297 粛
	solemn WORD[ 6,   2]: 0.0077866 粛然
	solemn WORD[ 6,   3]: 0.0050290 粛々
	solemn WORD[ 6,   4]: 0.0050290 粛粛
	solemn WORD[ 6,   5]: 0.0048502 厳粛
TOKEN[ 7]: 0.0364254    5 silent
	silent WORD[ 7,   1]: 0.0127772 粛
	silent WORD[ 7,   2]: 0.0072801 静粛
	silent WORD[ 7,   3]: 0.0071423 粛然
	silent WORD[ 7,   4]: 0.0046129 粛々
	silent WORD[ 7,   5]: 0.0046129 粛粛
TOKEN[ 8]: 0.0332828    1 Buddha
	Buddha WORD[ 8,   1]: 0.0332828 繍仏
TOKEN[ 9]: 0.0322641    1 curtain
	curtain WORD[ 9,   1]: 0.0322641 繍帳
TOKEN[10]: 0.0316566    1 Buddhist
	Buddhist WORD[10,   1]: 0.0316566 繍仏
TOKEN[11]: 0.0315586    1 group
	group WORD[11,   1]: 0.0157793 粛慎
TOKEN[12]: 0.0313145    1 fabric
	fabric WORD[12,   1]: 0.0313145 錦繍
TOKEN[13]: 0.0309367    1 ancient
	ancient WORD[13,   1]: 0.0154684 粛慎
TOKEN[14]: 0.0279176    1 people
	people WORD[14,   1]: 0.0139588 粛慎
TOKEN[15]: 0.0259968    4 quiet
	quiet WORD[15,   1]: 0.0113969 粛
	quiet WORD[15,   2]: 0.0063708 粛然
	quiet WORD[15,   3]: 0.0041146 粛々
	quiet WORD[15,   4]: 0.0041146 粛粛
TOKEN[16]: 0.0239776    1 Spiraea
	Spiraea WORD[16,   1]: 0.0239776 繍線菊
TOKEN[17]: 0.0230538    1 meadowsweet
	meadowsweet WORD[17,   1]: 0.0230538 繍線菊
TOKEN[18]: 0.0230538    1 spirea
	spirea WORD[18,   1]: 0.0230538 繍線菊
TOKEN[19]: 0.0212081    2 enforcement
	enforcement WORD[19,   1]: 0.0156086 振粛
	enforcement WORD[19,   2]: 0.0055995 粛正
TOKEN[20]: 0.0202754    1 brocade
	brocade WORD[20,   1]: 0.0202754 錦繍
TOKEN[21]: 0.0189010    1 wording
	wording WORD[21,   1]: 0.0189010 錦繍
TOKEN[22]: 0.0179937    2 strict
	strict WORD[22,   1]: 0.0133687 振粛
	strict WORD[22,   2]: 0.0046250 厳粛
TOKEN[23]: 0.0176583    3 purge
	purge WORD[23,   1]: 0.0058865 粛清
	purge WORD[23,   2]: 0.0058859 粛軍
	purge WORD[23,   3]: 0.0058859 粛学
TOKEN[24]: 0.0163035    1 reverent
	reverent WORD[24,   1]: 0.0163035 粛
TOKEN[25]: 0.0156763    1 respectful
	respectful WORD[25,   1]: 0.0156763 粛
TOKEN[26]: 0.0152241    1 autumn
	autumn WORD[26,   1]: 0.0152241 錦繍
TOKEN[27]: 0.0148401    1 leaves
	leaves WORD[27,   1]: 0.0148401 錦繍
TOKEN[28]: 0.0145931    1 province
	province WORD[28,   1]: 0.0145931 繍線菊
TOKEN[29]: 0.0144275    1 poem
	poem WORD[29,   1]: 0.0144275 錦繍
TOKEN[30]: 0.0137255    1 clothes
	clothes WORD[30,   1]: 0.0137255 錦繍
TOKEN[31]: 0.0134516    1 former
	former WORD[31,   1]: 0.0134516 繍線菊
TOKEN[32]: 0.0099380    1 Japanese
	Japanese WORD[32,   1]: 0.0099380 繍線菊
TOKEN[33]: 0.0087616    2 political
	political WORD[33,   1]: 0.0043808 粛党
	political WORD[33,   2]: 0.0043808 粛清
TOKEN[34]: 0.0061367    1 voluntary
	voluntary WORD[34,   1]: 0.0061367 自粛
TOKEN[35]: 0.0053823    1 name
	name WORD[35,   1]: 0.0053823 粛啓
TOKEN[36]: 0.0049922    1 restraint
	restraint WORD[36,   1]: 0.0049922 自粛
TOKEN[37]: 0.0048647    1 regulation
	regulation WORD[37,   1]: 0.0048647 粛正
TOKEN[38]: 0.0048125    1 cleaning
	cleaning WORD[38,   1]: 0.0048125 粛党
TOKEN[39]: 0.0045652    1 harsh
	harsh WORD[39,   1]: 0.0045652 厳粛
TOKEN[40]: 0.0043636    1 army
	army WORD[40,   1]: 0.0043636 粛軍
TOKEN[41]: 0.0042937    1 grave
	grave WORD[41,   1]: 0.0042937 厳粛
TOKEN[42]: 0.0041928    1 truth
	truth WORD[42,   1]: 0.0041928 厳粛
TOKEN[43]: 0.0041851    1 serious
	serious WORD[43,   1]: 0.0041851 厳粛
TOKEN[44]: 0.0040129    1 control
	control WORD[44,   1]: 0.0040129 自粛
TOKEN[45]: 0.0037581    1 party
	party WORD[45,   1]: 0.0037581 粛党
TOKEN[46]: 0.0036620    1 hard
	hard WORD[46,   1]: 0.0036620 厳粛
TOKEN[47]: 0.0034060    1 school
	school WORD[47,   1]: 0.0034060 粛学
