Summary: {Weight} {token}: {words[0:10]}
0.2880176    5 sexagenary     : 甲寅, 壬寅, 庚寅, 丙寅, 戊寅
0.2772861    5 cycle          : 甲寅, 壬寅, 庚寅, 丙寅, 戊寅
0.2566878    5 term           : 甲寅, 壬寅, 庚寅, 丙寅, 戊寅
0.0329871    1 year           : 寅年
0.0241502    1 northeast      : 丑寅
0.0169053    1 zodiac         : 寅
0.0151434    1 hour           : 寅
0.0146965    1 third          : 寅
0.0135739    1 lunar          : 寅
0.0131053    1 calendar       : 寅
0.0129136    1 sign           : 寅
0.0122768    1 first          : 寅
0.0121681    1 month          : 寅
0.0100884    1 Chinese        : 寅

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2880176    5 sexagenary
	sexagenary WORD[ 1,   1]: 0.0849907 甲寅
	sexagenary WORD[ 1,   2]: 0.0732162 壬寅
	sexagenary WORD[ 1,   3]: 0.0542391 庚寅
	sexagenary WORD[ 1,   4]: 0.0385079 丙寅
	sexagenary WORD[ 1,   5]: 0.0370637 戊寅
TOKEN[ 2]: 0.2772861    5 cycle
	cycle WORD[ 2,   1]: 0.0818239 甲寅
	cycle WORD[ 2,   2]: 0.0704882 壬寅
	cycle WORD[ 2,   3]: 0.0522181 庚寅
	cycle WORD[ 2,   4]: 0.0370732 丙寅
	cycle WORD[ 2,   5]: 0.0356827 戊寅
TOKEN[ 3]: 0.2566878    5 term
	term WORD[ 3,   1]: 0.0757456 甲寅
	term WORD[ 3,   2]: 0.0652519 壬寅
	term WORD[ 3,   3]: 0.0483391 庚寅
	term WORD[ 3,   4]: 0.0343192 丙寅
	term WORD[ 3,   5]: 0.0330320 戊寅
TOKEN[ 4]: 0.0329871    1 year
	year WORD[ 4,   1]: 0.0329871 寅年
TOKEN[ 5]: 0.0241502    1 northeast
	northeast WORD[ 5,   1]: 0.0241502 丑寅
TOKEN[ 6]: 0.0169053    1 zodiac
	zodiac WORD[ 6,   1]: 0.0169053 寅
TOKEN[ 7]: 0.0151434    1 hour
	hour WORD[ 7,   1]: 0.0151434 寅
TOKEN[ 8]: 0.0146965    1 third
	third WORD[ 8,   1]: 0.0146965 寅
TOKEN[ 9]: 0.0135739    1 lunar
	lunar WORD[ 9,   1]: 0.0135739 寅
TOKEN[10]: 0.0131053    1 calendar
	calendar WORD[10,   1]: 0.0131053 寅
TOKEN[11]: 0.0129136    1 sign
	sign WORD[11,   1]: 0.0129136 寅
TOKEN[12]: 0.0122768    1 first
	first WORD[12,   1]: 0.0122768 寅
TOKEN[13]: 0.0121681    1 month
	month WORD[13,   1]: 0.0121681 寅
TOKEN[14]: 0.0100884    1 Chinese
	Chinese WORD[14,   1]: 0.0100884 寅
