Summary: {Weight} {token}: {words[0:10]}
0.1644370    1 lived          : 熊曽
0.1355392    2 former         : 熊曽, 曽て
0.1326588    1 southern       : 熊曽
0.1136014    1 province       : 熊曽
0.1044552    1 ancient        : 熊曽
0.0942615    1 people         : 熊曽
0.0905728    1 unprecedented  : 未曽有
0.0773633    1 Japanese       : 熊曽
0.0313652    1 first          : 曽て
0.0309652    1 great          : 曽
0.0247804    1 time           : 曽て

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1644370    1 lived
	lived WORD[ 1,   1]: 0.1644370 熊曽
TOKEN[ 2]: 0.1355392    2 former
	former WORD[ 2,   1]: 0.1047154 熊曽
	former WORD[ 2,   2]: 0.0308237 曽て
TOKEN[ 3]: 0.1326588    1 southern
	southern WORD[ 3,   1]: 0.1326588 熊曽
TOKEN[ 4]: 0.1136014    1 province
	province WORD[ 4,   1]: 0.1136014 熊曽
TOKEN[ 5]: 0.1044552    1 ancient
	ancient WORD[ 5,   1]: 0.1044552 熊曽
TOKEN[ 6]: 0.0942615    1 people
	people WORD[ 6,   1]: 0.0942615 熊曽
TOKEN[ 7]: 0.0905728    1 unprecedented
	unprecedented WORD[ 7,   1]: 0.0905728 未曽有
TOKEN[ 8]: 0.0773633    1 Japanese
	Japanese WORD[ 8,   1]: 0.0773633 熊曽
TOKEN[ 9]: 0.0313652    1 first
	first WORD[ 9,   1]: 0.0313652 曽て
TOKEN[10]: 0.0309652    1 great
	great WORD[10,   1]: 0.0309652 曽
TOKEN[11]: 0.0247804    1 time
	time WORD[11,   1]: 0.0247804 曽て
