Summary: {Weight} {token}: {words[0:10]}
0.0821175    1 brewing        : 甕
0.0782634    2 sake           : 酒甕, 甕
0.0716957    1 earthenware    : 甕
0.0631962    1 pot            : 甕
0.0610479    2 jug            : 酒甕, 水甕
0.0502222    1 large          : 甕
0.0419996    3 support        : 擁立, 擁する, 擁護
0.0419208    1 wall           : 擁壁
0.0402200    1 urn            : 甕棺
0.0381619    1 revetment      : 擁壁
0.0315418    1 retaining      : 擁壁
0.0312402    1 vindication    : 擁護
0.0307293    1 championship   : 擁護
0.0261384    2 hug            : 擁する, 抱擁
0.0251367    1 breast         : 擁壁
0.0251061    2 embrace        : 擁する, 抱擁
0.0249524    1 defence        : 擁護
0.0236642    1 protection     : 擁護
0.0210437    1 funerary       : 甕棺
0.0183979    1 position       : 擁立
0.0170155    1 burial         : 甕棺
0.0151779    1 water          : 水甕
0.0138029    1 employ         : 擁する
0.0135474    1 rally          : 擁する
0.0132632    1 helping        : 擁立
0.0129561    1 possess        : 擁する
0.0124029    1 backing        : 擁立
0.0113937    1 command        : 擁する
0.0107726    1 back           : 擁する
0.0105812    1 giving         : 擁立
0.0105773    1 lead           : 擁する
0.0101714    1 arms           : 抱擁
0.0099849    1 holding        : 抱擁
0.0069525    1 someone        : 擁立
0.0046048    1 one            : 抱擁

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0821175    1 brewing
	brewing WORD[ 1,   1]: 0.0205294 甕
TOKEN[ 2]: 0.0782634    2 sake
	sake WORD[ 2,   1]: 0.0230226 酒甕
	sake WORD[ 2,   2]: 0.0138102 甕
TOKEN[ 3]: 0.0716957    1 earthenware
	earthenware WORD[ 3,   1]: 0.0179239 甕
TOKEN[ 4]: 0.0631962    1 pot
	pot WORD[ 4,   1]: 0.0157991 甕
TOKEN[ 5]: 0.0610479    2 jug
	jug WORD[ 5,   1]: 0.0335239 酒甕
	jug WORD[ 5,   2]: 0.0275239 水甕
TOKEN[ 6]: 0.0502222    1 large
	large WORD[ 6,   1]: 0.0125555 甕
TOKEN[ 7]: 0.0419996    3 support
	support WORD[ 7,   1]: 0.0105041 擁立
	support WORD[ 7,   2]: 0.0105002 擁する
	support WORD[ 7,   3]: 0.0104976 擁護
TOKEN[ 8]: 0.0419208    1 wall
	wall WORD[ 8,   1]: 0.0419208 擁壁
TOKEN[ 9]: 0.0402200    1 urn
	urn WORD[ 9,   1]: 0.0402200 甕棺
TOKEN[10]: 0.0381619    1 revetment
	revetment WORD[10,   1]: 0.0381619 擁壁
TOKEN[11]: 0.0315418    1 retaining
	retaining WORD[11,   1]: 0.0315418 擁壁
TOKEN[12]: 0.0312402    1 vindication
	vindication WORD[12,   1]: 0.0156201 擁護
TOKEN[13]: 0.0307293    1 championship
	championship WORD[13,   1]: 0.0153646 擁護
TOKEN[14]: 0.0261384    2 hug
	hug WORD[14,   1]: 0.0135474 擁する
	hug WORD[14,   2]: 0.0125910 抱擁
TOKEN[15]: 0.0251367    1 breast
	breast WORD[15,   1]: 0.0251367 擁壁
TOKEN[16]: 0.0251061    2 embrace
	embrace WORD[16,   1]: 0.0130123 擁する
	embrace WORD[16,   2]: 0.0120938 抱擁
TOKEN[17]: 0.0249524    1 defence
	defence WORD[17,   1]: 0.0124762 擁護
TOKEN[18]: 0.0236642    1 protection
	protection WORD[18,   1]: 0.0118321 擁護
TOKEN[19]: 0.0210437    1 funerary
	funerary WORD[19,   1]: 0.0210437 甕棺
TOKEN[20]: 0.0183979    1 position
	position WORD[20,   1]: 0.0183979 擁立
TOKEN[21]: 0.0170155    1 burial
	burial WORD[21,   1]: 0.0170155 甕棺
TOKEN[22]: 0.0151779    1 water
	water WORD[22,   1]: 0.0151779 水甕
TOKEN[23]: 0.0138029    1 employ
	employ WORD[23,   1]: 0.0138029 擁する
TOKEN[24]: 0.0135474    1 rally
	rally WORD[24,   1]: 0.0135474 擁する
TOKEN[25]: 0.0132632    1 helping
	helping WORD[25,   1]: 0.0132632 擁立
TOKEN[26]: 0.0129561    1 possess
	possess WORD[26,   1]: 0.0129561 擁する
TOKEN[27]: 0.0124029    1 backing
	backing WORD[27,   1]: 0.0124029 擁立
TOKEN[28]: 0.0113937    1 command
	command WORD[28,   1]: 0.0113937 擁する
TOKEN[29]: 0.0107726    1 back
	back WORD[29,   1]: 0.0107726 擁する
TOKEN[30]: 0.0105812    1 giving
	giving WORD[30,   1]: 0.0105812 擁立
TOKEN[31]: 0.0105773    1 lead
	lead WORD[31,   1]: 0.0105773 擁する
TOKEN[32]: 0.0101714    1 arms
	arms WORD[32,   1]: 0.0101714 抱擁
TOKEN[33]: 0.0099849    1 holding
	holding WORD[33,   1]: 0.0099849 抱擁
TOKEN[34]: 0.0069525    1 someone
	someone WORD[34,   1]: 0.0069525 擁立
TOKEN[35]: 0.0046048    1 one
	one WORD[35,   1]: 0.0046048 抱擁
