Summary: {Weight} {token}: {words[0:10]}
0.3013175   12 era            : 嘉慶, 正嘉, 嘉禎, 嘉禄, 嘉祥, 嘉承, 嘉応, 嘉元, 嘉保, 嘉暦, ...
0.1318580    1 char           : 嘉魚
0.0772877    2 day            : 嘉日, 嘉辰
0.0722165    1 charr          : 嘉魚
0.0722165    1 Salvelinus     : 嘉魚
0.0371707    2 happy          : 嘉例, 嘉辰
0.0361082    2 auspicious     : 嘉辰, 嘉日
0.0346789    2 lucky          : 嘉辰, 嘉日
0.0299316    1 Japanese       : 嘉魚
0.0235961    2 good           : 嘉日, 嘉言
0.0205204    1 delicacy       : 嘉肴
0.0191155    1 precedent      : 嘉例
0.0175408    1 occasion       : 嘉辰
0.0170565    1 wise           : 嘉言
0.0167775    1 rare           : 嘉肴
0.0167030    1 saying         : 嘉言
0.0166672    1 treat          : 嘉肴
0.0148590    1 beautiful      : 嘉日
0.0121626    1 fish           : 嘉肴
0.0113609    1 approval       : 嘉賞
0.0109032    1 pleasure       : 嘉納
0.0099516    1 praise         : 嘉賞

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.3013175   12 era
	era WORD[ 1,   1]: 0.0513178 嘉慶
	era WORD[ 1,   2]: 0.0256791 正嘉
	era WORD[ 1,   3]: 0.0256593 嘉禎
	era WORD[ 1,   4]: 0.0256592 嘉禄
	era WORD[ 1,   5]: 0.0256591 嘉祥
	era WORD[ 1,   6]: 0.0256590 嘉承
	era WORD[ 1,   7]: 0.0256588 嘉応
	era WORD[ 1,   8]: 0.0256587 嘉元
	era WORD[ 1,   9]: 0.0256586 嘉保
	era WORD[ 1,  10]: 0.0245668 嘉暦
	era WORD[ 1,  11]: 0.0119598 嘉吉
	era WORD[ 1,  12]: 0.0081812 嘉永
TOKEN[ 2]: 0.1318580    1 char
	char WORD[ 2,   1]: 0.1318580 嘉魚
TOKEN[ 3]: 0.0772877    2 day
	day WORD[ 3,   1]: 0.0515184 嘉日
	day WORD[ 3,   2]: 0.0257693 嘉辰
TOKEN[ 4]: 0.0722165    1 charr
	charr WORD[ 4,   1]: 0.0722165 嘉魚
TOKEN[ 5]: 0.0722165    1 Salvelinus
	Salvelinus WORD[ 5,   1]: 0.0722165 嘉魚
TOKEN[ 6]: 0.0371707    2 happy
	happy WORD[ 6,   1]: 0.0186930 嘉例
	happy WORD[ 6,   2]: 0.0184777 嘉辰
TOKEN[ 7]: 0.0361082    2 auspicious
	auspicious WORD[ 7,   1]: 0.0180577 嘉辰
	auspicious WORD[ 7,   2]: 0.0180506 嘉日
TOKEN[ 8]: 0.0346789    2 lucky
	lucky WORD[ 8,   1]: 0.0173428 嘉辰
	lucky WORD[ 8,   2]: 0.0173360 嘉日
TOKEN[ 9]: 0.0299316    1 Japanese
	Japanese WORD[ 9,   1]: 0.0299316 嘉魚
TOKEN[10]: 0.0235961    2 good
	good WORD[10,   1]: 0.0118017 嘉日
	good WORD[10,   2]: 0.0117944 嘉言
TOKEN[11]: 0.0205204    1 delicacy
	delicacy WORD[11,   1]: 0.0205204 嘉肴
TOKEN[12]: 0.0191155    1 precedent
	precedent WORD[12,   1]: 0.0191155 嘉例
TOKEN[13]: 0.0175408    1 occasion
	occasion WORD[13,   1]: 0.0175408 嘉辰
TOKEN[14]: 0.0170565    1 wise
	wise WORD[14,   1]: 0.0170565 嘉言
TOKEN[15]: 0.0167775    1 rare
	rare WORD[15,   1]: 0.0167775 嘉肴
TOKEN[16]: 0.0167030    1 saying
	saying WORD[16,   1]: 0.0167030 嘉言
TOKEN[17]: 0.0166672    1 treat
	treat WORD[17,   1]: 0.0166672 嘉肴
TOKEN[18]: 0.0148590    1 beautiful
	beautiful WORD[18,   1]: 0.0148590 嘉日
TOKEN[19]: 0.0121626    1 fish
	fish WORD[19,   1]: 0.0121626 嘉肴
TOKEN[20]: 0.0113609    1 approval
	approval WORD[20,   1]: 0.0113609 嘉賞
TOKEN[21]: 0.0109032    1 pleasure
	pleasure WORD[21,   1]: 0.0109032 嘉納
TOKEN[22]: 0.0099516    1 praise
	praise WORD[22,   1]: 0.0099516 嘉賞
