Summary: {Weight} {token}: {words[0:10]}
0.4321077    7 cocoon         : 黄繭, 収繭, 屑繭, 蚕繭, 玉繭, 繭価, 繭
0.0898821    1 yellow         : 黄繭
0.0673574    1 crop           : 収繭
0.0583864    1 silkworm       : 蚕繭
0.0484768    3 silk           : 屑繭, 繭紬, 繭糸
0.0274334    1 dupion         : 玉繭
0.0272855    1 price          : 繭価
0.0240677    1 unbleached     : 繭紬
0.0239717    1 yamamai        : 山繭
0.0239717    1 Antheraea      : 山繭
0.0235214    1 pongee         : 繭紬
0.0222207    1 decoration     : 繭玉
0.0210670    1 formed         : 玉繭
0.0191492    1 double         : 玉繭
0.0182187    1 oak            : 山繭
0.0167607    1 waste          : 屑繭
0.0166327    1 thread         : 繭糸
0.0147959    1 two            : 玉繭
0.0147579    1 bad            : 屑繭
0.0099356    1 Japanese       : 山繭

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.4321077    7 cocoon
	cocoon WORD[ 1,   1]: 0.1119585 黄繭
	cocoon WORD[ 1,   2]: 0.0863412 収繭
	cocoon WORD[ 1,   3]: 0.0660502 屑繭
	cocoon WORD[ 1,   4]: 0.0620816 蚕繭
	cocoon WORD[ 1,   5]: 0.0464762 玉繭
	cocoon WORD[ 1,   6]: 0.0408136 繭価
	cocoon WORD[ 1,   7]: 0.0183865 繭
TOKEN[ 2]: 0.0898821    1 yellow
	yellow WORD[ 2,   1]: 0.0898821 黄繭
TOKEN[ 3]: 0.0673574    1 crop
	crop WORD[ 3,   1]: 0.0673574 収繭
TOKEN[ 4]: 0.0583864    1 silkworm
	silkworm WORD[ 4,   1]: 0.0583864 蚕繭
TOKEN[ 5]: 0.0484768    3 silk
	silk WORD[ 5,   1]: 0.0162571 屑繭
	silk WORD[ 5,   2]: 0.0161151 繭紬
	silk WORD[ 5,   3]: 0.0161045 繭糸
TOKEN[ 6]: 0.0274334    1 dupion
	dupion WORD[ 6,   1]: 0.0274334 玉繭
TOKEN[ 7]: 0.0272855    1 price
	price WORD[ 7,   1]: 0.0272855 繭価
TOKEN[ 8]: 0.0240677    1 unbleached
	unbleached WORD[ 8,   1]: 0.0240677 繭紬
TOKEN[ 9]: 0.0239717    1 yamamai
	yamamai WORD[ 9,   1]: 0.0239717 山繭
TOKEN[10]: 0.0239717    1 Antheraea
	Antheraea WORD[10,   1]: 0.0239717 山繭
TOKEN[11]: 0.0235214    1 pongee
	pongee WORD[11,   1]: 0.0235214 繭紬
TOKEN[12]: 0.0222207    1 decoration
	decoration WORD[12,   1]: 0.0222207 繭玉
TOKEN[13]: 0.0210670    1 formed
	formed WORD[13,   1]: 0.0210670 玉繭
TOKEN[14]: 0.0191492    1 double
	double WORD[14,   1]: 0.0191492 玉繭
TOKEN[15]: 0.0182187    1 oak
	oak WORD[15,   1]: 0.0182187 山繭
TOKEN[16]: 0.0167607    1 waste
	waste WORD[16,   1]: 0.0167607 屑繭
TOKEN[17]: 0.0166327    1 thread
	thread WORD[17,   1]: 0.0166327 繭糸
TOKEN[18]: 0.0147959    1 two
	two WORD[18,   1]: 0.0147959 玉繭
TOKEN[19]: 0.0147579    1 bad
	bad WORD[19,   1]: 0.0147579 屑繭
TOKEN[20]: 0.0099356    1 Japanese
	Japanese WORD[20,   1]: 0.0099356 山繭
