Summary: {Weight} {token}: {words[0:10]}
0.1650499    8 rise           : 暴騰, 昂騰, 高騰, 急騰, 騰落, 反騰, 騰貴, 続騰
0.0687715    5 price          : 奔騰, 反騰, 騰貴, 続騰, 急騰
0.0585918    4 sharp          : 暴騰, 昂騰, 高騰, 急騰
0.0529599    3 soaring        : 沸騰, 昂騰, 高騰
0.0483977    3 sudden         : 暴騰, 奔騰, 急騰
0.0456873    2 boom           : 暴騰, 奔騰
0.0396215    1 continued      : 続騰
0.0366421    2 substantial    : 昂騰, 高騰
0.0308994    2 steep          : 昂騰, 高騰
0.0296931    2 jump           : 奔騰, 急騰
0.0287050    1 seething       : 沸騰
0.0282349    2 advance        : 騰貴, 続騰
0.0273952    1 upward         : 騰勢
0.0267012    2 increase       : 昂騰, 高騰
0.0261463    1 trend          : 騰勢
0.0244001    1 reactionary    : 反騰
0.0230823    1 fermentation   : 沸騰
0.0217771    1 soar           : 奔騰
0.0216100    1 agitation      : 沸騰
0.0200014    1 debate         : 沸騰
0.0196069    1 excitement     : 沸騰
0.0192956    1 fall           : 騰落
0.0192021    1 shooting       : 沸騰
0.0189076    1 boiling        : 沸騰
0.0189039    1 ride           : 奔騰
0.0178935    1 appreciation   : 騰貴
0.0165852    1 becoming       : 沸騰
0.0160202    1 value          : 騰貴
0.0158741    1 surge          : 急騰
0.0133434    1 market         : 続騰

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1650499    8 rise
	rise WORD[ 1,   1]: 0.0311899 暴騰
	rise WORD[ 1,   2]: 0.0242106 昂騰
	rise WORD[ 1,   3]: 0.0242106 高騰
	rise WORD[ 1,   4]: 0.0236564 急騰
	rise WORD[ 1,   5]: 0.0204257 騰落
	rise WORD[ 1,   6]: 0.0147920 反騰
	rise WORD[ 1,   7]: 0.0136439 騰貴
	rise WORD[ 1,   8]: 0.0129208 続騰
TOKEN[ 2]: 0.0687715    5 price
	price WORD[ 2,   1]: 0.0155865 奔騰
	price WORD[ 2,   2]: 0.0147920 反騰
	price WORD[ 2,   3]: 0.0136439 騰貴
	price WORD[ 2,   4]: 0.0129208 続騰
	price WORD[ 2,   5]: 0.0118282 急騰
TOKEN[ 3]: 0.0585918    4 sharp
	sharp WORD[ 3,   1]: 0.0176965 暴騰
	sharp WORD[ 3,   2]: 0.0137366 昂騰
	sharp WORD[ 3,   3]: 0.0137366 高騰
	sharp WORD[ 3,   4]: 0.0134221 急騰
TOKEN[ 4]: 0.0529599    3 soaring
	soaring WORD[ 4,   1]: 0.0204680 沸騰
	soaring WORD[ 4,   2]: 0.0162460 昂騰
	soaring WORD[ 4,   3]: 0.0162460 高騰
TOKEN[ 5]: 0.0483977    3 sudden
	sudden WORD[ 5,   1]: 0.0175486 暴騰
	sudden WORD[ 5,   2]: 0.0175391 奔騰
	sudden WORD[ 5,   3]: 0.0133100 急騰
TOKEN[ 6]: 0.0456873    2 boom
	boom WORD[ 6,   1]: 0.0228498 暴騰
	boom WORD[ 6,   2]: 0.0228374 奔騰
TOKEN[ 7]: 0.0396215    1 continued
	continued WORD[ 7,   1]: 0.0396215 続騰
TOKEN[ 8]: 0.0366421    2 substantial
	substantial WORD[ 8,   1]: 0.0183211 昂騰
	substantial WORD[ 8,   2]: 0.0183211 高騰
TOKEN[ 9]: 0.0308994    2 steep
	steep WORD[ 9,   1]: 0.0154497 昂騰
	steep WORD[ 9,   2]: 0.0154497 高騰
TOKEN[10]: 0.0296931    2 jump
	jump WORD[10,   1]: 0.0168819 奔騰
	jump WORD[10,   2]: 0.0128112 急騰
TOKEN[11]: 0.0287050    1 seething
	seething WORD[11,   1]: 0.0287050 沸騰
TOKEN[12]: 0.0282349    2 advance
	advance WORD[12,   1]: 0.0145017 騰貴
	advance WORD[12,   2]: 0.0137332 続騰
TOKEN[13]: 0.0273952    1 upward
	upward WORD[13,   1]: 0.0273952 騰勢
TOKEN[14]: 0.0267012    2 increase
	increase WORD[14,   1]: 0.0133506 昂騰
	increase WORD[14,   2]: 0.0133506 高騰
TOKEN[15]: 0.0261463    1 trend
	trend WORD[15,   1]: 0.0261463 騰勢
TOKEN[16]: 0.0244001    1 reactionary
	reactionary WORD[16,   1]: 0.0244001 反騰
TOKEN[17]: 0.0230823    1 fermentation
	fermentation WORD[17,   1]: 0.0230823 沸騰
TOKEN[18]: 0.0217771    1 soar
	soar WORD[18,   1]: 0.0217771 奔騰
TOKEN[19]: 0.0216100    1 agitation
	agitation WORD[19,   1]: 0.0216100 沸騰
TOKEN[20]: 0.0200014    1 debate
	debate WORD[20,   1]: 0.0200014 沸騰
TOKEN[21]: 0.0196069    1 excitement
	excitement WORD[21,   1]: 0.0196069 沸騰
TOKEN[22]: 0.0192956    1 fall
	fall WORD[22,   1]: 0.0192956 騰落
TOKEN[23]: 0.0192021    1 shooting
	shooting WORD[23,   1]: 0.0192021 沸騰
TOKEN[24]: 0.0189076    1 boiling
	boiling WORD[24,   1]: 0.0189076 沸騰
TOKEN[25]: 0.0189039    1 ride
	ride WORD[25,   1]: 0.0189039 奔騰
TOKEN[26]: 0.0178935    1 appreciation
	appreciation WORD[26,   1]: 0.0178935 騰貴
TOKEN[27]: 0.0165852    1 becoming
	becoming WORD[27,   1]: 0.0165852 沸騰
TOKEN[28]: 0.0160202    1 value
	value WORD[28,   1]: 0.0160202 騰貴
TOKEN[29]: 0.0158741    1 surge
	surge WORD[29,   1]: 0.0158741 急騰
TOKEN[30]: 0.0133434    1 market
	market WORD[30,   1]: 0.0133434 続騰
