Summary: {Weight} {token}: {words[0:10]}
0.0783570    2 synthetic      : 合繊, 化繊
0.0704532    2 daikon         : 繊, 巻繊
0.0617784    3 fiber          : 化繊, 合繊, 繊維
0.0526783    1 crescent       : 繊月
0.0398275    1 moon           : 繊月
0.0379498    1 julienne       : 繊
0.0372792    2 delicate       : 繊細, 繊弱
0.0367761    3 fine           : 繊毛, 繊巧, 繊細
0.0313369    1 chemical       : 化繊
0.0308177    1 wrapped        : 巻繊
0.0305542    1 tofu           : 巻繊
0.0303873    1 fried          : 巻繊
0.0260005    1 dried          : 巻繊
0.0257141    1 cilium         : 繊毛
0.0257141    1 cilia          : 繊毛
0.0225266    1 filament       : 繊条
0.0212478    1 fineness       : 繊度
0.0211022    1 burdock        : 巻繊
0.0211022    1 chowder        : 巻繊
0.0205022    1 carrot         : 巻繊
0.0200369    1 stewed         : 巻繊
0.0179954    1 workmanship    : 繊巧
0.0178897    1 sesame         : 巻繊
0.0173656    1 soybean        : 巻繊
0.0171150    1 slender        : 繊手
0.0166111    1 frail          : 繊弱
0.0158073    1 seed           : 巻繊
0.0151532    1 vegetable      : 巻繊
0.0136097    1 oil            : 巻繊
0.0134300    1 dainty         : 繊細
0.0127021    1 subtle         : 繊細
0.0125521    1 black          : 巻繊
0.0122227    1 sensitive      : 繊細
0.0122210    1 textile        : 繊維
0.0118646    1 slim           : 繊細
0.0117106    1 hand           : 繊手
0.0111769    1 great          : 巻繊
0.0101120    1 one            : 繊
0.0092222    1 sense          : 繊細
0.0090967    1 Japanese       : 巻繊

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0783570    2 synthetic
	synthetic WORD[ 1,   1]: 0.0408856 合繊
	synthetic WORD[ 1,   2]: 0.0374713 化繊
TOKEN[ 2]: 0.0704532    2 daikon
	daikon WORD[ 2,   1]: 0.0538545 繊
	daikon WORD[ 2,   2]: 0.0165987 巻繊
TOKEN[ 3]: 0.0617784    3 fiber
	fiber WORD[ 3,   1]: 0.0321874 化繊
	fiber WORD[ 3,   2]: 0.0175602 合繊
	fiber WORD[ 3,   3]: 0.0120308 繊維
TOKEN[ 4]: 0.0526783    1 crescent
	crescent WORD[ 4,   1]: 0.0526783 繊月
TOKEN[ 5]: 0.0398275    1 moon
	moon WORD[ 5,   1]: 0.0398275 繊月
TOKEN[ 6]: 0.0379498    1 julienne
	julienne WORD[ 6,   1]: 0.0379498 繊
TOKEN[ 7]: 0.0372792    2 delicate
	delicate WORD[ 7,   1]: 0.0222736 繊細
	delicate WORD[ 7,   2]: 0.0150057 繊弱
TOKEN[ 8]: 0.0367761    3 fine
	fine WORD[ 8,   1]: 0.0142743 繊毛
	fine WORD[ 8,   2]: 0.0136294 繊巧
	fine WORD[ 8,   3]: 0.0088724 繊細
TOKEN[ 9]: 0.0313369    1 chemical
	chemical WORD[ 9,   1]: 0.0313369 化繊
TOKEN[10]: 0.0308177    1 wrapped
	wrapped WORD[10,   1]: 0.0308177 巻繊
TOKEN[11]: 0.0305542    1 tofu
	tofu WORD[11,   1]: 0.0305542 巻繊
TOKEN[12]: 0.0303873    1 fried
	fried WORD[12,   1]: 0.0303873 巻繊
TOKEN[13]: 0.0260005    1 dried
	dried WORD[13,   1]: 0.0260005 巻繊
TOKEN[14]: 0.0257141    1 cilium
	cilium WORD[14,   1]: 0.0257141 繊毛
TOKEN[15]: 0.0257141    1 cilia
	cilia WORD[15,   1]: 0.0257141 繊毛
TOKEN[16]: 0.0225266    1 filament
	filament WORD[16,   1]: 0.0225266 繊条
TOKEN[17]: 0.0212478    1 fineness
	fineness WORD[17,   1]: 0.0212478 繊度
TOKEN[18]: 0.0211022    1 burdock
	burdock WORD[18,   1]: 0.0211022 巻繊
TOKEN[19]: 0.0211022    1 chowder
	chowder WORD[19,   1]: 0.0211022 巻繊
TOKEN[20]: 0.0205022    1 carrot
	carrot WORD[20,   1]: 0.0205022 巻繊
TOKEN[21]: 0.0200369    1 stewed
	stewed WORD[21,   1]: 0.0200369 巻繊
TOKEN[22]: 0.0179954    1 workmanship
	workmanship WORD[22,   1]: 0.0179954 繊巧
TOKEN[23]: 0.0178897    1 sesame
	sesame WORD[23,   1]: 0.0178897 巻繊
TOKEN[24]: 0.0173656    1 soybean
	soybean WORD[24,   1]: 0.0173656 巻繊
TOKEN[25]: 0.0171150    1 slender
	slender WORD[25,   1]: 0.0171150 繊手
TOKEN[26]: 0.0166111    1 frail
	frail WORD[26,   1]: 0.0166111 繊弱
TOKEN[27]: 0.0158073    1 seed
	seed WORD[27,   1]: 0.0158073 巻繊
TOKEN[28]: 0.0151532    1 vegetable
	vegetable WORD[28,   1]: 0.0151532 巻繊
TOKEN[29]: 0.0136097    1 oil
	oil WORD[29,   1]: 0.0136097 巻繊
TOKEN[30]: 0.0134300    1 dainty
	dainty WORD[30,   1]: 0.0134300 繊細
TOKEN[31]: 0.0127021    1 subtle
	subtle WORD[31,   1]: 0.0127021 繊細
TOKEN[32]: 0.0125521    1 black
	black WORD[32,   1]: 0.0125521 巻繊
TOKEN[33]: 0.0122227    1 sensitive
	sensitive WORD[33,   1]: 0.0122227 繊細
TOKEN[34]: 0.0122210    1 textile
	textile WORD[34,   1]: 0.0122210 繊維
TOKEN[35]: 0.0118646    1 slim
	slim WORD[35,   1]: 0.0118646 繊細
TOKEN[36]: 0.0117106    1 hand
	hand WORD[36,   1]: 0.0117106 繊手
TOKEN[37]: 0.0111769    1 great
	great WORD[37,   1]: 0.0111769 巻繊
TOKEN[38]: 0.0101120    1 one
	one WORD[38,   1]: 0.0101120 繊
TOKEN[39]: 0.0092222    1 sense
	sense WORD[39,   1]: 0.0092222 繊細
TOKEN[40]: 0.0090967    1 Japanese
	Japanese WORD[40,   1]: 0.0090967 巻繊
