Summary: {Weight} {token}: {words[0:10]}
0.0465991    1 sobersided     : 謹厳
0.0385145    1 Sir            : 謹啓
0.0383942    1 hear           : 謹聴
0.0375347    1 conscientious  : 謹直
0.0372625    1 product        : 謹製
0.0351405    1 scrupulous     : 謹直
0.0329076    1 solemn         : 謹厳
0.0329076    1 stern          : 謹厳
0.0312663    1 happiness      : 謹賀
0.0291320    1 grave          : 謹厳
0.0279815    1 discreet       : 謹む
0.0279458    1 made           : 謹製
0.0275239    1 reverent       : 謹む
0.0267778    1 chaste         : 謹む
0.0264650    1 abstain        : 謹む
0.0258308    1 penitence      : 謹慎
0.0256861    1 moderation     : 謹む
0.0252612    1 modesty        : 謹み
0.0242625    1 refrain        : 謹む
0.0235163    1 discretion     : 謹み
0.0234288    1 respectful     : 謹話
0.0231753    1 selected       : 謹選
0.0218708    1 careful        : 謹む
0.0212349    1 self           : 謹慎
0.0208156    1 produced       : 謹製
0.0207180    1 confinement    : 謹慎
0.0205367    1 restraint      : 謹慎
0.0194740    1 listening      : 謹聴
0.0193044    1 listen         : 謹聴
0.0193018    1 discipline     : 謹慎
0.0190915    1 arrest         : 謹慎
0.0188963    1 respect        : 謹告
0.0186294    1 behaviour      : 謹慎
0.0171729    1 care           : 謹製
0.0170313    1 quiet          : 謹聴
0.0168723    1 written        : 謹書
0.0168098    1 quality        : 謹製
0.0157067    1 one            : 謹慎
0.0150189    1 home           : 謹慎
0.0140005    1 house          : 謹慎

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0465991    1 sobersided
	sobersided WORD[ 1,   1]: 0.0465991 謹厳
TOKEN[ 2]: 0.0385145    1 Sir
	Sir WORD[ 2,   1]: 0.0385145 謹啓
TOKEN[ 3]: 0.0383942    1 hear
	hear WORD[ 3,   1]: 0.0383942 謹聴
TOKEN[ 4]: 0.0375347    1 conscientious
	conscientious WORD[ 4,   1]: 0.0375347 謹直
TOKEN[ 5]: 0.0372625    1 product
	product WORD[ 5,   1]: 0.0372625 謹製
TOKEN[ 6]: 0.0351405    1 scrupulous
	scrupulous WORD[ 6,   1]: 0.0351405 謹直
TOKEN[ 7]: 0.0329076    1 solemn
	solemn WORD[ 7,   1]: 0.0329076 謹厳
TOKEN[ 8]: 0.0329076    1 stern
	stern WORD[ 8,   1]: 0.0329076 謹厳
TOKEN[ 9]: 0.0312663    1 happiness
	happiness WORD[ 9,   1]: 0.0312663 謹賀
TOKEN[10]: 0.0291320    1 grave
	grave WORD[10,   1]: 0.0291320 謹厳
TOKEN[11]: 0.0279815    1 discreet
	discreet WORD[11,   1]: 0.0279815 謹む
TOKEN[12]: 0.0279458    1 made
	made WORD[12,   1]: 0.0279458 謹製
TOKEN[13]: 0.0275239    1 reverent
	reverent WORD[13,   1]: 0.0275239 謹む
TOKEN[14]: 0.0267778    1 chaste
	chaste WORD[14,   1]: 0.0267778 謹む
TOKEN[15]: 0.0264650    1 abstain
	abstain WORD[15,   1]: 0.0264650 謹む
TOKEN[16]: 0.0258308    1 penitence
	penitence WORD[16,   1]: 0.0258308 謹慎
TOKEN[17]: 0.0256861    1 moderation
	moderation WORD[17,   1]: 0.0256861 謹む
TOKEN[18]: 0.0252612    1 modesty
	modesty WORD[18,   1]: 0.0252612 謹み
TOKEN[19]: 0.0242625    1 refrain
	refrain WORD[19,   1]: 0.0242625 謹む
TOKEN[20]: 0.0235163    1 discretion
	discretion WORD[20,   1]: 0.0235163 謹み
TOKEN[21]: 0.0234288    1 respectful
	respectful WORD[21,   1]: 0.0234288 謹話
TOKEN[22]: 0.0231753    1 selected
	selected WORD[22,   1]: 0.0231753 謹選
TOKEN[23]: 0.0218708    1 careful
	careful WORD[23,   1]: 0.0218708 謹む
TOKEN[24]: 0.0212349    1 self
	self WORD[24,   1]: 0.0212349 謹慎
TOKEN[25]: 0.0208156    1 produced
	produced WORD[25,   1]: 0.0208156 謹製
TOKEN[26]: 0.0207180    1 confinement
	confinement WORD[26,   1]: 0.0207180 謹慎
TOKEN[27]: 0.0205367    1 restraint
	restraint WORD[27,   1]: 0.0205367 謹慎
TOKEN[28]: 0.0194740    1 listening
	listening WORD[28,   1]: 0.0194740 謹聴
TOKEN[29]: 0.0193044    1 listen
	listen WORD[29,   1]: 0.0193044 謹聴
TOKEN[30]: 0.0193018    1 discipline
	discipline WORD[30,   1]: 0.0193018 謹慎
TOKEN[31]: 0.0190915    1 arrest
	arrest WORD[31,   1]: 0.0190915 謹慎
TOKEN[32]: 0.0188963    1 respect
	respect WORD[32,   1]: 0.0188963 謹告
TOKEN[33]: 0.0186294    1 behaviour
	behaviour WORD[33,   1]: 0.0186294 謹慎
TOKEN[34]: 0.0171729    1 care
	care WORD[34,   1]: 0.0171729 謹製
TOKEN[35]: 0.0170313    1 quiet
	quiet WORD[35,   1]: 0.0170313 謹聴
TOKEN[36]: 0.0168723    1 written
	written WORD[36,   1]: 0.0168723 謹書
TOKEN[37]: 0.0168098    1 quality
	quality WORD[37,   1]: 0.0168098 謹製
TOKEN[38]: 0.0157067    1 one
	one WORD[38,   1]: 0.0157067 謹慎
TOKEN[39]: 0.0150189    1 home
	home WORD[39,   1]: 0.0150189 謹慎
TOKEN[40]: 0.0140005    1 house
	house WORD[40,   1]: 0.0140005 謹慎
