Summary: {Weight} {token}: {words[0:10]}
0.0069352    1 officialdom    : 官公吏
0.0052987    7 view           : 俯瞰, 鳥瞰, 瞥見, 史眼, 史観, 藪睨み, 全図
0.0048643    3 rectification  : 整風, 更正, 整流
0.0047008    1 bullfinch      : 鷽
0.0043185    1 demon          : 魑魅
0.0040281    2 sobbing        : 欷歔, 歔欷
0.0040089    2 gull           : 百合鴎, 鴎
0.0040058    2 devout         : 敬虔, 敬けん
0.0039209    2 castor         : 蓖麻子, 蓖麻
0.0038551    1 duck           : 鶩
0.0038544    5 radical        : 攵, 矯激, 急激, 過激, 気構え
0.0038381    4 domestic       : 鶩, 家禽, 内政, 対内
0.0037314    2 pious          : 敬虔, 敬けん
0.0036999    1 sarsa          : 撒爾沙
0.0035928  127 one            : 攀じ登る, 陽爻, 陰爻, 阿彌陀, 擒, 大學, 斉家, 甦生, 竹篦, 邀える, ...
0.0035200   17 rice           : 粳米, 粳, 枚, 手刈り, 稲刈, 稲刈り, 刈り穂, 刈穂, 草丈, 刈田, ...
0.0034713    1 sarsaparilla   : 撒爾沙
0.0034713    1 Smilax         : 撒爾沙
0.0034346    2 weeping        : 欷歔, 歔欷
0.0032907    1 apple          : 林檎
0.0032837   24 Chinese        : 貔貅, 仭, 橄欖, 鼈甲, 鼈, 桔梗, 州牧, 繁, 経史, 対聯, ...
0.0031735    4 mountain       : 魑魅, 離山, 嵐気, 祭文
0.0031392    1 azalea         : 黐躑躅
0.0030841    2 miserliness    : 悋嗇, 吝嗇
0.0030841    2 parsimony      : 悋嗇, 吝嗇
0.0030614    2 emulate        : 傚う, 倣う
0.0030493    3 imitate        : 傚う, 見倣う, 倣う
0.0030221   33 Japanese       : 鷽, 黐躑躅, 鼈, 鼠黐, 艾, 浄瑠璃, 要黐, 区点, 弖爾乎波, 虎杖, ...
0.0029770    1 mythological   : 和邇
0.0029653    2 stinginess     : 悋嗇, 吝嗇
0.0029368    3 alive          : 生擒, 生禽, 命数
0.0029161    1 intermixture   : 混淆
0.0028922    1 pervasion      : 瀰漫
0.0028377   19 rare           : 希世, 佳肴, 嘉肴, 希土, 類い稀, 類稀, 希書, 希覯, 希, 希有, ...
0.0027982    1 interment      : 斂葬
0.0027188   53 enemy          : 邀え撃つ, 旧敵, 敵船, 公敵, 敵城, 利敵, 敵陣, 敵情, 敵状, 敵襲, ...
0.0027180   47 something      : 生擒, 聞き做す, 生禽, 霊璽, 斃す, 言い做す, 言做す, 贅沢, 敢えて, 敢て, ...
0.0026974    1 trembling      : 恟々
0.0026835    1 permeation     : 瀰漫
0.0026721    4 copy           : 傚う, 見倣う, 倣う, 縮図
0.0026693   11 strike         : 攵, 竹篦, 殴りころす, 殴り殺す, 殴りかかる, 殴り掛かる, 警策, 殴る, 殴りつける, 殴り付ける, ...
0.0026556    7 sea            : 和邇, 熬海鼠, 激浪, 船便, 海図, 海気, 潮気
0.0025843    3 afraid         : 恟々, 気がね, 気兼ね
0.0025797    1 monster        : 和邇
0.0025597    1 bee            : 螫す
0.0025426    5 hail           : 雨霰, 氷霰, 雪霰, 邀える, 霰
0.0025042    3 follow         : 傚う, 見倣う, 倣う
0.0025037   13 ancient        : 匈奴, 仭, 州牧, 古希, 百済, 故実, 斎部, 故い, 古稀, 故事, ...
0.0024993    1 contamination  : 混淆
0.0024711    1 churning       : 攪乳
0.0024697    1 sting          : 螫す
0.0024333    1 wasp           : 螫す
0.0023342    9 right          : 攵, 斃牛馬, 右図, 大丈夫, 激写, 行使, 平気, 気合, 気合い
0.0023329    8 fear           : 恟々, 大丈夫, 恐気, 恐れ気, 怖じ気, 怖気, 気づかい, 気遣い
0.0023078    9 height         : 仭, 千仭, 軒丈, 身の丈, 袖丈, 背丈, 丈, 草丈, 極致
0.0022969    8 rock           : 危巌, 砂紋, 巌松, 奇巌, 巌頭, 巨巌, 巌, 千畳敷
0.0022965    3 depth          : 仭, 千仭, 學ぶ
0.0022690    2 glimpse        : 瞥見, 一瞥
0.0021643    1 olive          : 橄欖
0.0021092   11 animal         : 貔貅, 生擒, 禽獣, 撒き餌, 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁, 野放し, ...
0.0020792    4 mixture        : 混淆, 単離, 交じり気, 混じり気
0.0020634    2 kindheartedness: 敦厚, 敦煌
0.0020541   16 spread         : 瀰漫, 撒き散らす, ばら撒く, 言い散らす, 吹き散らす, 敷き物, 敷物, まき散らす, 散蒔く, 散る, ...
0.0020264    1 verruca        : 疣贅
0.0020228    2 turtle         : 鼈甲, 鼈
0.0020191    2 glance         : 瞥見, 一瞥
0.0019903    2 associated     : 匈奴, 浄瑠璃
0.0019833    2 counter        : 枚, 敗
0.0019645    1 burial         : 斂葬
0.0019496    3 simplicity     : 敦厚, 敦煌, 繁簡
0.0019402   46 someone        : 拉致る, 見倣う, 駁する, 竹篦, 駁撃, 容赦, 赦す, 殴り飛ばす, そば杖, 側杖, ...
0.0019268   86 number         : 版数, 枚数, 俵数, 入り数, 巻数, 便名, 刷数, 陽数, 目数, 罪数, ...
0.0019266    5 arms           : 兵仗, 工廠, 紋章, 紋, 文
0.0019229    1 nomadic        : 匈奴
0.0019066    1 Malus          : 林檎
0.0019035    7 worth          : 匁, 言い甲斐, やり甲斐, 遣り甲斐, 甲斐, 物の数, 文目
0.0019012    1 wart           : 疣贅
0.0018932    2 honesty        : 敦厚, 敦煌
0.0018870   18 paper          : 論攷, 御幣, 大幣, 枚, 故紙, 奉幣, 幣帛, 幣束, 反故, 紙幣, ...
0.0018835    3 bean           : 蓖麻子, 蚊トンボ, 蚊蜻蛉
0.0018600    2 overhead       : 俯瞰, 鳥瞰
0.0018480    1 Eurasian       : 鷽
0.0018343    1 melanterite    : 緑礬
0.0018212   13 death          : 敢死, 斎日, 邀える, 殴りころす, 殴り殺す, 散りぎわ, 散り際, 凶報, 殴殺, 物故, ...
0.0018159   11 mosquito       : 薮蚊, 幌蚊帳, 蚊絶やし, 家蚊, 藪蚊, やぶ蚊, 蚊柱, 蚊取り, 蚊屋, 蚊帳, ...
0.0018134    2 clamber        : 攀じる, 攀じ登る
0.0018044    7 arrogant       : 傲岸, 傲然, 倨傲, 傲慢, 傲る, 野放図, 野放途
0.0017718    8 surprise       : 吃驚, 喫驚, 驚喜, 驚がく, 驚愕, 驚き, 驚かす, 一驚
0.0017608    1 milk           : 攪乳
0.0017581   17 make           : 粳, 言い做す, 言做す, 刈りそろえる, 刈り揃える, 駆けずり回る, 済ます, 攻め寄せる, 攻寄せる, 攻め立てる, ...
0.0017265    4 grain          : 粳, 緻密, 刈り穂, 刈穂
0.0017199    5 haughty        : 傲岸, 傲然, 倨傲, 傲慢, 傲る
0.0017056    2 sincerity      : 敦厚, 敦煌
0.0016958    3 trigram        : 陽爻, 陰爻, 爻
0.0016941    2 g              : 匁, 文目
0.0016907    3 dynasty        : 南斉, 北斉, 吏部
0.0016875   10 seal           : 霊璽, 璽, 御璽, 玉璽, 神璽, 国璽, 印璽, 改印, 籀文, 篆文
0.0016830    1 Artemisia      : 艾
0.0016780   15 great          : 千仭, 大幣, 宏図, 凶害, 希求, 敬服, 大丈夫, 大敵, 数多く, 素敵, ...
0.0016616    3 weapon         : 儀仗, 兇器, 凶器
0.0016565   39 history        : 書史, 校史, 私史, 史略, 語史, 全史, 野史, 秘史, 社史, 偽史, ...
0.0016342    1 cursory        : 瞥見
0.0016317    1 mugwort        : 艾
0.0016314    4 Asian          : 匈奴, 藪茗荷, 数え年, 数え
0.0016286    1 armed          : 兵仗
0.0016176   17 imperial       : 剣璽, 大學, 霊璽, 御璽, 印璽, 斎王, 朝敵, 朝政, 斎院, 太政, ...
0.0016071    1 sprout         : 嫩芽
0.0015895    4 blue           : 胆礬, 琉璃, 瑠璃, 藪蘭
0.0015876   16 life           : 甦生, 働き甲斐, 邀える, 更生, 万丈, 使い倒す, 生き甲斐, 生甲斐, 命数, 惚気話, ...
0.0015565    1 bud            : 嫩芽
0.0015449   17 poor           : 凶歉, 弊村, 不憫, 救貧, 凶歳, 拙攻, 豊凶, 凶荒, 凶作, 不便, ...
0.0015261    5 third          : 陽爻, 陰爻, 三更, 爻, 宿禰
0.0015192    5 tree           : 林檎, 巌松, 便追, 枝刈り, 系図
0.0015096    6 genus          : 薮蚊, 艾, 家蚊, 藪蚊, やぶ蚊, 種数
0.0015043    7 bird           : 禽, 猛禽, 水禽, 琉璃, 瑠璃, 放鳥, 流離
0.0014939    1 toughness      : 靱性
0.0014869    3 scale          : 攀じる, 攀じ登る, 硬鱗
0.0014861    2 dried          : 熬り子, 熬海鼠
0.0014843    7 leaves         : 嫩葉, 搔敷, 舞い散る, 対生, 丁数, 散る, 散り
0.0014817    4 looking        : 俯瞰, 鳥瞰, 敵視, 手離れ
0.0014779    1 lottery        : 阿彌陀
0.0014710    9 trim           : 苅る, 清爽, 刈りそろえる, 刈り揃える, 刈, 刈り込む, 刈込む, 刈る, 整然
0.0014677   11 line           : 陽爻, 陰爻, 阿彌陀, 爻, 改行, 硬軟, 線区, 敵陣, 整列, 文理, ...
0.0014598    8 cane           : 教鞭, 杖術, 鞭, 杖道, 仕込み杖, 仕込杖, 杖, 教べん
0.0014471    5 disturbance    : 變, 紊乱, 紊れ, 攪乱, 政変
0.0014407   10 dead           : 斃牛馬, 霊璽, 斃死, 殴りころす, 殴り殺す, 躯, 殴殺, 深更, 死文, 空文
0.0014398    4 plant          : 蓖麻, 艾, 藪枯らし, 草丈
