Summary: {Weight} {token}: {words[0:10]}
0.0060261    2 chaps          : 皹, 皸
0.0053692   16 asleep         : 寤寐, 夢寐, 寝入る, 寝穢い, 寝ぼける, 寝ぼけ, 寝惚ける, 寝惚け, 寝つく, 寝付く, ...
0.0052385    5 invasion       : 侵冦, 外寇, 来寇, 入寇, 侵害
0.0051052   24 treasure       : 寳, 輪宝, 大宝, 宝船, 宝箱, 名宝, 宝庫, 宝さがし, 宝探し, 霊宝, ...
0.0050155    2 nickname       : 諢名, 渾名
0.0049481    5 green          : 豌豆, 控え室, 控室, 鶯餅, 鶯色
0.0049343    2 lemon          : 檸檬, 搾り汁
0.0049279  258 one            : 踪跡, 寝違い, 元嫁, 渾身, 擡げる, 窄める, 擡頭, 寵姫, 大學, 単字, ...
0.0048558    1 eunuch         : 宦官
0.0044109    5 awake          : 寤寐, 寝ぼける, 寝ぼけ, 寝惚ける, 寝惚け
0.0043432    2 smiling        : 莞然, 莞爾
0.0040444    2 vaginitis      : 腟炎, 膣炎
0.0039600    9 bowl           : 鋺, 飯碗, 汁椀, 碗, 飯椀, 金椀, 茶碗, 椀飯, 椀
0.0038921   18 skin           : 皹, 皸, 直穿き, 完膚, 垢擦り, 抜け殻, 抜殻, 脱け殻, 脱殻, 擦りむく, ...
0.0036459    2 slim           : 窈窕, 擦れ擦れ
0.0036240    3 graceful       : 窈窕, 婉然, 優婉
0.0034822   17 dynasty        : 冢宰, 宋代, 司寇, 宋銭, 唐宋音, 北宋, 宋, 南宋, 宋朝, 宋音, ...
0.0034731   47 Chinese        : 葷酒, 癆痎, 瞑眩, 棕梠, 棕櫚, 倭寇, 和寇, 榕樹, 唐宋音, 腕貫, ...
0.0034355    9 beautiful      : 窈窕, 幽婉, 婉然, 優婉, 耽美, 美容, 麗容, 鶯, 美空
0.0030578    1 bullfinch      : 鷽
0.0029679   55 Japanese       : 樒, 鷽, 雀榕, 六輝, 倭寇, 和寇, 榕, 侘び寂び, 犢鼻褌, 褌, ...
0.0029429    1 fishery        : 漁撈
0.0028471    4 pitfall        : 陥穽, 落し穴, 落とし穴, 陥し穴
0.0028375   13 desolate       : 蕭寥, 索寞, 寂寞, 寥々, 寥寥, 荒寥, 寂然, 寂寂, 寂れる, 寂しい, ...
0.0028138    5 tranquil       : 晏然, 晏如, 閑寂, 従容, 安らか
0.0027699    6 apology        : 詫び状, 詫状, 詫び言, 詫言, 詫びる, 詫び
0.0027263    1 exponentiation : 冪乗
0.0027220    2 vault          : 穹窿, 便壺
0.0026544    4 vaginal        : 膣錠, 膣癌, 膣壁, 膣口
0.0025240    3 hearth         : 竃, 竈突, 家庭
0.0024884   44 imperial       : 勅諚, 優諚, 大學, 宝位, 院宣, 天冠, 帝冠, 勅定, 皇運, 宣, ...
0.0024280    7 power          : 冪乗, 擡頭, 冪, 揮う, 発揮, 富強, 実権
0.0023670    9 calm           : 晏然, 晏如, 宥める, 深沈, 従容, 安康, 安閑, 安らか, 安い
0.0023546    2 pouring        : 滂沱, 瀉下
0.0023527    3 rebuke         : 窘める, 叱咤, 搾る
0.0023231   51 used           : 佗言, 飯碗, 鉈, 飯椀, 大鉈, 萱, 海老錠, 宛て字, 宛字, 借字, ...
0.0023207    5 neck           : 寝違い, 盆の窪, 鶴首, 寝違え, 寝違える
0.0022896   19 cave           : 窖, 落ち窪む, 窪まる, 窪む, 石窟, 仙窟, 岩窟, 巌窟, 洞窟, ほら穴, ...
0.0022597   13 emperor        : 宸襟, 宝位, 院庁, 院宣, 皇運, 院号, 宮居, 中宮, 仙宮, 宝祚, ...
0.0022400    5 alcohol        : 葷酒, 酖溺, 耽溺, 酒害, 酒壺
0.0022369   31 small          : 鋺, 金椀, 盆の窪, 駒寄せ, 小宴, 寡兵, 寡頭, 控えめ, 控え目, 控目, ...
0.0022256   17 quiet          : 幽邃, 静寧, 侘, 侘び, 幽室, 幽寂, 閑寂, 幽窓, 寡黙, 沈黙, ...
0.0021687   18 mound          : 陪冢, 冢, 恋塚, モグラ塚, 土竜塚, 鼻塚, 藁塚, 富士塚, 陪塚, 首塚, ...
0.0021473    6 tofu           : 豆冨, 椀種, 絞り滓, 搾りかす, 豆富, 御殻
0.0020970   43 era            : 寛喜, 長寛, 寛正, 寛徳, 寛弘, 寛元, 寛延, 寛保, 寛和, 寛平, ...
0.0020932    6 trap           : 陥穽, 引き窓, 引窓, 落し穴, 落とし穴, 陥し穴
0.0020613    2 palm           : 棕梠, 棕櫚
0.0020540   11 built          : 聢り, 登り窯, 龍穴, 上宮, 下宮, 中宮, 確り, 行宮, 若宮, 上家, ...
0.0020371    5 metal          : 鋺, 金椀, 額当て, 溶く, 金壺
0.0020325    3 indulgence     : 酖溺, 贖宥, 耽溺
0.0020305   26 letter         : 宸翰, 詫び状, 詫状, 単字, 阿字, 案下, 家書, 青字, 小文字, 別字, ...
0.0020160   13 working        : 聢り, 大宰, 出稼ぎ, 旅稼ぎ, 確り, 稼働, 稼動, 実施, 軍手, 運転, ...
0.0020062   10 coffin         : 寝棺, 石棺, 棺おけ, 棺桶, 木棺, 棺, 納棺, 入棺, 出棺, 容れ物
0.0020032    6 fishing        : 漁撈, 穴釣り, 沈子, 釣り客, 漁家, 空釣り
0.0019709    7 bean           : 豆冨, 鉈豆, 豆富, 豆殻, 餡蜜, 鶯餅, 空豆
0.0019581    9 dreary         : 索寞, 寂寞, 佗しい, 寥々, 寥寥, 荒寥, 侘しい, 侘びしい, 寒々しい
0.0019317    2 curd           : 豆冨, 豆富
0.0019284   11 holding        : 聢り, 控股, 牽制, 手控え, 確り, 懸腕, 寄り倒し, 寄る, 割拠, 在官, ...
0.0019087   20 open           : 開豁, 豁然, 綻びる, 綻ぶ, 綻び, 空き枠, 開管, 草枕, 野宿, 宿題, ...
0.0018963   50 official       : 官宅, 大宰, 官本, 祭官, 冗官, 公館, 位官, 内官, 雲客, 検定, ...
0.0018663    2 State          : 冢宰, 天官
0.0018656    3 ocean          : 南溟, 滄溟, 窮まりない
0.0018610    3 revere         : 崇めたてる, 崇め立てる, 崇める
0.0018582    1 flesh          : 宍
0.0018487    2 glaring        : 眈々, 眈眈
0.0018397    5 retired        : 幽邃, 院庁, 仙宮, 年寄, 年寄り
0.0018294   33 window         : 破窓, 覗き窓, 裏窓, 幽窓, 窓ごし, 窓越し, 窓ふき, 窓拭き, 外窓, 窓口, ...
0.0018290   20 public         : 官宅, 貸し館, 鶯嬢, 情宣, 安寧, 教宣, 治安, 公安, 公演, 内官, ...
0.0018257   30 hole           : 窖, 腕貫, 穿り出す, 下穴, のぞき穴, 覗き穴, 丸穴, 切り窓, 切窓, 風窓, ...
0.0018037    2 secluded       : 幽邃, 深窓
0.0017826   15 banquet        : 御宴, 椀飯, 宴遊, 開宴, 狂宴, 盛宴, 招宴, 祝宴, 酒宴, 賀宴, ...
0.0017765    1 chide          : 窘める
0.0017744    6 watching       : 眈々, 眈眈, 田守, 観察, 蛍狩, 蛍狩り
0.0017739    1 camel          : 駱駝
0.0017636    5 vagina         : 腟, 膣, 窪, 割れ目, 割目
0.0017325    7 favor          : 愛寵, 寵, 恩誼, 恩寵, 君寵, 寵愛, 冥利
0.0017189    5 rain           : 寒雨, 滂沱, 雨冠, 雨宿り, 雨空
0.0017133    2 shelling       : 殻むき, 殻剥き
0.0017096   12 rice           : 粽, 飯碗, 飯椀, 茶碗, 春窮, 田守, 枕飯, もみ殻, 籾殻, 括り枕, ...
0.0017081   17 great          : 滄溟, 宏図, 宏謨, 喧噪, 喧騒, 巨富, 貧窮, 凶害, 大宝, 大害, ...
0.0017033    1 reprove        : 窘める
0.0017024   29 going          : 失踪, 蜿々, 蜿蜒, 蜿蜿, 家飲み, 仕事帰り, 宵寝, 通院, 帰宅, 窓ごし, ...
0.0016567    1 Procyon        : 浣熊
0.0016286    2 expectoration  : 喀出, 喀痰
0.0016263    4 furnace        : 竃, 官窯, 窯, 竈突
0.0016217    6 animal         : 宍, 窮鼠, 害獣, 糞害, 空胞, 空音
0.0016074    1 churning       : 攪乳
0.0015910    3 barren         : 蕭寥, 寥々, 寥寥
0.0015849   37 period         : 八宗, 村掟, 陪冢, 盆の窪, 守宮, 蜜月, 陪塚, 狩衣, 宝丹, 間宿, ...
0.0015757    1 anise          : 樒
0.0015757    1 Illicium       : 樒
0.0015626   29 sky            : 穹窿, 蒼穹, 窺く, 夕空, 雨空, 梅雨空, 天宮, 碧空, 夏空, 朝空, ...
0.0015384    1 pungent        : 葷酒
0.0015371    7 respect        : 崇めたてる, 崇め立てる, 崇める, 案下, 宿禰, 欠字, 闕字
0.0015223    4 cellar         : 窖, 穴ぐら, 穴倉, 穴蔵
0.0015205   10 chance         : 眈々, 眈眈, 窺う, 運まかせ, 運任せ, 牢人, 機運, 運, 寝だめ, 寝溜め
0.0015070    2 fierce         : 叱咤, 獰猛
0.0014837    1 raccoon        : 浣熊
0.0014821    2 debauchery     : 酖溺, 耽溺
0.0014787    5 fusion         : 鎔解, 熔融, 熔解, 溶融, 溶解
0.0014746   17 gather         : 綰ねる, 窺う, 察知, 搾る, 搾り上げる, 狩る, 狩り集める, 持ち寄る, 寄り合う, 寄合う, ...
0.0014653    4 serpentine     : 蜿々, 蜿蜒, 蜿蜿, 蛇体
0.0014607    1 meat           : 宍
0.0014572    7 hemp           : 棕梠, 棕櫚, 苧殻, 苧, 苧環, 麻の実, 麻実
0.0014535    1 vaulted        : 穹窿
0.0014473   28 residence      : 官宅, 仮寓, 舎宅, 寄寓, 本宅, 別宅, 私宅, 旧宅, 居宅, 桐壺, ...
0.0014455   11 jurisdiction   : 分轄, 所轄, 管轄, 大宰府, 管外, 管内, 管下, 帰属, 専管, 所管, ...
0.0014443    1 garlic         : 葷酒
0.0014381    9 false          : 冤罪, 冤枉, 蛇苺, 無実, 実否, 空泣き, 空々しい, 空空しい, 空名
0.0014354   10 solution       : 鎔解, 溶体, 熔解, 溶剤, 溶解, 溶液, 濃縮, 割り切る, 割切る, 割り切り
0.0014293   11 sea            : 滄溟, 雀榕, 榕, 鮟鱇, 介殻, 陸海空軍, 塩害, 竜宮, 龍宮, 海蛇, ...
0.0014215   11 control        : 統轄, 直轄, 総轄, 管轄, 下げ舵, 上げ舵, 特管, 管制, 管領, 管理, ...
0.0014162    1 bundle         : 綰ねる
0.0014150    8 friendship     : 旧誼, 友誼, 誼, 誼み, 好誼, 厚誼, 交誼, 親密
0.0014135    1 hornworm       : 螟蛉
0.0014009    5 melting        : 鎔解, 熔融, 熔解, 溶融, 溶解
0.0013981    5 sexagenary     : 甲寅, 壬寅, 庚寅, 丙寅, 戊寅
0.0013929    4 tablet         : 膣錠, 錠剤, 錠, 算額
0.0013922    3 sinuous        : 蜿々, 蜿蜒, 蜿蜿
0.0013828   15 become         : 窶れる, 淀む, 窪まる, 窪む, 寂れる, 錯綜, 溶ろける, 窮する, 寝入る, 沈む, ...
0.0013776   15 burial         : 陪冢, 恋塚, 鼻塚, 甕棺, 冢, 陪塚, 首塚, 耳塚, 高塚, 墓室, ...
0.0013762    2 rose           : 芙蓉, 無窮花
0.0013697    2 dissipation    : 酖溺, 耽溺
0.0013688   32 plan           : 宏図, 宏謨, 改案, 具案, 按ずる, 按じる, 牽く, 考按, 本案, 方案, ...
0.0013664   20 traditional    : 癆痎, 嫁祝い, 犢鼻褌, 褌, 料亭, 按摩, 枳実, 旅館, 壺庭, 宿敵, ...
0.0013578    3 hesitation     : 豁然, 淀, 淀み
0.0013475    2 anchor         : 碇綱, 碇
0.0013460    5 cycle          : 甲寅, 壬寅, 庚寅, 丙寅, 戊寅
0.0013418    1 tuberculosis   : 癆痎
0.0013351    3 kink           : 寝違い, 縮れ, 寝違え
0.0013351   12 grass          : 綿菅, 浜菅, 刈萱, 茅萱, 萱, 萱ぶき, 萱葺, 萱葺き, 草冠, 草枕, ...
0.0013318    1 dome           : 穹窿
0.0013318    3 allegory       : 寓喩, 寓言, 寓話
0.0013267    7 cotton         : 芙蓉, 綿菅, 犢鼻褌, 褌, 縮み織り, 軍手, 縮み
0.0013252   51 government     : 官本, 大宰, 大學, 役宅, 寮, 官禄, 院政, 軍政, 院, 被管, ...
0.0013216    5 dissolution    : 鎔解, 熔解, 溶食, 溶存, 溶解
0.0013201    4 dissolving     : 鎔解, 熔解, 溶存, 溶解
