Summary: {Weight} {token}: {words[0:10]}
0.1481901    1 stool          : 床几
0.0694639    1 camp           : 床几
0.0684829    1 folding        : 床几
0.0609594    1 methodical     : 几帳面
0.0606152    1 screen         : 几帳
0.0570477    1 armrest        : 几
0.0549891    1 punctual       : 几帳面
0.0522131    1 rounded        : 几帳面
0.0484463    1 precise        : 几帳面
0.0471448    1 desk           : 几
0.0458921    1 scrupulous     : 几帳面
0.0455627    1 meticulous     : 几帳面
0.0394115    1 table          : 几
0.0372834    1 regular        : 几帳面
0.0365058    1 corner         : 几帳面
0.0336222    1 post           : 几帳面
0.0327089    1 wooden         : 几帳面
0.0324738    1 running        : 几帳面
0.0289873    1 side           : 几帳面

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1481901    1 stool
	stool WORD[ 1,   1]: 0.1481901 床几
TOKEN[ 2]: 0.0694639    1 camp
	camp WORD[ 2,   1]: 0.0694639 床几
TOKEN[ 3]: 0.0684829    1 folding
	folding WORD[ 3,   1]: 0.0684829 床几
TOKEN[ 4]: 0.0609594    1 methodical
	methodical WORD[ 4,   1]: 0.0609594 几帳面
TOKEN[ 5]: 0.0606152    1 screen
	screen WORD[ 5,   1]: 0.0606152 几帳
TOKEN[ 6]: 0.0570477    1 armrest
	armrest WORD[ 6,   1]: 0.0570477 几
TOKEN[ 7]: 0.0549891    1 punctual
	punctual WORD[ 7,   1]: 0.0549891 几帳面
TOKEN[ 8]: 0.0522131    1 rounded
	rounded WORD[ 8,   1]: 0.0522131 几帳面
TOKEN[ 9]: 0.0484463    1 precise
	precise WORD[ 9,   1]: 0.0484463 几帳面
TOKEN[10]: 0.0471448    1 desk
	desk WORD[10,   1]: 0.0471448 几
TOKEN[11]: 0.0458921    1 scrupulous
	scrupulous WORD[11,   1]: 0.0458921 几帳面
TOKEN[12]: 0.0455627    1 meticulous
	meticulous WORD[12,   1]: 0.0455627 几帳面
TOKEN[13]: 0.0394115    1 table
	table WORD[13,   1]: 0.0394115 几
TOKEN[14]: 0.0372834    1 regular
	regular WORD[14,   1]: 0.0372834 几帳面
TOKEN[15]: 0.0365058    1 corner
	corner WORD[15,   1]: 0.0365058 几帳面
TOKEN[16]: 0.0336222    1 post
	post WORD[16,   1]: 0.0336222 几帳面
TOKEN[17]: 0.0327089    1 wooden
	wooden WORD[17,   1]: 0.0327089 几帳面
TOKEN[18]: 0.0324738    1 running
	running WORD[18,   1]: 0.0324738 几帳面
TOKEN[19]: 0.0289873    1 side
	side WORD[19,   1]: 0.0289873 几帳面
