Summary: {Weight} {token}: {words[0:10]}
0.0204082    1 annihilation   : 剿滅
0.0156570    5 counter        : 刎, 列, 切り, 切, 切れ
0.0133955    6 cleavage       : 劈開, 等割, 表割, 盤割, 全割, 卵割
0.0132614  123 sword          : 劍, 大太刀, 錆刀, 刀創, 一刀, 倶利迦羅, 刀刃, 剣形, 魔剣, 大剣, ...
0.0101560    2 revision       : 刪修, 刪定
0.0090232    9 scrape         : 刮げ取る, 刮ぐ, 刮げる, 削り出す, 削り落とす, 削ぎ落とす, 削りとる, 削り取る, 創
0.0088701   30 blade          : 劍, 替え刃, 替刃, 一刀, 刀刃, 刃こぼれ, 刃毀れ, 割創, 刃文, もろ刃, ...
0.0077752  158 one            : 一劃, 自剄, 劍, 剋, 劃期, 歳刑, 自刎, 剃髪, 神剣, 削ぐ, ...
0.0076591    2 slitting       : 自剄, 自刎
0.0072507    2 reform         : 刪修, 刷新
0.0072090    4 autopsy        : 剖検, 解剖, 腑分, 腑分け
0.0065149   10 shave          : 刮ぐ, 刮げる, 深剃り, 剃り上げる, 剃り落とす, 剃る, 削りとる, 削り取る, 削ぐ, 削る
0.0062200    3 animated       : 溌剌, 潑剌, 溌刺
0.0060020   21 publication    : 近刊, 終刊, 発刊, 刊, 続刊, 初刊, 創刊, 廃刊, 年刊, 日刊, ...
0.0058429   11 shaving        : 中剃り, 剃毛, 剃り跡, 剃り残し, ひげ剃り, 髭剃り, 逆剃り, 剃髪, 削ぎ切り, 削り, ...
0.0058372   13 ticket         : ただ券, 通し券, 本券, 舟券, 車券, 半券, 質券, 馬券, 発券, 食券, ...
0.0057490    3 throat         : 自剄, 自刎, 刺
0.0056444    6 suicide        : 自剄, 自刎, 自刃, 腹切, 腹切り, 切腹
0.0056037    3 vivid          : 溌剌, 潑剌, 溌刺
0.0055067   14 printing       : 本刷り, 刷了, 刷版, 増し刷り, 墨刷り, 刷り上げる, 縮刷, 色刷, 色刷り, 手刷り, ...
0.0054885    3 vigorous       : 溌剌, 潑剌, 溌刺
0.0053564    1 adequacy       : 剴切
0.0053564    1 appropriateness: 剴切
0.0050254    1 aptness        : 剴切
0.0049268    1 necropsy       : 剖検
0.0049144    3 surgical       : 剔出, 執刀, 切除
0.0046944    1 relevance      : 剴切
0.0044110  188 cut            : 削り出す, 剪除, 刀創, 刈りそろえる, 刈り揃える, 切創, 削り代, 刈り込む, 刈込む, 刈り干す, ...
0.0043334    4 free           : ただ券, ふり切る, 振り切る, 振切る
0.0040152    3 removal        : 剔出, 羅切, 切除
0.0040016    1 exposure       : 剔出
0.0035419    3 shearing       : 剪毛, 剪断, 毛刈り
0.0033724   80 cutting        : 剋, 剪除, 削蹄, 削り代, 手刈り, 毛刈り, 刈り上げる, 刃物, 入刀, 削ぎ切り, ...
0.0033410    1 shears         : 剪刀
0.0032902    1 cholera        : 虎列剌
0.0032255    9 swordsmanship  : 劍, 秘剣, 剣法, 剣術, 剣技, 剣, 太刀筋, 太刀さばき, 太刀捌き
0.0032092    2 ovipositor     : 劍, 剣
0.0032081    5 bayonet        : 劍, 銃剣, 刀剣, 着剣, 剣
0.0031655    3 dissection     : 解剖, 腑分, 腑分け
0.0031518    1 scissors       : 剪刀
0.0031425    1 ambidexter     : 両利き
0.0031425    1 ambidexterity  : 両利き
