Summary: {Weight} {token}: {words[0:10]}
0.0204797    3 hairpin        : 笄, 平打, 平打ち
0.0204082    1 duckweed       : 青萍
0.0131989    7 horse          : 駻馬, 馬鐸, 悍馬, 初午, 竿立ち, 一汗, 汗馬
0.0116515    2 papilionaceous : 蝶型, 蝶形
0.0111468    2 lever          : 槓桿, 槓杆
0.0109927    1 testes         : 睾丸
0.0108195    1 bacillus       : 桿菌
0.0107238    1 bookmark       : 栞
0.0106534    1 fusiform       : 錘形
0.0098245    2 serious        : 摯実, 真摯
0.0096843    1 guidebook      : 栞
0.0094155    1 testicle       : 睾丸
0.0093614    2 snore          : 大鼾, 鼾
0.0091940    1 mutual         : 扞格
0.0091240    8 rod            : 杆体, のべ竿, 延べ竿, 継ぎ竿, 継竿, 釣り竿, 釣竿, 竿
0.0089991    1 apple          : 苹果
0.0088068    3 halibut        : 大鮃, 鮃, 平目
0.0086373    8 drought        : 旱害, 旱天, 旱, 旱魃, 干害, 干天, 干ばつ, 干魃
0.0084053    1 honest         : 摯実
0.0072894    2 loud           : 大鼾, 高鼾
0.0069498    2 mallet         : 杵柄, 杵
0.0067271    1 cell           : 杆体
0.0064898   59 shape          : 杆体, 何型, 葉形, 剣形, 口許, 扁形, 卵型, 樹形, 卵形, くさび形, ...
0.0061693    1 incompatibility: 扞格
0.0061077    1 pounder        : 杵
0.0057864    4 bell           : 馬鐸, 鐸, 木鐸, 風鐸
0.0055865   21 publication    : 近刊, 終刊, 発刊, 刊, 続刊, 初刊, 年刊, 廃刊, 日刊, 創刊, ...
0.0055095    1 pestle         : 杵
0.0054066    7 eaves          : 軒丈, 軒端, 風鐸, 軒灯, 軒下, 軒先, 軒
0.0052883    2 unruly         : 駻馬, 悍馬
0.0052138    1 Malus          : 苹果
0.0051769    1 ugliness       : 妍醜
0.0051498   98 year           : 何年, 年暮れ, 午年, 一年, 刊, 生まれ年, 暦年, 平年, あくる年, 明くる年, ...
0.0050449    1 rejection      : 扞格
0.0048809    1 culm           : 稈
0.0048544    2 unmanageable   : 駻馬, 悍馬
0.0047216    2 unbroken       : 駻馬, 悍馬
0.0047145    4 beauty         : 妍醜, 妍, 美形, 形勝
0.0046937    1 incessant      : 絡繹
0.0046087   12 balance        : 捩り秤, 竿秤, ばね秤, 発条秤, 扛秤, 棹秤, 皿秤, 天秤, 竿, 衡平, ...
0.0045946    1 Hippoglossus   : 大鮃
0.0045881   21 sweat          : 汗止め, 吸汗, 手汗, 汗拭き, 大汗, 汗血, 汗臭い, 油汗, 脂汗, 流汗, ...
0.0043440    1 constant       : 絡繹
0.0043184    6 research       : 落研, 卒研, 癌研, 総研, 研究, 技研
0.0041164   24 dry            : 旱天, 旱, 旱魃, 部屋干し, 干からびる, 干枯らびる, 干涸びる, 干し固める, 刈り干す, 干し草, ...
0.0039674    3 traffic        : 絡繹, 整形, 開通
0.0039549    2 slim           : 嬋妍, 薄型
0.0039083   11 ground         : 軒丈, 啓蟄, 建て坪, 建坪, 地坪, 干し場, 干場, 平場, 平地, 地平, ...
0.0038853    1 stream         : 絡繹
0.0038408    2 railway        : 驛, 開通
0.0038139    2 thing          : 烏滸, 奸邪
0.0036189    1 graceful       : 嬋妍
0.0036152    2 station        : 驛, 開局
0.0035761    6 weather        : 旱天, 旱, 旱魃, 干天, 干ばつ, 干魃
0.0034689    1 stem           : 稈
0.0033736    2 hollow         : 稈, 穴開き
0.0033719    5 cunning        : 奸黠, 奸, 奸知, 奸物, 奸智
0.0033366   12 luck           : 僥倖, 倖せ, 不幸せ, こぼれ幸い, 零れ幸い, 僥幸, 幸せ, 幸い, 幸運, 幸, ...
0.0033103    3 fruit          : 苹果, 裏年, 開花
