Summary: {Weight} {token}: {words[0:10]}
0.1276691    3 food           : 乞児, 行乞, 乞食
0.1039313    8 begging        : 乞児, 行乞, 乞食, 命乞, 命乞い, もの乞い, 物乞, 物乞い
0.0693674    6 beggar         : 乞児, 乞食, 乞丐, もの乞い, 物乞, 物乞い
0.0576223    2 ask            : 乞う, 行乞
0.0568190    3 beg            : 乞う, 乞い受ける, 乞い願う
0.0537243    1 alms           : 行乞
0.0495866    1 going          : 行乞
0.0441820    3 request        : 乞う, 乞い願う, 乞い
0.0378583    1 pray           : 乞う
0.0372429    2 meditation     : 乞児, 乞食
0.0368075    1 invite         : 乞う
0.0360745    2 hall           : 乞児, 乞食
0.0351266    2 Zen            : 乞児, 乞食
0.0342076    2 serving        : 乞児, 乞食
0.0340395    1 wish           : 乞う
0.0289794    2 temple         : 乞児, 乞食
0.0189830    1 round          : 行乞
0.0180332    2 life           : 命乞, 命乞い
0.0153734    2 pleading       : 命乞, 命乞い
0.0118294    2 saying         : 暇乞, 暇乞い
0.0105089    1 receive        : 乞い受ける
0.0100570    2 one            : 命乞, 命乞い
0.0097969    2 leave          : 暇乞, 暇乞い
0.0090965    1 bum            : 乞丐
0.0085987    1 beseech        : 乞い願う
0.0085427    2 work           : 暇乞, 暇乞い
0.0079784    1 entreat        : 乞い願う
0.0079784    1 implore        : 乞い願う
0.0076746    1 entreaty       : 乞い
0.0071310    1 praying        : 雨乞い
0.0051793    1 rain           : 雨乞い

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1276691    3 food
	food WORD[ 1,   1]: 0.0496778 乞児
	food WORD[ 1,   2]: 0.0491656 行乞
	food WORD[ 1,   3]: 0.0144128 乞食
TOKEN[ 2]: 0.1039313    8 begging
	begging WORD[ 2,   1]: 0.0271420 乞児
	begging WORD[ 2,   2]: 0.0268622 行乞
	begging WORD[ 2,   3]: 0.0078746 乞食
	begging WORD[ 2,   4]: 0.0071579 命乞
	begging WORD[ 2,   5]: 0.0071579 命乞い
	begging WORD[ 2,   6]: 0.0066207 もの乞い
	begging WORD[ 2,   7]: 0.0066207 物乞
	begging WORD[ 2,   8]: 0.0066207 物乞い
TOKEN[ 3]: 0.0693674    6 beggar
	beggar WORD[ 3,   1]: 0.0267428 乞児
	beggar WORD[ 3,   2]: 0.0077588 乞食
	beggar WORD[ 3,   3]: 0.0075371 乞丐
	beggar WORD[ 3,   4]: 0.0065233 もの乞い
	beggar WORD[ 3,   5]: 0.0065233 物乞
	beggar WORD[ 3,   6]: 0.0065233 物乞い
TOKEN[ 4]: 0.0576223    2 ask
	ask WORD[ 4,   1]: 0.0344971 乞う
	ask WORD[ 4,   2]: 0.0231253 行乞
TOKEN[ 5]: 0.0568190    3 beg
	beg WORD[ 5,   1]: 0.0374813 乞う
	beg WORD[ 5,   2]: 0.0122144 乞い受ける
	beg WORD[ 5,   3]: 0.0071233 乞い願う
TOKEN[ 6]: 0.0537243    1 alms
	alms WORD[ 6,   1]: 0.0537243 行乞
TOKEN[ 7]: 0.0495866    1 going
	going WORD[ 7,   1]: 0.0495866 行乞
TOKEN[ 8]: 0.0441820    3 request
	request WORD[ 8,   1]: 0.0320153 乞う
	request WORD[ 8,   2]: 0.0060844 乞い願う
	request WORD[ 8,   3]: 0.0060824 乞い
TOKEN[ 9]: 0.0378583    1 pray
	pray WORD[ 9,   1]: 0.0378583 乞う
TOKEN[10]: 0.0372429    2 meditation
	meditation WORD[10,   1]: 0.0235677 乞児
	meditation WORD[10,   2]: 0.0068376 乞食
TOKEN[11]: 0.0368075    1 invite
	invite WORD[11,   1]: 0.0368075 乞う
TOKEN[12]: 0.0360745    2 hall
	hall WORD[12,   1]: 0.0228283 乞児
	hall WORD[12,   2]: 0.0066231 乞食
TOKEN[13]: 0.0351266    2 Zen
	Zen WORD[13,   1]: 0.0222285 乞児
	Zen WORD[13,   2]: 0.0064491 乞食
TOKEN[14]: 0.0342076    2 serving
	serving WORD[14,   1]: 0.0216470 乞児
	serving WORD[14,   2]: 0.0062803 乞食
TOKEN[15]: 0.0340395    1 wish
	wish WORD[15,   1]: 0.0340395 乞う
TOKEN[16]: 0.0289794    2 temple
	temple WORD[16,   1]: 0.0183385 乞児
	temple WORD[16,   2]: 0.0053205 乞食
TOKEN[17]: 0.0189830    1 round
	round WORD[17,   1]: 0.0189830 行乞
TOKEN[18]: 0.0180332    2 life
	life WORD[18,   1]: 0.0090166 命乞
	life WORD[18,   2]: 0.0090166 命乞い
TOKEN[19]: 0.0153734    2 pleading
	pleading WORD[19,   1]: 0.0076867 命乞
	pleading WORD[19,   2]: 0.0076867 命乞い
TOKEN[20]: 0.0118294    2 saying
	saying WORD[20,   1]: 0.0059147 暇乞
	saying WORD[20,   2]: 0.0059147 暇乞い
TOKEN[21]: 0.0105089    1 receive
	receive WORD[21,   1]: 0.0105089 乞い受ける
TOKEN[22]: 0.0100570    2 one
	one WORD[22,   1]: 0.0050285 命乞
	one WORD[22,   2]: 0.0050285 命乞い
TOKEN[23]: 0.0097969    2 leave
	leave WORD[23,   1]: 0.0048985 暇乞
	leave WORD[23,   2]: 0.0048985 暇乞い
TOKEN[24]: 0.0090965    1 bum
	bum WORD[24,   1]: 0.0090965 乞丐
TOKEN[25]: 0.0085987    1 beseech
	beseech WORD[25,   1]: 0.0085987 乞い願う
TOKEN[26]: 0.0085427    2 work
	work WORD[26,   1]: 0.0042714 暇乞
	work WORD[26,   2]: 0.0042713 暇乞い
TOKEN[27]: 0.0079784    1 entreat
	entreat WORD[27,   1]: 0.0079784 乞い願う
TOKEN[28]: 0.0079784    1 implore
	implore WORD[28,   1]: 0.0079784 乞い願う
TOKEN[29]: 0.0076746    1 entreaty
	entreaty WORD[29,   1]: 0.0076746 乞い
TOKEN[30]: 0.0071310    1 praying
	praying WORD[30,   1]: 0.0071310 雨乞い
TOKEN[31]: 0.0051793    1 rain
	rain WORD[31,   1]: 0.0051793 雨乞い
