Summary: {Weight} {token}: {words[0:10]}
0.0285023    2 radical        : 囗, 国構え
0.0215337   17 diagram        : 圖解, 本図, 左図, 上図, 右図, 付図, 附図, 流れ図, 下図, 図面, ...
0.0195989   11 illustration   : 圖解, 左図, 上図, 右図, 挿図, 下図, 図版, 図説, 図解, 図, ...
0.0192807    2 explanatory    : 圖解, 図解
0.0185694   26 garden         : 圃場, バラ園, 薔薇園, 花圃, 緑園, 退園, 名園, 園庭, 閉園, 園地, ...
0.0183896    3 box            : 囗, 囲み, 国構え
0.0162546   79 country        : 囗, 國, 國家, 国君, 蕃国, 本国, お国, 奴国, 家国, 国中, ...
0.0160924    1 decoy          : 囮
0.0145760   10 prisoner       : 獄囚, 虜囚, 囚徒, 免囚, 俘囚, 男囚, 女囚, 囚われる, 囚人, 囚
0.0143212    9 circle         : 圓, 大圏, 圏, 団らん, 団欒, 団居, 襟回り, 回る, 内回り
0.0139536    1 stool          : 囮
0.0137355    1 monetary       : 圓
0.0129003    1 yen            : 圓
0.0125042   29 Japanese       : 圓, 國語, 俘囚, 圏点, 団扇海老, 音図, 国鱒, 四十雀, 梅園, 布団, ...
0.0109324    1 unit           : 圓
0.0098811   23 four           : 四神, 四魔, 四隅, 四恩, 四維, 四大, 四つ角, 四時, 四民, 四足, ...
0.0087637    2 rose           : バラ園, 薔薇園
0.0085184    1 seedbed        : 苗圃
0.0083376    5 nursery        : 苗圃, 登園, 入園, 通園, 園長
0.0075154   21 cause          : 誘因, 近因, 善因, 遠因, 副因, 成因, 勝因, 偶因, 悪因, 要因, ...
0.0072089    1 pigeon         : 囮
0.0068451    3 field          : 圃場, 田圃, 図鑑
0.0068251    4 orchard        : 圃場, 梅園, 桃園, 園
0.0063851    1 lure           : 囮
0.0060255    1 hunting        : 囮
0.0058901    1 trap           : 囮
0.0056659    5 trouble        : 困りごと, 困り事, 四魔, 困り者, 困難
0.0056030    4 convict        : 囚徒, 男囚, 女囚, 囚人
0.0054822    2 cultivated     : 圃場, 田園
0.0053092   14 land           : 圃場, 國, 図南, 田園, 国つ神, 国津神, 旧国, 他国, 神国, 生国, ...
0.0050014    9 region         : 商圏, 國, 圏外, 圏内, 国方, 中国, 暖国, 国名, 国
0.0049980    4 captive        : 虜囚, 俘囚, 囚われ, 囚
0.0048950   66 national       : 國語, 國, 国言葉, 国恥, 国蝶, 国警, 国都, 国難, 国典, 鎖国, ...
0.0046864    2 suzerain       : 宗国, 本国
0.0045784   11 area           : 商圏, 圏外, 圏内, 圏, 居回り, 囲い, 襟回り, 両国, 水回り, 足回り, ...
0.0043778   25 state          : 宗国, 國家, 國, 四維, 国礎, 家国, 肇国, 旗国, 属国, 国璽, ...
0.0043065    2 farm           : 田圃, 農園
0.0042457    1 paddy          : 田圃
0.0041802    2 prison         : 囚役, 囚衣
0.0041620   16 park           : 来園, 閉園, 退園, 園地, 園路, 開園, 霊園, 遊園, 入園, 庭園, ...
0.0041242    3 influence      : 圏域, 圏外, 圏内
0.0040151    4 language       : 國語, 国言葉, 国訳, 国語
0.0039706    6 surroundings   : 外囲, 居回り, 四囲, 周囲, 四方, 周回
0.0038103    3 worried        : 困ずる, 困じる, 困り顔
0.0037412    3 sphere         : 圏外, 商圏, 圏内
0.0036898   14 kindergarten   : 退園, 卒園, 来園, 園舎, 園庭, 在園, 登園, 廃園, 入園, 通園, ...
0.0036844    1 captivity      : 捕囚
0.0035059   14 native         : 國語, 固有, 国方, お国, 旧国, 国語, 生国, 郷国, 国もと, 国元, ...
0.0035029   65 one            : 國語, 四恩, 一因, 居回り, 勝因, 因, 固持, 四王天, 疑団, 国方, ...
0.0034208   23 Japan          : 國語, 國, 四民, 国生み, 国産み, 奴国, 経団連, 四国, お国, 三国, ...
0.0034201    4 imprisonment   : 幽囚, 囚われ, 囚, 禁固
0.0034048    8 measurement    : 頭囲, 胴囲, 腰囲, 胸囲, 胸回り, 首回り, 腰回り, 胴回り
0.0033777    2 Britain        : 英國, 英国
0.0033673    4 corporation    : 民団, 社団, 公団, 営団
0.0032917    4 problem        : 困りごと, 困り事, たらい回し, 盥回し
0.0032540    2 worry          : 困りごと, 困り事
0.0032324    2 exhausted      : 困ずる, 困じる
0.0032132    4 fan            : 団扇海老, 渋団扇, 羽団扇, 団扇
0.0032107    7 fence          : 板囲い, 囲障, 囲い込む, 外囲い, 囲む, 囲う, 囲い
0.0031482    1 chain          : 紀伊國屋
0.0031360   10 used           : 六国, 圏点, 羅国, 布団, 蒲団, 四手, 回天, 取り回し, 取回し, 国名
0.0031164    4 range          : 圏外, 圏内, 圏, 範囲
0.0031037    2 periphery      : 外囲, 四周
0.0030287    2 incense        : 六国, 羅国
0.0030162    3 flower         : 花圃, 花園, 国花
0.0029107   15 chart          : 本図, 左図, 上図, 図上, 右図, 付図, 附図, 星図, 下図, 海図, ...
0.0029089    7 book           : 紀伊國屋, 図録, 図鑑, 図譜, 回し読み, 国書, 回読
0.0028848    1 meet           : 回り合う
0.0028337    2 store          : 紀伊國屋, 囲う
0.0028294    4 chance         : 回り合う, 回り合い, 回り合せ, 回り合わせ
0.0026547    3 earth          : 國, 四大, 国
0.0026438   11 home           : 國, 家国, お国, 国, 内国, 国もと, 国元, 国許, 国表, 母国, ...
0.0026355    6 reason         : 内因, 真因, 勝因, 外因, 因, 一因
0.0026253    4 great          : 宏図, 大圏, 困窮, 大国
0.0026230    1 treasonable    : 異図
0.0025385    9 government     : 國, 国債, 国, 治国, 経国, 国有, 国費, 国営, 国立
0.0024842    9 solid          : 安固, 固体, 牢固, 堅固, 固型, 固形, 強固, 鞏固, 固い
0.0024826    7 circumference  : 足囲, 四囲, 周囲, 四周, 根回り, 外回り, 周回
0.0024568    3 said           : 四神, 因, 同国
0.0023805    4 war            : 虜囚, 俘囚, 戦国, 軍国
0.0023766   22 nation         : 國家, 国中, 旧国, 国づくり, 国造り, 軍国, 属国, 敵国, 海国, 国典, ...
0.0023206   10 school         : 國語, 小四, 登園, 図工, 入園, 通園, 学園, 園長, 国学, 国語
0.0022931    2 exhaustion     : 困ぱい, 困憊
0.0022844    1 Wei            : 六国
0.0022498   10 plan           : 宏図, 旧図, 雄図, 付図, 附図, 図取り, 図る, 地図, 企図, 回らす
0.0022412    2 fatigue        : 困ぱい, 困憊
0.0022200    2 knot           : 固結び, 団子
0.0022112    3 knowledge      : 圏域, 振り回す, 振回す
0.0021852    8 zoo            : 退園, 転園, 来園, 廃園, 入園, 休園, 園内, 園長
0.0021598    4 become         : 困ずる, 困じる, 固まる, 凝り固まる
0.0021311    1 fortuitous     : 回り合い
0.0021116    2 six            : 六国, 四王天
0.0021099    1 male           : 男囚
0.0020825   12 map            : 全図, 図上, 略図, 付図, 附図, 星図, 公図, 掛け図, 掛図, 読図, ...
0.0020192    2 perplexity     : 困却, 困惑
0.0020132    1 cirque         : 圏谷
0.0020132    1 cwm            : 圏谷
0.0020132    1 corrie         : 圏谷
0.0019973    1 female         : 女囚
0.0019569    7 picture        : 秘図, 図巻, 図録, 図絵, 図画, 図鑑, 図
0.0019362    6 enclosure      : 仮囲い, 外囲い, 囲み, 囲い込み, 囲い, 囲繞
0.0019360    1 reign          : 四神
0.0018992    6 factor         : 因子, 要因, 素因, 主因, 因数, 一因
0.0018898    1 intent         : 異図
0.0018894    8 local          : 団練, 分団, 国言葉, 地回り, 国訛, 国訛り, どさ回り, ドサ回り
0.0018583   14 province       : 國, 因幡, 下国, 半国, 遠国, 国守, 国尽くし, 国表, 豊国, 同国, ...
0.0018537    4 diplomatic     : 國際, 国交, 国書, 国際
0.0018517    3 hardening      : 歯固め, 固結, 乾固
