Summary: {Weight} {token}: {words[0:10]}
0.0278075    1 authority      : 巨擘
0.0277646    2 star           : 巨擘, 人手
0.0267887    6 serious        : 摯実, 真摯, 重手, 深手, 傷手, 痛手
0.0240402    1 beech          : 山毛欅
0.0228812    1 honest         : 摯実
0.0218504    2 surging        : 彭湃, 澎湃
0.0194696    3 tucking        : 襷がけ, 襷掛, 襷掛け
0.0192647    9 cramp          : 攣る, 引き攣れる, 引攣れる, 引き攣る, 引き攣り, 引っ攣り, 引攣り, 攣れる, 痙攣
0.0164184    1 restriction    : 掣肘
0.0154809    2 seizure        : 拿捕, 手捕り
0.0149069    4 kimono         : 襷がけ, 襷掛, 襷掛け, 襷
0.0148483    3 restraint      : 掣肘, 手離し, 手放し
0.0138032    1 vessel         : 拿捕
0.0135432    1 capture        : 拿捕
0.0134997    2 clamber        : 攀じる, 攀じ登る
0.0131583    1 partnership    : 提挈
0.0129923    7 control        : 掣肘, 掌る, 掌握, 手駒, 手の内, 手綱, 手中
0.0128017    1 sponsorship    : 提挈
0.0127368    1 foreign        : 拿捕
0.0125017    1 Fagus          : 山毛欅
0.0123954    3 check          : 掣肘, 小切手, 王手
0.0120407   13 palm           : 掌骨, 手掌, 掌紋, 掌大, 掌, 手汗, 手相, 手筋, 手の内, 平手, ...
0.0116684    1 alliance       : 提挈
0.0110543    2 welling        : 彭湃, 澎湃
0.0103274   17 Japanese       : 山毛欅, 欅, 虫拳, 拳玉, あん摩, 按摩, 八つ手, 八手, 抜き手, 抜手, ...
0.0101535    4 scale          : 攀じる, 攀じ登る, 手広い, 手広く
0.0097790    1 Zelkova        : 欅
0.0097542    2 vigorous       : 彭湃, 澎湃
0.0097476    5 joint          : 提挈, 接ぎ手, 接手, 継ぎ手, 継手
0.0091815   14 era            : 承保, 治承, 承暦, 承徳, 承平, 承安, 承和, 承元, 承久, 承応, ...
0.0085158    5 business       : 提挈, 旗挙, 旗挙げ, 手広い, 手札
0.0080001    6 spasm          : 攣縮, 引き攣る, 引き攣り, 引っ攣り, 引攣り, 痙攣
0.0071053    4 sound          : 彭湃, 澎湃, 挙げる, 手堅い
0.0065298    1 vowel          : 摩多
0.0064108  108 hand           : 狐拳, 掌中, 手暗がり, 掌, 手張り, 拳, 貫手, 手ん棒, 手棒, 挙手, ...
0.0062449    1 script         : 摩多
0.0062417    3 cramped        : 攣る, 手ぜま, 手狭
0.0061162    9 water          : 彭湃, 澎湃, 手酢, 挙がる, 御手洗, 手水, 葦手, 手洗, 手洗い
0.0060615    4 recommendation : 薦挙, 吹挙, 推挙, 挙
0.0059527    3 earnest        : 真摯, 手付, 手付け
0.0053129    1 shoe           : 支承
0.0052852    3 nurse          : 准看, 看取る, 看護
0.0052580    5 twitch         : 引き攣る, 引き攣り, 引っ攣り, 引攣り, 痙攣
0.0051576    1 claw           : 攀じ登る
0.0050104    3 billboard      : 立て看, 立看, 看板
0.0048861    1 scramble       : 攀じ登る
0.0048679    3 signboard      : 立て看, 立看, 看板
0.0048214   16 game           : 狐拳, 鉄拳, 拳玉, じゃん拳, 拳, 撃壌, 挙がる, 手役, 手筋, 手駒, ...
0.0047883    4 bearing        : 支承, 挙止, にない手, 担い手
0.0046521    9 short          : 掌篇, 掌編, 遊撃, 手薄, 手短い, 手鉤, 手槍, 手短, 十手
