Summary: {Weight} {token}: {words[0:10]}
0.0966778    3 square         : 升形, 升, 升目
0.0874929    4 box            : 升酒, 升目, 升席, 升
0.0580326    1 grid           : 升
0.0428819    2 pillar         : 升形, 升
0.0413418    2 bearing        : 升形, 升
0.0402722    2 measure        : 升目, 升
0.0398366    2 block          : 升形, 升
0.0376935    1 alcohol        : 升酒
0.0344024    2 top            : 升形, 升
0.0336035    1 wooden         : 升酒
0.0334815    1 sake           : 升酒
0.0298432    1 paper          : 升目
0.0277009    1 small          : 升酒
0.0251597    1 seating        : 升
0.0246230    1 measuring      : 升
0.0239468    1 graph          : 升目
0.0239461    1 rectangular    : 升形
0.0235872    1 cell           : 升
0.0220115    1 sold           : 升酒
0.0217777    1 container      : 升
0.0207501    1 manuscript     : 升目
0.0201782    1 four           : 升席
0.0198376    1 outer          : 升形
0.0189779    1 gather         : 升形
0.0188469    1 seat           : 升席
0.0186909    1 kabuki         : 升席
0.0185428    1 castle         : 升形
0.0184025    1 space          : 升形
0.0179958    1 inner          : 升形
0.0168170    1 shape          : 升形
0.0156344    1 form           : 升目
0.0148363    1 people         : 升席
0.0121767    1 Japanese       : 升目

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0966778    3 square
	square WORD[ 1,   1]: 0.0371435 升形
	square WORD[ 1,   2]: 0.0204810 升
	square WORD[ 1,   3]: 0.0185723 升目
TOKEN[ 2]: 0.0874929    4 box
	box WORD[ 2,   1]: 0.0342920 升酒
	box WORD[ 2,   2]: 0.0171463 升目
	box WORD[ 2,   3]: 0.0171461 升席
	box WORD[ 2,   4]: 0.0094542 升
TOKEN[ 3]: 0.0580326    1 grid
	grid WORD[ 3,   1]: 0.0290163 升
TOKEN[ 4]: 0.0428819    2 pillar
	pillar WORD[ 4,   1]: 0.0203927 升形
	pillar WORD[ 4,   2]: 0.0112446 升
TOKEN[ 5]: 0.0413418    2 bearing
	bearing WORD[ 5,   1]: 0.0196603 升形
	bearing WORD[ 5,   2]: 0.0108408 升
TOKEN[ 6]: 0.0402722    2 measure
	measure WORD[ 6,   1]: 0.0191519 升目
	measure WORD[ 6,   2]: 0.0105601 升
TOKEN[ 7]: 0.0398366    2 block
	block WORD[ 7,   1]: 0.0189445 升形
	block WORD[ 7,   2]: 0.0104461 升
TOKEN[ 8]: 0.0376935    1 alcohol
	alcohol WORD[ 8,   1]: 0.0376935 升酒
TOKEN[ 9]: 0.0344024    2 top
	top WORD[ 9,   1]: 0.0163602 升形
	top WORD[ 9,   2]: 0.0090211 升
TOKEN[10]: 0.0336035    1 wooden
	wooden WORD[10,   1]: 0.0336035 升酒
TOKEN[11]: 0.0334815    1 sake
	sake WORD[11,   1]: 0.0334815 升酒
TOKEN[12]: 0.0298432    1 paper
	paper WORD[12,   1]: 0.0298432 升目
TOKEN[13]: 0.0277009    1 small
	small WORD[13,   1]: 0.0277009 升酒
TOKEN[14]: 0.0251597    1 seating
	seating WORD[14,   1]: 0.0125799 升
TOKEN[15]: 0.0246230    1 measuring
	measuring WORD[15,   1]: 0.0123115 升
TOKEN[16]: 0.0239468    1 graph
	graph WORD[16,   1]: 0.0239468 升目
TOKEN[17]: 0.0239461    1 rectangular
	rectangular WORD[17,   1]: 0.0239461 升形
TOKEN[18]: 0.0235872    1 cell
	cell WORD[18,   1]: 0.0117936 升
TOKEN[19]: 0.0220115    1 sold
	sold WORD[19,   1]: 0.0220115 升酒
TOKEN[20]: 0.0217777    1 container
	container WORD[20,   1]: 0.0108889 升
TOKEN[21]: 0.0207501    1 manuscript
	manuscript WORD[21,   1]: 0.0207501 升目
TOKEN[22]: 0.0201782    1 four
	four WORD[22,   1]: 0.0201782 升席
TOKEN[23]: 0.0198376    1 outer
	outer WORD[23,   1]: 0.0198376 升形
TOKEN[24]: 0.0189779    1 gather
	gather WORD[24,   1]: 0.0189779 升形
TOKEN[25]: 0.0188469    1 seat
	seat WORD[25,   1]: 0.0188469 升席
TOKEN[26]: 0.0186909    1 kabuki
	kabuki WORD[26,   1]: 0.0186909 升席
TOKEN[27]: 0.0185428    1 castle
	castle WORD[27,   1]: 0.0185428 升形
TOKEN[28]: 0.0184025    1 space
	space WORD[28,   1]: 0.0184025 升形
TOKEN[29]: 0.0179958    1 inner
	inner WORD[29,   1]: 0.0179958 升形
TOKEN[30]: 0.0168170    1 shape
	shape WORD[30,   1]: 0.0168170 升形
TOKEN[31]: 0.0156344    1 form
	form WORD[31,   1]: 0.0156344 升目
TOKEN[32]: 0.0148363    1 people
	people WORD[32,   1]: 0.0148363 升席
TOKEN[33]: 0.0121767    1 Japanese
	Japanese WORD[33,   1]: 0.0121767 升目
